------Generation 0------
Rule  1: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: -1
Rule  2: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule  3: 1158115, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  4: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule  5: 8112212, Class:  0, CF:0.985842, Len:  7, Fitness_tra: 0
Rule  6: d151215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule  8: 53d2211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000f, Class:  1, CF:0.382682, Len:  1, Fitness_tra: 0
Rule 10: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 11: 5611131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4114717, Class:  0, CF:0.829424, Len:  7, Fitness_tra: 0
Rule 13: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 14: 5115161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d000400, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 16: 2c24424, Class:  0, CF:0.896241, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 18: d6d1b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 9117763, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000004, Class:  0, CF:0.815928, Len:  1, Fitness_tra: 23
Rule 21: 23d4238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3315111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 1191161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1151215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 25: 4040004, Class:  0, CF:0.892694, Len:  3, Fitness_tra: 2
Rule 26: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 27: 1111135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1121152, Class:  0, CF:0.864721, Len:  7, Fitness_tra: 0
Rule 29: 5050008, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 30: 00000d0, Class:  0, CF:0.740245, Len:  1, Fitness_tra: 2
Rule 31: d121135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0040004, Class:  0, CF:0.868942, Len:  2, Fitness_tra: 7
Rule 33: 1121211, Class:  0, CF:0.71436, Len:  7, Fitness_tra: 0
Rule 34: 0007000, Class:  0, CF:0.787656, Len:  1, Fitness_tra: 8
Rule 35: 2124224, Class:  0, CF:0.967701, Len:  7, Fitness_tra: 0
Rule 36: 2117b17, Class:  0, CF:0.750726, Len:  7, Fitness_tra: 0
Rule 37: d000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 6
Rule 38: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 39: 1135111, Class:  0, CF:0.560836, Len:  7, Fitness_tra: 0
Rule 40: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 41: 9115113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d951412, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 43: 1382218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1152791, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 45: 1351292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3611111, Class:  1, CF:0.0724187, Len:  7, Fitness_tra: 0
Rule 47: 5111238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000e0, Class:  0, CF:0.93792, Len:  1, Fitness_tra: 2
Rule 49: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
