------Generation 0------
Rule  1: 615e, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  2: 5111, Class:  0, CF:0.654265, Len:  4, Fitness_tra: 2
Rule  3: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 23
Rule  4: 5203, Class:  0, CF:0.980907, Len:  3, Fitness_tra: 4
Rule  5: 4500, Class:  0, CF:0.44, Len:  2, Fitness_tra: -1
Rule  6: 1121, Class:  2, CF:0.531508, Len:  4, Fitness_tra: 1
Rule  7: 3141, Class:  2, CF:0.630189, Len:  4, Fitness_tra: 0
Rule  8: 3341, Class:  2, CF:0.835366, Len:  4, Fitness_tra: 2
Rule  9: 0325, Class:  2, CF:0.980998, Len:  3, Fitness_tra: 15
Rule 10: 0700, Class:  2, CF:0.0105263, Len:  1, Fitness_tra: 0
Rule 11: 020b, Class:  0, CF:0.524229, Len:  2, Fitness_tra: 29
Rule 12: 5300, Class:  2, CF:0.0854271, Len:  2, Fitness_tra: 0
Rule 13: 0340, Class:  2, CF:0.582734, Len:  2, Fitness_tra: 12
Rule 14: b336, Class:  0, CF:0.463415, Len:  4, Fitness_tra: 0
Rule 15: 1115, Class:  2, CF:0.691447, Len:  4, Fitness_tra: 2
Rule 16: 4036, Class:  0, CF:0.928854, Len:  3, Fitness_tra: 8
Rule 17: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1135, Class:  2, CF:0.521622, Len:  4, Fitness_tra: 0
Rule 19: 1161, Class:  0, CF:0.17666, Len:  4, Fitness_tra: 0
Rule 20: 1113, Class:  0, CF:0.0816551, Len:  4, Fitness_tra: 0
Rule 21: 5624, Class:  2, CF:0.831193, Len:  4, Fitness_tra: 2
Rule 22: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 23: 3604, Class:  2, CF:0.962406, Len:  3, Fitness_tra: 8
Rule 24: 1643, Class:  2, CF:0.429616, Len:  4, Fitness_tra: 0
Rule 25: 5460, Class:  0, CF:0.97037, Len:  3, Fitness_tra: 13
Rule 26: 3111, Class:  2, CF:0.0910448, Len:  4, Fitness_tra: 0
Rule 27: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3555, Class:  2, CF:  1, Len:  4, Fitness_tra: 2
Rule 29: 9311, Class:  0, CF:0.482185, Len:  4, Fitness_tra: 0
Rule 30: 1513, Class:  0, CF:0.877604, Len:  4, Fitness_tra: 1
Rule 31: 1113, Class:  0, CF:0.0816551, Len:  4, Fitness_tra: 0
Rule 32: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 10
Rule 33: 9411, Class:  0, CF:0.947396, Len:  4, Fitness_tra: 4
Rule 34: 0023, Class:  0, CF:0.249631, Len:  2, Fitness_tra: 0
Rule 35: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 10
Rule 36: 0522, Class:  2, CF:0.0520984, Len:  3, Fitness_tra: 0
Rule 37: 1131, Class:  0, CF:0.0955077, Len:  4, Fitness_tra: 0
Rule 38: 3004, Class:  2, CF:0.568773, Len:  2, Fitness_tra: 14
Rule 39: 1231, Class:  0, CF:0.76683, Len:  4, Fitness_tra: 1
Rule 40: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 41: 1117, Class:  2, CF:0.122435, Len:  4, Fitness_tra: 0
