------Generation 0------
Rule  1: 0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2836, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule  3: 4030, Class:  0, CF:0.557971, Len:  2, Fitness_tra: 23
Rule  4: 9322, Class:  2, CF:0.850702, Len:  4, Fitness_tra: 2
Rule  5: 1531, Class:  0, CF:0.86019, Len:  4, Fitness_tra: 1
Rule  6: 0003, Class:  0, CF:0.429448, Len:  1, Fitness_tra: 22
Rule  7: 2315, Class:  2, CF:0.336527, Len:  4, Fitness_tra: 0
Rule  8: 7611, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0233, Class:  0, CF:0.945813, Len:  3, Fitness_tra: 9
Rule 10: 3111, Class:  2, CF:0.0863669, Len:  4, Fitness_tra: 0
Rule 11: 3522, Class:  2, CF:0.861257, Len:  4, Fitness_tra: 1
Rule 12: 1515, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15b6, Class:  0, CF:0.946667, Len:  4, Fitness_tra: 4
Rule 14: 2205, Class:  0, CF:0.0644461, Len:  3, Fitness_tra: 0
Rule 15: 3131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1543, Class:  0, CF:0.705202, Len:  4, Fitness_tra: 1
Rule 17: 1a11, Class:  2, CF:0.250545, Len:  4, Fitness_tra: 0
Rule 18: 6524, Class:  2, CF:0.84375, Len:  4, Fitness_tra: 2
Rule 19: 0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1533, Class:  0, CF:0.968, Len:  4, Fitness_tra: 1
Rule 21: 6056, Class:  2, CF:0.205993, Len:  3, Fitness_tra: 0
Rule 22: 6560, Class:  0, CF:0.391549, Len:  3, Fitness_tra: -1
Rule 23: 1213, Class:  0, CF:0.720556, Len:  4, Fitness_tra: 0
Rule 24: 3625, Class:  2, CF:  1, Len:  4, Fitness_tra: 2
Rule 25: 3211, Class:  0, CF:0.265436, Len:  4, Fitness_tra: 0
Rule 26: 0455, Class:  2, CF:0.928994, Len:  3, Fitness_tra: 20
Rule 27: 2006, Class:  0, CF:0.74043, Len:  2, Fitness_tra: 30
Rule 28: 1124, Class:  2, CF:0.853247, Len:  4, Fitness_tra: 3
Rule 29: 2156, Class:  0, CF:0.0953079, Len:  4, Fitness_tra: 0
Rule 30: 3114, Class:  2, CF:0.569177, Len:  4, Fitness_tra: 5
Rule 31: 1131, Class:  0, CF:0.020438, Len:  4, Fitness_tra: 0
Rule 32: 0056, Class:  0, CF:0.226415, Len:  2, Fitness_tra: 0
Rule 33: 5f11, Class:  0, CF:0.315315, Len:  4, Fitness_tra: 0
Rule 34: 2121, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4116, Class:  0, CF:0.568434, Len:  4, Fitness_tra: 1
Rule 36: 1331, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3111, Class:  2, CF:0.0863669, Len:  4, Fitness_tra: 0
Rule 38: 1241, Class:  0, CF:0.154489, Len:  4, Fitness_tra: 0
Rule 39: 9621, Class:  2, CF:0.113305, Len:  4, Fitness_tra: 0
Rule 40: 2066, Class:  0, CF:0.976812, Len:  3, Fitness_tra: 6
Rule 41: 354a, Class:  0, CF:0.888889, Len:  4, Fitness_tra: 1
Rule 42: 0620, Class:  2, CF:0.770609, Len:  2, Fitness_tra: 45
Rule 43: 1f12, Class:  2, CF:0.875776, Len:  4, Fitness_tra: 10
Rule 44: 3611, Class:  2, CF:0.390625, Len:  4, Fitness_tra: 1
Rule 45: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1241, Class:  0, CF:0.154489, Len:  4, Fitness_tra: 0
Rule 47: 4112, Class:  2, CF:0.167953, Len:  4, Fitness_tra: 0
Rule 48: 050b, Class:  0, CF:0.647059, Len:  2, Fitness_tra: 24
Rule 49: 2131, Class:  0, CF:0.757433, Len:  4, Fitness_tra: 6
Rule 50: 0070, Class:  0, CF:0.0175439, Len:  1, Fitness_tra: 0
