------Generation 0------
Rule  1: 4111, Class:  0, CF:0.284713, Len:  4, Fitness_tra: 0
Rule  2: 00c0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: f121, Class:  2, CF:0.885393, Len:  4, Fitness_tra: 0
Rule  4: 6213, Class:  0, CF:0.59009, Len:  4, Fitness_tra: 0
Rule  5: 2506, Class:  0, CF:0.988201, Len:  3, Fitness_tra: 19
Rule  6: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 5511, Class:  0, CF:0.997549, Len:  4, Fitness_tra: 3
Rule  8: 4505, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3500, Class:  2, CF:0.148515, Len:  2, Fitness_tra: 0
Rule 10: 6172, Class:  2, CF:0.946985, Len:  4, Fitness_tra: 0
Rule 11: 0602, Class:  2, CF:0.740905, Len:  2, Fitness_tra: 29
Rule 12: 1113, Class:  0, CF:0.134128, Len:  4, Fitness_tra: 0
Rule 13: 6002, Class:  2, CF:0.78957, Len:  2, Fitness_tra: 34
Rule 14: 0044, Class:  2, CF:0.0681199, Len:  2, Fitness_tra: 0
Rule 15: 3191, Class:  2, CF:0.890271, Len:  4, Fitness_tra: 0
Rule 16: 9612, Class:  2, CF:0.081193, Len:  4, Fitness_tra: 0
Rule 17: 1314, Class:  2, CF:0.523132, Len:  4, Fitness_tra: 1
Rule 18: 6431, Class:  0, CF:0.120155, Len:  4, Fitness_tra: 0
Rule 19: 3131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3524, Class:  2, CF:0.752161, Len:  4, Fitness_tra: 2
Rule 21: 1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1411, Class:  0, CF:0.278263, Len:  4, Fitness_tra: 0
Rule 23: 1613, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1115, Class:  2, CF:0.661207, Len:  4, Fitness_tra: 0
Rule 25: 6545, Class:  2, CF:0.92, Len:  4, Fitness_tra: 1
Rule 26: 0555, Class:  2, CF:0.476923, Len:  3, Fitness_tra: 1
Rule 27: 6322, Class:  2, CF:0.998464, Len:  4, Fitness_tra: 2
Rule 28: 0050, Class:  2, CF:0.343109, Len:  1, Fitness_tra: -16
Rule 29: 6411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0600, Class:  2, CF:0.453901, Len:  1, Fitness_tra: 14
Rule 31: 4112, Class:  2, CF:0.175551, Len:  4, Fitness_tra: 0
Rule 32: 3611, Class:  2, CF:0.513975, Len:  4, Fitness_tra: 0
Rule 33: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1115, Class:  2, CF:0.661207, Len:  4, Fitness_tra: 0
Rule 35: d115, Class:  2, CF:0.204545, Len:  4, Fitness_tra: 0
Rule 36: 1136, Class:  0, CF:0.512461, Len:  4, Fitness_tra: 0
Rule 37: 1312, Class:  2, CF:0.714506, Len:  4, Fitness_tra: 0
Rule 38: 0030, Class:  0, CF:0.41994, Len:  1, Fitness_tra: 22
Rule 39: 1416, Class:  0, CF:0.630734, Len:  4, Fitness_tra: 1
Rule 40: 1c11, Class:  0, CF:0.288557, Len:  4, Fitness_tra: 0
Rule 41: 0005, Class:  2, CF:0.365559, Len:  1, Fitness_tra: 17
Rule 42: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0053, Class:  0, CF:0.11, Len:  2, Fitness_tra: 0
Rule 44: 4111, Class:  0, CF:0.284713, Len:  4, Fitness_tra: 0
Rule 45: 4113, Class:  0, CF:0.569966, Len:  4, Fitness_tra: 3
Rule 46: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: a321, Class:  2, CF:0.971631, Len:  4, Fitness_tra: 4
Rule 48: 7133, Class:  0, CF:0.648402, Len:  4, Fitness_tra: 1
Rule 49: 1461, Class:  0, CF:0.585973, Len:  4, Fitness_tra: 0
Rule 50: 0233, Class:  0, CF:0.947115, Len:  3, Fitness_tra: 11
Rule 51: 2000, Class:  0, CF:0.19685, Len:  1, Fitness_tra: 0
Rule 52: 3020, Class:  2, CF:0.719403, Len:  2, Fitness_tra: 27
Rule 53: 6053, Class:  2, CF:0.548718, Len:  3, Fitness_tra: 0
Rule 54: 611a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1116, Class:  0, CF:0.22, Len:  4, Fitness_tra: 0
Rule 57: 4435, Class:  0, CF:0.516667, Len:  4, Fitness_tra: 0
Rule 58: 2666, Class:  0, CF:0.907618, Len:  4, Fitness_tra: 1
Rule 59: 6056, Class:  2, CF:0.479876, Len:  3, Fitness_tra: 0
Rule 60: 3414, Class:  2, CF:0.196217, Len:  4, Fitness_tra: 0
Rule 61: 3954, Class:  2, CF:0.854749, Len:  4, Fitness_tra: 2
Rule 62: 1171, Class:  2, CF:0.0660094, Len:  4, Fitness_tra: 0
Rule 63: 1143, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 02b0, Class:  0, CF:0.469565, Len:  2, Fitness_tra: 20
Rule 65: 1314, Class:  2, CF:0.523132, Len:  4, Fitness_tra: 0
Rule 66: 0554, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1131, Class:  0, CF:0.111276, Len:  4, Fitness_tra: 0
Rule 68: 9513, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 69: 4400, Class:  0, CF:0.0790191, Len:  2, Fitness_tra: 0
Rule 70: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 71: 5000, Class:  0, CF:0.33526, Len:  1, Fitness_tra: 26
Rule 72: 5121, Class:  0, CF:0.0660793, Len:  4, Fitness_tra: 0
Rule 73: 3111, Class:  2, CF:0.132177, Len:  4, Fitness_tra: 0
Rule 74: 4131, Class:  0, CF:0.558621, Len:  4, Fitness_tra: 0
Rule 75: 4221, Class:  0, CF:0.416362, Len:  4, Fitness_tra: 1
Rule 76: 5421, Class:  0, CF:0.580292, Len:  4, Fitness_tra: 4
Rule 77: 3040, Class:  2, CF:0.553846, Len:  2, Fitness_tra: 9
Rule 78: a311, Class:  2, CF:0.685039, Len:  4, Fitness_tra: 2
Rule 79: 1916, Class:  0, CF:0.94244, Len:  4, Fitness_tra: 3
Rule 80: 1117, Class:  2, CF:0.0783738, Len:  4, Fitness_tra: 0
Rule 81: 9161, Class:  0, CF:0.920035, Len:  4, Fitness_tra: 4
Rule 82: 1124, Class:  2, CF:0.833012, Len:  4, Fitness_tra: 7
Rule 83: 6911, Class:  0, CF:0.484368, Len:  4, Fitness_tra: 0
Rule 84: 4115, Class:  2, CF:0.409836, Len:  4, Fitness_tra: 0
Rule 85: 4211, Class:  0, CF:0.834928, Len:  4, Fitness_tra: 11
Rule 86: 7000, Class:  2, CF:0.0198915, Len:  1, Fitness_tra: 0
Rule 87: 0463, Class:  0, CF:0.920863, Len:  3, Fitness_tra: 11
Rule 88: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2324, Class:  2, CF:0.791045, Len:  4, Fitness_tra: 5
Rule 90: 3025, Class:  2, CF:0.979899, Len:  3, Fitness_tra: 10
Rule 91: 3493, Class:  2, CF:0.576923, Len:  4, Fitness_tra: 0
Rule 92: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e216, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 94: 11a9, Class:  2, CF:0.388889, Len:  4, Fitness_tra: 0
Rule 95: 4550, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1112, Class:  2, CF:0.494759, Len:  4, Fitness_tra: 0
Rule 97: 4030, Class:  0, CF:0.562963, Len:  2, Fitness_tra: 14
Rule 98: b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1533, Class:  0, CF:0.969697, Len:  4, Fitness_tra: 2
Rule100: 5034, Class:  0, CF:0.834395, Len:  3, Fitness_tra: 5
------Current------
Miss_rate(tra)	:21.1368
------Result------
Miss_rate(tra)	:21.1368
Miss_rate(tst)	:17.7419
ARL				:3.39024

------Generation 0------
Rule  1: 6002, Class:  2, CF:0.78957, Len:  2, Fitness_tra: 34
Rule  2: 0602, Class:  2, CF:0.740905, Len:  2, Fitness_tra: 29
Rule  3: 3020, Class:  2, CF:0.719403, Len:  2, Fitness_tra: 29
Rule  4: 5000, Class:  0, CF:0.33526, Len:  1, Fitness_tra: 20
Rule  5: 0030, Class:  0, CF:0.41994, Len:  1, Fitness_tra: 16
Rule  6: 02b0, Class:  0, CF:0.469565, Len:  2, Fitness_tra: 17
Rule  7: 2506, Class:  0, CF:0.988201, Len:  3, Fitness_tra: 17
Rule  8: 0005, Class:  2, CF:0.365559, Len:  1, Fitness_tra: 22
Rule  9: 4030, Class:  0, CF:0.562963, Len:  2, Fitness_tra: 13
Rule 10: 0600, Class:  2, CF:0.453901, Len:  1, Fitness_tra: 17
Rule 11: 0233, Class:  0, CF:0.947115, Len:  3, Fitness_tra: 10
Rule 12: 0463, Class:  0, CF:0.920863, Len:  3, Fitness_tra: 9
Rule 13: 4211, Class:  0, CF:0.834928, Len:  4, Fitness_tra: 9
Rule 14: 3025, Class:  2, CF:0.979899, Len:  3, Fitness_tra: 10
Rule 15: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 16: 3040, Class:  2, CF:0.553846, Len:  2, Fitness_tra: 14
Rule 17: 1124, Class:  2, CF:0.833012, Len:  4, Fitness_tra: 10
Rule 18: 5034, Class:  0, CF:0.834395, Len:  3, Fitness_tra: 5
Rule 19: 2324, Class:  2, CF:0.791045, Len:  4, Fitness_tra: 6
Rule 20: 5421, Class:  0, CF:0.580292, Len:  4, Fitness_tra: 1
Rule 21: 9161, Class:  0, CF:0.920035, Len:  4, Fitness_tra: 2
Rule 22: a321, Class:  2, CF:0.971631, Len:  4, Fitness_tra: 4
Rule 23: e216, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 24: 4113, Class:  0, CF:0.569966, Len:  4, Fitness_tra: 2
Rule 25: 1916, Class:  0, CF:0.94244, Len:  4, Fitness_tra: 3
Rule 26: 5511, Class:  0, CF:0.997549, Len:  4, Fitness_tra: 2
Rule 27: 1533, Class:  0, CF:0.969697, Len:  4, Fitness_tra: 2
Rule 28: a311, Class:  2, CF:0.685039, Len:  4, Fitness_tra: 2
Rule 29: 3954, Class:  2, CF:0.854749, Len:  4, Fitness_tra: 2
Rule 30: 6322, Class:  2, CF:0.998464, Len:  4, Fitness_tra: 2
Rule 31: 3524, Class:  2, CF:0.752161, Len:  4, Fitness_tra: 1
Rule 32: 0555, Class:  2, CF:0.476923, Len:  3, Fitness_tra: 1
Rule 33: 4221, Class:  0, CF:0.416362, Len:  4, Fitness_tra: 3
Rule 34: 2666, Class:  0, CF:0.907618, Len:  4, Fitness_tra: 1
Rule 35: 7133, Class:  0, CF:0.648402, Len:  4, Fitness_tra: 1
Rule 36: 1416, Class:  0, CF:0.630734, Len:  4, Fitness_tra: 0
Rule 37: 6545, Class:  2, CF:0.92, Len:  4, Fitness_tra: 1
Rule 38: 1314, Class:  2, CF:0.523132, Len:  4, Fitness_tra: 1
Rule 39: 4111, Class:  0, CF:0.284713, Len:  4, Fitness_tra: 0
Rule 40: 1c11, Class:  0, CF:0.288557, Len:  4, Fitness_tra: 0
Rule 41: 0044, Class:  2, CF:0.0681199, Len:  2, Fitness_tra: 0
Rule 42: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0053, Class:  0, CF:0.11, Len:  2, Fitness_tra: 0
Rule 44: 4111, Class:  0, CF:0.284713, Len:  4, Fitness_tra: 0
Rule 45: 3191, Class:  2, CF:0.890271, Len:  4, Fitness_tra: 0
Rule 46: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 9612, Class:  2, CF:0.081193, Len:  4, Fitness_tra: 0
Rule 48: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1461, Class:  0, CF:0.585973, Len:  4, Fitness_tra: 0
Rule 50: 6431, Class:  0, CF:0.120155, Len:  4, Fitness_tra: 0
Rule 51: 2000, Class:  0, CF:0.19685, Len:  1, Fitness_tra: 0
Rule 52: 3131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6053, Class:  2, CF:0.548718, Len:  3, Fitness_tra: 0
Rule 54: 611a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1116, Class:  0, CF:0.22, Len:  4, Fitness_tra: 0
Rule 57: 4435, Class:  0, CF:0.516667, Len:  4, Fitness_tra: 0
Rule 58: f121, Class:  2, CF:0.885393, Len:  4, Fitness_tra: 0
Rule 59: 6056, Class:  2, CF:0.479876, Len:  3, Fitness_tra: 0
Rule 60: 3414, Class:  2, CF:0.196217, Len:  4, Fitness_tra: 0
Rule 61: 1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1171, Class:  2, CF:0.0660094, Len:  4, Fitness_tra: 0
Rule 63: 1143, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1411, Class:  0, CF:0.278263, Len:  4, Fitness_tra: 0
Rule 65: 1314, Class:  2, CF:0.523132, Len:  4, Fitness_tra: 0
Rule 66: 0554, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1131, Class:  0, CF:0.111276, Len:  4, Fitness_tra: 0
Rule 68: 9513, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 69: 4400, Class:  0, CF:0.0790191, Len:  2, Fitness_tra: 0
Rule 70: 1613, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1115, Class:  2, CF:0.661207, Len:  4, Fitness_tra: 0
Rule 72: 5121, Class:  0, CF:0.0660793, Len:  4, Fitness_tra: 0
Rule 73: 3111, Class:  2, CF:0.132177, Len:  4, Fitness_tra: 0
Rule 74: 4131, Class:  0, CF:0.558621, Len:  4, Fitness_tra: 0
Rule 75: 4505, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3500, Class:  2, CF:0.148515, Len:  2, Fitness_tra: 0
Rule 77: 6172, Class:  2, CF:0.946985, Len:  4, Fitness_tra: 0
Rule 78: 00c0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 6411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1117, Class:  2, CF:0.0783738, Len:  4, Fitness_tra: 0
Rule 81: 1137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3020, Class:  2, CF:0.719403, Len:  0, Fitness_tra: 0
Rule 85: 0005, Class:  2, CF:0.365559, Len:  0, Fitness_tra: 0
Rule 86: 0050, Class:  2, CF:0.343109, Len:  0, Fitness_tra: 0
Rule 87: 0005, Class:  2, CF:0.365559, Len:  0, Fitness_tra: 0
Rule 88: 5560, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 89: 0050, Class:  2, CF:0.343109, Len:  0, Fitness_tra: 0
Rule 90: 0403, Class:  0, CF:0.59854, Len:  2, Fitness_tra: 24
Rule 91: 6524, Class:  2, CF:0.831904, Len:  4, Fitness_tra: 1
Rule 92: 1001, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5314, Class:  0, CF:0.0727273, Len:  4, Fitness_tra: 0
Rule 94: 4130, Class:  0, CF:0.26259, Len:  3, Fitness_tra: 0
Rule 95: e116, Class:  0, CF:0.96468, Len:  4, Fitness_tra: 5
Rule 96: 9541, Class:  0, CF:0.996587, Len:  4, Fitness_tra: 6
Rule 97: 5a16, Class:  0, CF:0.835616, Len:  4, Fitness_tra: 0
Rule 98: e020, Class:  0, CF:0.136752, Len:  2, Fitness_tra: 0
Rule 99: 0067, Class:  0, CF:0.585034, Len:  2, Fitness_tra: 4
Rule100: 2c17, Class:  0, CF:0.843602, Len:  4, Fitness_tra: 4
------Current------
Miss_rate(tra)	:16.8739
------Result------
Miss_rate(tra)	:16.8739
Miss_rate(tst)	:16.129
ARL				:3.33766

------Generation 1------
Rule  1: 6002, Class:  2, CF:0.78957, Len:  2, Fitness_tra: 30
Rule  2: 0602, Class:  2, CF:0.740905, Len:  2, Fitness_tra: 27
Rule  3: 3020, Class:  2, CF:0.719403, Len:  2, Fitness_tra: 30
Rule  4: 0403, Class:  0, CF:0.59854, Len:  2, Fitness_tra: 13
Rule  5: 0005, Class:  2, CF:0.365559, Len:  1, Fitness_tra: 18
Rule  6: 5000, Class:  0, CF:0.33526, Len:  1, Fitness_tra: 19
Rule  7: 2506, Class:  0, CF:0.988201, Len:  3, Fitness_tra: 9
Rule  8: 02b0, Class:  0, CF:0.469565, Len:  2, Fitness_tra: 18
Rule  9: 0600, Class:  2, CF:0.453901, Len:  1, Fitness_tra: 9
Rule 10: 0030, Class:  0, CF:0.41994, Len:  1, Fitness_tra: 17
Rule 11: 3040, Class:  2, CF:0.553846, Len:  2, Fitness_tra: 13
Rule 12: 4030, Class:  0, CF:0.562963, Len:  2, Fitness_tra: 13
Rule 13: 0233, Class:  0, CF:0.947115, Len:  3, Fitness_tra: 8
Rule 14: 3025, Class:  2, CF:0.979899, Len:  3, Fitness_tra: 10
Rule 15: 1124, Class:  2, CF:0.833012, Len:  4, Fitness_tra: 4
Rule 16: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 17: 0463, Class:  0, CF:0.920863, Len:  3, Fitness_tra: 6
Rule 18: 4211, Class:  0, CF:0.834928, Len:  4, Fitness_tra: 8
Rule 19: 9541, Class:  0, CF:0.996587, Len:  4, Fitness_tra: 5
Rule 20: 2324, Class:  2, CF:0.791045, Len:  4, Fitness_tra: 3
Rule 21: 5034, Class:  0, CF:0.834395, Len:  3, Fitness_tra: 5
Rule 22: e116, Class:  0, CF:0.96468, Len:  4, Fitness_tra: 0
Rule 23: a321, Class:  2, CF:0.971631, Len:  4, Fitness_tra: 4
Rule 24: 2c17, Class:  0, CF:0.843602, Len:  4, Fitness_tra: 5
Rule 25: 0067, Class:  0, CF:0.585034, Len:  2, Fitness_tra: 4
Rule 26: 1916, Class:  0, CF:0.94244, Len:  4, Fitness_tra: 2
Rule 27: 4221, Class:  0, CF:0.416362, Len:  4, Fitness_tra: 2
Rule 28: 4113, Class:  0, CF:0.569966, Len:  4, Fitness_tra: 1
Rule 29: 3954, Class:  2, CF:0.854749, Len:  4, Fitness_tra: 2
Rule 30: 6322, Class:  2, CF:0.998464, Len:  4, Fitness_tra: 2
Rule 31: a311, Class:  2, CF:0.685039, Len:  4, Fitness_tra: 2
Rule 32: 5511, Class:  0, CF:0.997549, Len:  4, Fitness_tra: 1
Rule 33: e216, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 34: 9161, Class:  0, CF:0.920035, Len:  4, Fitness_tra: 2
Rule 35: 1533, Class:  0, CF:0.969697, Len:  4, Fitness_tra: 1
Rule 36: 3524, Class:  2, CF:0.752161, Len:  4, Fitness_tra: 1
Rule 37: 6545, Class:  2, CF:0.92, Len:  4, Fitness_tra: 1
Rule 38: 1314, Class:  2, CF:0.523132, Len:  4, Fitness_tra: 1
Rule 39: 7133, Class:  0, CF:0.648402, Len:  4, Fitness_tra: 1
Rule 40: 5421, Class:  0, CF:0.580292, Len:  4, Fitness_tra: 1
Rule 41: 6524, Class:  2, CF:0.831904, Len:  4, Fitness_tra: 1
Rule 42: 0555, Class:  2, CF:0.476923, Len:  3, Fitness_tra: 1
Rule 43: 2666, Class:  0, CF:0.907618, Len:  4, Fitness_tra: 1
Rule 44: 4111, Class:  0, CF:0.284713, Len:  4, Fitness_tra: 0
Rule 45: 3191, Class:  2, CF:0.890271, Len:  4, Fitness_tra: 0
Rule 46: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 9612, Class:  2, CF:0.081193, Len:  4, Fitness_tra: 0
Rule 48: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1461, Class:  0, CF:0.585973, Len:  4, Fitness_tra: 0
Rule 50: 6431, Class:  0, CF:0.120155, Len:  4, Fitness_tra: 0
Rule 51: 2000, Class:  0, CF:0.19685, Len:  1, Fitness_tra: 0
Rule 52: 3131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
