------Generation 0------
Rule  1: 5550, Class:  0, CF:0.452991, Len:  3, Fitness_tra: 0
Rule  2: 1431, Class:  0, CF:0.617068, Len:  4, Fitness_tra: 2
Rule  3: 2211, Class:  0, CF:0.915539, Len:  4, Fitness_tra: 1
Rule  4: 0052, Class:  2, CF:0.633943, Len:  2, Fitness_tra: 38
Rule  5: 1263, Class:  0, CF:0.977941, Len:  4, Fitness_tra: 3
Rule  6: 3111, Class:  2, CF:0.113608, Len:  4, Fitness_tra: 0
Rule  7: 7261, Class:  0, CF:0.961631, Len:  4, Fitness_tra: 1
Rule  8: 2111, Class:  0, CF:0.48399, Len:  4, Fitness_tra: 0
Rule  9: 0203, Class:  0, CF:0.701389, Len:  2, Fitness_tra: 43
Rule 10: 3645, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 11: 5811, Class:  0, CF:0.988024, Len:  4, Fitness_tra: 4
Rule 12: 2163, Class:  0, CF:0.923077, Len:  4, Fitness_tra: 3
Rule 13: 0044, Class:  2, CF:0.0526316, Len:  2, Fitness_tra: 0
Rule 14: 0024, Class:  2, CF:0.27295, Len:  2, Fitness_tra: 0
Rule 15: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 6
Rule 16: 5433, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 17: 1116, Class:  0, CF:0.229888, Len:  4, Fitness_tra: 0
Rule 18: 1133, Class:  0, CF:0.388601, Len:  4, Fitness_tra: 0
Rule 19: 9415, Class:  0, CF:0.370288, Len:  4, Fitness_tra: 0
Rule 20: 0409, Class:  2, CF:0.439803, Len:  2, Fitness_tra: 5
Rule 21: 1611, Class:  2, CF:0.184235, Len:  4, Fitness_tra: 0
Rule 22: 5500, Class:  0, CF:0.810526, Len:  2, Fitness_tra: 25
Rule 23: 6111, Class:  2, CF:0.198087, Len:  4, Fitness_tra: 0
Rule 24: 0005, Class:  2, CF:0.30897, Len:  1, Fitness_tra: 6
Rule 25: 3500, Class:  2, CF:0.105882, Len:  2, Fitness_tra: 0
Rule 26: 3515, Class:  2, CF:0.133929, Len:  4, Fitness_tra: 0
Rule 27: 2312, Class:  2, CF:0.244082, Len:  4, Fitness_tra: 0
Rule 28: 6020, Class:  2, CF:0.764338, Len:  2, Fitness_tra: 37
Rule 29: 1411, Class:  0, CF:0.346711, Len:  4, Fitness_tra: 0
Rule 30: 5055, Class:  2, CF:0.472, Len:  3, Fitness_tra: 0
Rule 31: 9721, Class:  0, CF:0.308906, Len:  4, Fitness_tra: 0
Rule 32: 5911, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 33: 6155, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 34: 2530, Class:  0, CF:0.978667, Len:  3, Fitness_tra: 7
Rule 35: 1151, Class:  2, CF:0.649297, Len:  4, Fitness_tra: 0
Rule 36: 3194, Class:  2, CF:0.995261, Len:  4, Fitness_tra: 2
Rule 37: 3640, Class:  2, CF:0.930736, Len:  3, Fitness_tra: 4
Rule 38: 0700, Class:  2, CF:0.048583, Len:  1, Fitness_tra: 0
Rule 39: 1311, Class:  2, CF:0.108129, Len:  4, Fitness_tra: 0
Rule 40: 0050, Class:  2, CF:0.328904, Len:  1, Fitness_tra: 2
Rule 41: 5641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2412, Class:  0, CF:0.371231, Len:  4, Fitness_tra: 0
Rule 43: 1424, Class:  2, CF:0.651685, Len:  4, Fitness_tra: 1
Rule 44: 3142, Class:  2, CF:0.957918, Len:  4, Fitness_tra: 4
Rule 45: 1612, Class:  2, CF:0.810726, Len:  4, Fitness_tra: 4
Rule 46: 2142, Class:  2, CF:0.381875, Len:  4, Fitness_tra: 0
Rule 47: 5004, Class:  0, CF:0.338521, Len:  2, Fitness_tra: 3
Rule 48: 4512, Class:  0, CF:0.614068, Len:  4, Fitness_tra: 3
Rule 49: 6341, Class:  2, CF:0.894967, Len:  4, Fitness_tra: 0
Rule 50: 504b, Class:  0, CF:0.568627, Len:  3, Fitness_tra: 4
Rule 51: 3b12, Class:  2, CF:0.871658, Len:  4, Fitness_tra: 6
Rule 52: 3544, Class:  2, CF:0.442308, Len:  4, Fitness_tra: 0
Rule 53: 2725, Class:  2, CF:0.793769, Len:  4, Fitness_tra: 2
Rule 54: 5111, Class:  0, CF:0.645496, Len:  4, Fitness_tra: 1
Rule 55: 2025, Class:  2, CF:0.401945, Len:  3, Fitness_tra: 0
Rule 56: 5612, Class:  2, CF:0.154791, Len:  4, Fitness_tra: 0
Rule 57: 1321, Class:  2, CF:0.734336, Len:  4, Fitness_tra: 1
Rule 58: 1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3052, Class:  2, CF:0.976048, Len:  3, Fitness_tra: 4
Rule 60: 3121, Class:  2, CF:0.743846, Len:  4, Fitness_tra: -1
Rule 61: 1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 4453, Class:  0, CF:0.513514, Len:  4, Fitness_tra: 0
Rule 64: 5311, Class:  0, CF:0.452017, Len:  4, Fitness_tra: 0
Rule 65: 30b0, Class:  2, CF:0.366667, Len:  2, Fitness_tra: 0
Rule 66: 2500, Class:  0, CF:0.665595, Len:  2, Fitness_tra: 12
Rule 67: 5022, Class:  2, CF:0.0472618, Len:  3, Fitness_tra: 0
Rule 68: 3615, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 69: 5111, Class:  0, CF:0.645496, Len:  4, Fitness_tra: 0
Rule 70: 0304, Class:  2, CF:0.595041, Len:  2, Fitness_tra: 17
Rule 71: 511b, Class:  0, CF:0.627737, Len:  4, Fitness_tra: 4
Rule 72: 2321, Class:  2, CF:0.199033, Len:  4, Fitness_tra: 0
Rule 73: 2050, Class:  2, CF:0.0590112, Len:  2, Fitness_tra: 0
Rule 74: 0500, Class:  0, CF:0.342193, Len:  1, Fitness_tra: -4
Rule 75: 3511, Class:  0, CF:0.480645, Len:  4, Fitness_tra: 0
Rule 76: 1254, Class:  2, CF:0.579832, Len:  4, Fitness_tra: 1
Rule 77: 3142, Class:  2, CF:0.957918, Len:  4, Fitness_tra: 0
Rule 78: 0035, Class:  0, CF:0.0802139, Len:  2, Fitness_tra: 0
Rule 79: 5505, Class:  0, CF:0.5, Len:  3, Fitness_tra: 0
Rule 80: 2421, Class:  0, CF:0.410303, Len:  4, Fitness_tra: 1
Rule 81: 60b0, Class:  2, CF:0.489796, Len:  2, Fitness_tra: 11
Rule 82: 1531, Class:  0, CF:0.87963, Len:  4, Fitness_tra: 1
Rule 83: 1116, Class:  0, CF:0.229888, Len:  4, Fitness_tra: 0
Rule 84: 1123, Class:  2, CF:0.319695, Len:  4, Fitness_tra: 0
Rule 85: 1132, Class:  2, CF:0.338223, Len:  4, Fitness_tra: 0
Rule 86: 1114, Class:  2, CF:0.330981, Len:  4, Fitness_tra: 0
Rule 87: 0050, Class:  2, CF:0.328904, Len:  1, Fitness_tra: 0
Rule 88: 0340, Class:  2, CF:0.57265, Len:  2, Fitness_tra: 5
Rule 89: 5642, Class:  2, CF:0.785867, Len:  4, Fitness_tra: 2
Rule 90: 5344, Class:  2, CF:0.512195, Len:  4, Fitness_tra: 0
Rule 91: 5654, Class:  2, CF:0.921348, Len:  4, Fitness_tra: 2
Rule 92: 0300, Class:  2, CF:0.416107, Len:  1, Fitness_tra: 9
Rule 93: 1215, Class:  2, CF:0.0241776, Len:  4, Fitness_tra: 0
Rule 94: 4116, Class:  0, CF:0.648729, Len:  4, Fitness_tra: 2
Rule 95: 4063, Class:  0, CF:0.919028, Len:  3, Fitness_tra: 9
Rule 96: 2111, Class:  0, CF:0.48399, Len:  4, Fitness_tra: 0
Rule 97: 1116, Class:  0, CF:0.229888, Len:  4, Fitness_tra: 0
Rule 98: 0030, Class:  0, CF:0.413333, Len:  1, Fitness_tra: 33
Rule 99: 6161, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 5000, Class:  0, CF:0.318471, Len:  1, Fitness_tra: 0
------Current------
Miss_rate(tra)	:16.8
------Result------
Miss_rate(tra)	:16.8
Miss_rate(tst)	:16.8
ARL				:3.29474

------Generation 0------
Rule  1: 0203, Class:  0, CF:0.701389, Len:  2, Fitness_tra: 32
Rule  2: 0052, Class:  2, CF:0.633943, Len:  2, Fitness_tra: 38
Rule  3: 6020, Class:  2, CF:0.764338, Len:  2, Fitness_tra: 36
Rule  4: 0030, Class:  0, CF:0.413333, Len:  1, Fitness_tra: 31
Rule  5: 5500, Class:  0, CF:0.810526, Len:  2, Fitness_tra: 25
Rule  6: 0304, Class:  2, CF:0.595041, Len:  2, Fitness_tra: 17
Rule  7: 2500, Class:  0, CF:0.665595, Len:  2, Fitness_tra: 12
Rule  8: 60b0, Class:  2, CF:0.489796, Len:  2, Fitness_tra: 10
Rule  9: 4063, Class:  0, CF:0.919028, Len:  3, Fitness_tra: 6
Rule 10: 0300, Class:  2, CF:0.416107, Len:  1, Fitness_tra: 18
Rule 11: 2530, Class:  0, CF:0.978667, Len:  3, Fitness_tra: 7
Rule 12: 0005, Class:  2, CF:0.30897, Len:  1, Fitness_tra: 6
Rule 13: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 6
Rule 14: 3b12, Class:  2, CF:0.871658, Len:  4, Fitness_tra: 6
Rule 15: 0340, Class:  2, CF:0.57265, Len:  2, Fitness_tra: 7
Rule 16: 0409, Class:  2, CF:0.439803, Len:  2, Fitness_tra: 5
Rule 17: 3142, Class:  2, CF:0.957918, Len:  4, Fitness_tra: 4
Rule 18: 504b, Class:  0, CF:0.568627, Len:  3, Fitness_tra: 4
Rule 19: 1612, Class:  2, CF:0.810726, Len:  4, Fitness_tra: 3
Rule 20: 511b, Class:  0, CF:0.627737, Len:  4, Fitness_tra: 3
Rule 21: 5811, Class:  0, CF:0.988024, Len:  4, Fitness_tra: 4
Rule 22: 3052, Class:  2, CF:0.976048, Len:  3, Fitness_tra: 4
Rule 23: 3640, Class:  2, CF:0.930736, Len:  3, Fitness_tra: 4
Rule 24: 1263, Class:  0, CF:0.977941, Len:  4, Fitness_tra: 3
Rule 25: 5004, Class:  0, CF:0.338521, Len:  2, Fitness_tra: 5
Rule 26: 4512, Class:  0, CF:0.614068, Len:  4, Fitness_tra: 3
Rule 27: 2163, Class:  0, CF:0.923077, Len:  4, Fitness_tra: 3
Rule 28: 5433, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 29: 1431, Class:  0, CF:0.617068, Len:  4, Fitness_tra: 0
Rule 30: 4116, Class:  0, CF:0.648729, Len:  4, Fitness_tra: 0
Rule 31: 3194, Class:  2, CF:0.995261, Len:  4, Fitness_tra: 1
Rule 32: 2725, Class:  2, CF:0.793769, Len:  4, Fitness_tra: 2
Rule 33: 0050, Class:  2, CF:0.328904, Len:  1, Fitness_tra: 0
Rule 34: 5642, Class:  2, CF:0.785867, Len:  4, Fitness_tra: 2
Rule 35: 5654, Class:  2, CF:0.921348, Len:  4, Fitness_tra: 2
Rule 36: 5111, Class:  0, CF:0.645496, Len:  4, Fitness_tra: 0
Rule 37: 1254, Class:  2, CF:0.579832, Len:  4, Fitness_tra: 1
Rule 38: 2421, Class:  0, CF:0.410303, Len:  4, Fitness_tra: 0
Rule 39: 2211, Class:  0, CF:0.915539, Len:  4, Fitness_tra: 1
Rule 40: 1531, Class:  0, CF:0.87963, Len:  4, Fitness_tra: 1
Rule 41: 1424, Class:  2, CF:0.651685, Len:  4, Fitness_tra: 1
Rule 42: 3615, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 43: 1321, Class:  2, CF:0.734336, Len:  4, Fitness_tra: 1
Rule 44: 3645, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 45: 6155, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 46: 7261, Class:  0, CF:0.961631, Len:  4, Fitness_tra: 1
Rule 47: 5550, Class:  0, CF:0.452991, Len:  3, Fitness_tra: 0
Rule 48: 3515, Class:  2, CF:0.133929, Len:  4, Fitness_tra: 0
Rule 49: 6341, Class:  2, CF:0.894967, Len:  4, Fitness_tra: 0
Rule 50: 2312, Class:  2, CF:0.244082, Len:  4, Fitness_tra: 0
Rule 51: 2111, Class:  0, CF:0.48399, Len:  4, Fitness_tra: 0
Rule 52: 3544, Class:  2, CF:0.442308, Len:  4, Fitness_tra: 0
Rule 53: 1411, Class:  0, CF:0.346711, Len:  4, Fitness_tra: 0
Rule 54: 5055, Class:  2, CF:0.472, Len:  3, Fitness_tra: 0
Rule 55: 2025, Class:  2, CF:0.401945, Len:  3, Fitness_tra: 0
Rule 56: 5612, Class:  2, CF:0.154791, Len:  4, Fitness_tra: 0
Rule 57: 9721, Class:  0, CF:0.308906, Len:  4, Fitness_tra: 0
Rule 58: 1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 5911, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 60: 5000, Class:  0, CF:0.318471, Len:  1, Fitness_tra: 0
Rule 61: 1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 4453, Class:  0, CF:0.513514, Len:  4, Fitness_tra: 0
Rule 64: 5311, Class:  0, CF:0.452017, Len:  4, Fitness_tra: 0
Rule 65: 30b0, Class:  2, CF:0.366667, Len:  2, Fitness_tra: 0
Rule 66: 1116, Class:  0, CF:0.229888, Len:  4, Fitness_tra: 0
Rule 67: 5022, Class:  2, CF:0.0472618, Len:  3, Fitness_tra: 0
Rule 68: 1133, Class:  0, CF:0.388601, Len:  4, Fitness_tra: 0
Rule 69: 5111, Class:  0, CF:0.645496, Len:  4, Fitness_tra: 0
