------Generation 0------
Rule  1: 0000000, Class:  0, CF:0.881188, Len:  0, Fitness_tra: 265
Rule  2: 3111e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 216a121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  4: 5daa113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  5: 1d3a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: e6f6511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 27a1915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1161513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11af913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 81a6d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5166d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2d63d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 116f551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15a6321, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 0000900, Class:  0, CF:0.00520156, Len:  1, Fitness_tra: 0
Rule 16: 15a6d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 13a6111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11af125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1166911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 15111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d16fd55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1d3f561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 51a3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 11af161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 51a3d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 81af521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3363311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11a6d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1536961, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1166555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 253a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b91a112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3536119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 25afd18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 116a133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 37: 153631e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 21a3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 39: 8d6a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1131541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 45a31c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000500, Class:  0, CF:0.575654, Len:  1, Fitness_tra: 0
Rule 43: 151151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000, Class:  0, CF:0.881188, Len:  0, Fitness_tra: 0
Rule 45: 000000c, Class:  0, CF:0.910056, Len:  1, Fitness_tra: 2
Rule 46: 4116191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1231111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 48: 51a3139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 11a611d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e6a6158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 19f6551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 3561563, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 24f6511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11af315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000, Class:  0, CF:0.881188, Len:  0, Fitness_tra: 0
Rule 56: 1113112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 57: 251a131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 58: 5161922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 17f6122, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 60: 581651c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 113f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 351a513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 581a518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
