------Generation 0------
Rule  1: 5541b, Class:  1, CF:0.820643, Len:  5, Fitness_tra: 0
Rule  2: e1272, Class:  2, CF:0.935411, Len:  5, Fitness_tra: 0
Rule  3: 18117, Class:  0, CF:0.622936, Len:  5, Fitness_tra: 0
Rule  4: 32411, Class:  1, CF:0.875518, Len:  5, Fitness_tra: 1
Rule  5: 182b4, Class:  0, CF:0.201753, Len:  5, Fitness_tra: 0
Rule  6: 35141, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 1d222, Class:  1, CF:0.802598, Len:  5, Fitness_tra: 0
Rule  8: 23117, Class:  2, CF:0.0462842, Len:  5, Fitness_tra: 0
Rule  9: 00c00, Class:  1, CF:0.914573, Len:  1, Fitness_tra: 5
Rule 10: 95172, Class:  1, CF:0.979381, Len:  5, Fitness_tra: 0
Rule 11: 1152b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 55112, Class:  1, CF:0.512529, Len:  5, Fitness_tra: 0
Rule 13: 1d127, Class:  1, CF:0.116619, Len:  5, Fitness_tra: 0
Rule 14: 9dc2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 18171, Class:  0, CF:0.236589, Len:  5, Fitness_tra: 0
Rule 16: 517b2, Class:  2, CF:0.858639, Len:  5, Fitness_tra: 0
Rule 17: 11714, Class:  0, CF:0.489771, Len:  5, Fitness_tra: 0
Rule 18: d81b7, Class:  0, CF:0.967831, Len:  5, Fitness_tra: 0
Rule 19: 51217, Class:  0, CF:0.25357, Len:  5, Fitness_tra: 0
Rule 20: 1c112, Class:  0, CF:0.889605, Len:  5, Fitness_tra: 0
Rule 21: 00400, Class:  0, CF:0.303833, Len:  1, Fitness_tra: 0
Rule 22: c33b2, Class:  2, CF:0.511647, Len:  5, Fitness_tra: 0
Rule 23: 04000, Class:  0, CF:0.579212, Len:  1, Fitness_tra: 54
Rule 24: e1142, Class:  2, CF:0.97978, Len:  5, Fitness_tra: 0
