------Generation 0------
Rule  1: 11114, Class:  0, CF:0.258298, Len:  5, Fitness_tra: 0
Rule  2: 51414, Class:  0, CF:0.0264666, Len:  5, Fitness_tra: 0
Rule  3: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: -21
Rule  4: 2111b, Class:  0, CF:0.265129, Len:  5, Fitness_tra: 0
Rule  5: 92411, Class:  1, CF:0.2188, Len:  5, Fitness_tra: 0
Rule  6: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule  7: 52b27, Class:  2, CF:0.243712, Len:  5, Fitness_tra: 0
Rule  8: 311b7, Class:  0, CF:0.200855, Len:  5, Fitness_tra: 0
Rule  9: 04b00, Class:  0, CF:0.650967, Len:  2, Fitness_tra: 3
Rule 10: 921b7, Class:  2, CF:0.760854, Len:  5, Fitness_tra: 0
Rule 11: 51717, Class:  0, CF:0.196287, Len:  5, Fitness_tra: 0
Rule 12: 22217, Class:  0, CF:0.565586, Len:  5, Fitness_tra: 0
Rule 13: 35117, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 15: d8147, Class:  0, CF:0.955617, Len:  5, Fitness_tra: 0
Rule 16: 131b7, Class:  2, CF:0.55569, Len:  5, Fitness_tra: 0
Rule 17: 98144, Class:  0, CF:0.540296, Len:  5, Fitness_tra: 0
Rule 18: c1577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 32442, Class:  1, CF:0.145249, Len:  5, Fitness_tra: 0
Rule 20: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 21: 112bb, Class:  0, CF:0.226891, Len:  5, Fitness_tra: 0
Rule 22: 04000, Class:  0, CF:0.570693, Len:  1, Fitness_tra: 2
Rule 23: 31472, Class:  0, CF:0.21526, Len:  5, Fitness_tra: 0
Rule 24: 3dc44, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 952b2, Class:  1, CF:0.992995, Len:  5, Fitness_tra: 0
Rule 26: 52474, Class:  2, CF:0.387191, Len:  5, Fitness_tra: 0
Rule 27: 07000, Class:  0, CF:0.749687, Len:  1, Fitness_tra: 94
