------Generation 0------
Rule  1: 91211, Class:  0, CF:0.387816, Len:  5, Fitness_tra: 0
Rule  2: 19812, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 82217, Class:  0, CF:0.844304, Len:  5, Fitness_tra: 0
Rule  4: 1c22b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 0000b, Class:  0, CF:0.441531, Len:  1, Fitness_tra: 0
Rule  6: 152b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 07000, Class:  0, CF:0.842644, Len:  1, Fitness_tra: 59
Rule  8: 32182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: d2221, Class:  0, CF:0.669756, Len:  5, Fitness_tra: 0
Rule 10: 0b000, Class:  0, CF:0.716918, Len:  1, Fitness_tra: 0
Rule 11: d2111, Class:  0, CF:0.906844, Len:  5, Fitness_tra: 0
Rule 12: 32272, Class:  0, CF:0.934345, Len:  5, Fitness_tra: 0
Rule 13: 18741, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: 98121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 5111b, Class:  1, CF:0.0274999, Len:  5, Fitness_tra: 0
Rule 16: 55c1b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 8c17b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 51142, Class:  1, CF:0.941526, Len:  5, Fitness_tra: 0
Rule 19: 18472, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 12212, Class:  0, CF:0.75909, Len:  5, Fitness_tra: 0
Rule 21: 11111, Class:  0, CF:0.828622, Len:  5, Fitness_tra: 0
Rule 22: 1217b, Class:  0, CF:0.430627, Len:  5, Fitness_tra: 0
Rule 23: 15214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: d8417, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 9917b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 35c1b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 18141, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 31774, Class:  0, CF:0.541155, Len:  5, Fitness_tra: 0
Rule 29: 12111, Class:  0, CF:0.958384, Len:  5, Fitness_tra: 0
Rule 30: 5311b, Class:  1, CF:0.353747, Len:  5, Fitness_tra: 0
Rule 31: 00000, Class:  0, CF:0.720207, Len:  0, Fitness_tra: 39
Rule 32: 914b2, Class:  1, CF:0.93371, Len:  5, Fitness_tra: 0
Rule 33: 15cb1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 32277, Class:  0, CF:0.934345, Len:  5, Fitness_tra: 0
Rule 35: 12144, Class:  1, CF:0.0710944, Len:  5, Fitness_tra: 0
Rule 36: 98c21, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 58412, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 124c1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 1d221, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 95424, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: 517bb, Class:  1, CF:0.532823, Len:  5, Fitness_tra: 0
Rule 42: 91842, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 43: 111b1, Class:  0, CF:0.336192, Len:  5, Fitness_tra: 0
Rule 44: 18c44, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 15171, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 32172, Class:  0, CF:0.714306, Len:  5, Fitness_tra: 0
Rule 47: 1352b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: e5214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 9c224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: dc177, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 9c144, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: 52214, Class:  0, CF:0.643016, Len:  5, Fitness_tra: 0
Rule 53: 58122, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 1c224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 55: 31427, Class:  0, CF:0.573326, Len:  5, Fitness_tra: 0
Rule 56: 58c2b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 5841b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: 52144, Class:  1, CF:0.581076, Len:  5, Fitness_tra: 0
Rule 59: 1b224, Class:  1, CF:0.183897, Len:  5, Fitness_tra: 0
Rule 60: 11271, Class:  0, CF:0.637695, Len:  5, Fitness_tra: 0
Rule 61: 51214, Class:  0, CF:0.109828, Len:  5, Fitness_tra: 0
Rule 62: 04000, Class:  0, CF:0.891536, Len:  1, Fitness_tra: 21
