------Generation 0------
Rule  1: 23514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 984b7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 11411, Class:  0, CF:0.911175, Len:  5, Fitness_tra: 0
Rule  4: 11711, Class:  0, CF:0.907321, Len:  5, Fitness_tra: 0
Rule  5: 15121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: 11177, Class:  1, CF:0.477801, Len:  5, Fitness_tra: 0
Rule  7: 5d114, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 51411, Class:  0, CF:0.698274, Len:  5, Fitness_tra: 0
Rule  9: 98121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 31114, Class:  0, CF:0.544087, Len:  5, Fitness_tra: 0
Rule 11: 58c74, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 15147, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 2d821, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: 55c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: d51b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 58122, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 5c214, Class:  0, CF:0.994989, Len:  5, Fitness_tra: 0
Rule 18: 53124, Class:  1, CF:0.972794, Len:  5, Fitness_tra: 0
Rule 19: 11211, Class:  0, CF:0.917231, Len:  5, Fitness_tra: 0
Rule 20: 9141b, Class:  1, CF:0.130379, Len:  5, Fitness_tra: 0
Rule 21: 51414, Class:  0, CF:0.059883, Len:  5, Fitness_tra: 0
Rule 22: 11221, Class:  0, CF:0.443112, Len:  5, Fitness_tra: 0
Rule 23: 38121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 15421, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
