------Generation 0------
Rule  1: 1e217, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 58247, Class:  2, CF:0.659167, Len:  5, Fitness_tra: 0
Rule  3: 88174, Class:  2, CF:0.898457, Len:  5, Fitness_tra: 0
Rule  4: 11472, Class:  0, CF:0.612683, Len:  5, Fitness_tra: 0
Rule  5: 21172, Class:  0, CF:0.858007, Len:  5, Fitness_tra: 0
Rule  6: 55212, Class:  1, CF:0.824329, Len:  5, Fitness_tra: 0
Rule  7: 0000b, Class:  2, CF:0.391304, Len:  1, Fitness_tra: 0
Rule  8: 58144, Class:  2, CF:0.838812, Len:  5, Fitness_tra: 0
Rule  9: c1122, Class:  0, CF:0.764081, Len:  5, Fitness_tra: 0
Rule 10: 2311b, Class:  2, CF:0.0298554, Len:  5, Fitness_tra: 0
Rule 11: 31112, Class:  2, CF:0.30279, Len:  5, Fitness_tra: 0
Rule 12: 0c000, Class:  2, CF:0.657768, Len:  1, Fitness_tra: 19
Rule 13: 5814b, Class:  2, CF:0.838812, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: -3
Rule 15: 15124, Class:  1, CF:0.477405, Len:  5, Fitness_tra: 0
Rule 16: d14b7, Class:  0, CF:0.335126, Len:  5, Fitness_tra: 0
Rule 17: 00c00, Class:  1, CF:0.910931, Len:  1, Fitness_tra: 10
Rule 18: 111bb, Class:  0, CF:0.0931308, Len:  5, Fitness_tra: 0
Rule 19: 58144, Class:  2, CF:0.838812, Len:  5, Fitness_tra: 0
Rule 20: 51117, Class:  0, CF:0.145616, Len:  5, Fitness_tra: 0
Rule 21: d2117, Class:  2, CF:0.643151, Len:  5, Fitness_tra: 0
Rule 22: 11442, Class:  0, CF:0.635217, Len:  5, Fitness_tra: 0
Rule 23: 19547, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 32c44, Class:  1, CF:0.998468, Len:  5, Fitness_tra: 0
Rule 25: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 26: 512b1, Class:  0, CF:0.124342, Len:  5, Fitness_tra: 0
Rule 27: 5c141, Class:  2, CF:0.903542, Len:  5, Fitness_tra: 0
Rule 28: 13342, Class:  0, CF:0.878689, Len:  5, Fitness_tra: 0
Rule 29: 5c2b1, Class:  2, CF:0.786846, Len:  5, Fitness_tra: 0
Rule 30: d2172, Class:  0, CF:0.693308, Len:  5, Fitness_tra: 0
