------Generation 0------
Rule  1: 12481, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 11521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 34214, Class:  1, CF:0.21698, Len:  5, Fitness_tra: 0
Rule  4: 32121, Class:  1, CF:0.416549, Len:  5, Fitness_tra: 0
Rule  5: 554b2, Class:  1, CF:0.724484, Len:  5, Fitness_tra: 0
Rule  6: 311b2, Class:  2, CF:0.276277, Len:  5, Fitness_tra: 0
Rule  7: 91122, Class:  0, CF:0.981463, Len:  5, Fitness_tra: 0
Rule  8: 1c114, Class:  2, CF:0.895648, Len:  5, Fitness_tra: 0
Rule  9: 00700, Class:  2, CF:0.440815, Len:  1, Fitness_tra: -4
Rule 10: 1c212, Class:  2, CF:0.735532, Len:  5, Fitness_tra: 0
Rule 11: 51421, Class:  0, CF:0.352614, Len:  5, Fitness_tra: 0
Rule 12: 25744, Class:  1, CF:0.574021, Len:  5, Fitness_tra: 0
Rule 13: 552bb, Class:  1, CF:0.724484, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 10
Rule 15: 51c27, Class:  2, CF:0.253712, Len:  5, Fitness_tra: 0
Rule 16: 82277, Class:  2, CF:0.363596, Len:  5, Fitness_tra: 0
Rule 17: 95227, Class:  1, CF:0.993506, Len:  5, Fitness_tra: 0
Rule 18: d5277, Class:  2, CF:0.25048, Len:  5, Fitness_tra: 0
Rule 19: 55272, Class:  1, CF:0.724484, Len:  5, Fitness_tra: 0
Rule 20: 5522b, Class:  1, CF:0.724484, Len:  5, Fitness_tra: 0
Rule 21: 11421, Class:  2, CF:0.178484, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 23: 15171, Class:  1, CF:0.861546, Len:  5, Fitness_tra: 0
Rule 24: 5c421, Class:  2, CF:0.792149, Len:  5, Fitness_tra: 0
Rule 25: 1212b, Class:  2, CF:0.162891, Len:  5, Fitness_tra: 0
Rule 26: 62121, Class:  1, CF:0.973998, Len:  5, Fitness_tra: 0
Rule 27: 18414, Class:  2, CF:0.217973, Len:  5, Fitness_tra: 0
Rule 28: 04b00, Class:  2, CF:0.63948, Len:  2, Fitness_tra: 18
Rule 29: 91221, Class:  0, CF:0.694784, Len:  5, Fitness_tra: 0
Rule 30: 551b1, Class:  1, CF:0.671927, Len:  5, Fitness_tra: 0
Rule 31: 15242, Class:  1, CF:0.922474, Len:  5, Fitness_tra: 0
Rule 32: 58224, Class:  2, CF:0.680186, Len:  5, Fitness_tra: 0
Rule 33: 92c74, Class:  1, CF:0.920165, Len:  5, Fitness_tra: 0
Rule 34: 31741, Class:  2, CF:0.20235, Len:  5, Fitness_tra: 0
Rule 35: 21127, Class:  0, CF:0.8537, Len:  5, Fitness_tra: 0
Rule 36: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 37: e4214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 114b4, Class:  0, CF:0.273499, Len:  5, Fitness_tra: 0
Rule 39: 5cc42, Class:  2, CF:0.253892, Len:  5, Fitness_tra: 0
