------Generation 0------
Rule  1: 3111b, Class:  2, CF:0.29769, Len:  5, Fitness_tra: 0
Rule  2: 51414, Class:  2, CF:0.15978, Len:  5, Fitness_tra: 0
Rule  3: 9121b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: -23
Rule  5: e8411, Class:  1, CF:0.802434, Len:  5, Fitness_tra: 0
Rule  6: 55724, Class:  1, CF:0.700815, Len:  5, Fitness_tra: 0
Rule  7: 04700, Class:  2, CF:0.513724, Len:  2, Fitness_tra: 0
Rule  8: 1d4b4, Class:  1, CF:0.691328, Len:  5, Fitness_tra: 0
Rule  9: e21b7, Class:  0, CF:0.809965, Len:  5, Fitness_tra: 0
Rule 10: 91717, Class:  0, CF:0.0424573, Len:  5, Fitness_tra: 0
Rule 11: 52217, Class:  2, CF:0.565393, Len:  5, Fitness_tra: 0
Rule 12: 35117, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 23147, Class:  0, CF:0.876932, Len:  5, Fitness_tra: 0
Rule 14: 14411, Class:  2, CF:0.279176, Len:  5, Fitness_tra: 0
Rule 15: 98144, Class:  2, CF:0.498246, Len:  5, Fitness_tra: 0
Rule 16: 81877, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 31411, Class:  1, CF:0.362363, Len:  5, Fitness_tra: 0
Rule 18: 112bb, Class:  2, CF:0.358691, Len:  5, Fitness_tra: 0
Rule 19: e51b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 517b4, Class:  0, CF:0.686462, Len:  5, Fitness_tra: 0
Rule 21: 34424, Class:  2, CF:0.00837473, Len:  5, Fitness_tra: 0
Rule 22: 182b7, Class:  2, CF:0.0950168, Len:  5, Fitness_tra: 0
Rule 23: e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11112, Class:  2, CF:0.0514808, Len:  5, Fitness_tra: 0
Rule 25: 5c244, Class:  2, CF:0.910511, Len:  5, Fitness_tra: 0
Rule 26: 31212, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 12171, Class:  2, CF:0.368557, Len:  5, Fitness_tra: 0
Rule 28: 11c2b, Class:  1, CF:0.16819, Len:  5, Fitness_tra: 0
Rule 29: 157b4, Class:  1, CF:0.618092, Len:  5, Fitness_tra: 0
Rule 30: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 31: 5272b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 13174, Class:  0, CF:0.756174, Len:  5, Fitness_tra: 0
Rule 33: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 34: 52121, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 36: 124b1, Class:  2, CF:0.0167959, Len:  5, Fitness_tra: 0
Rule 37: e1411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3c72b, Class:  2, CF:0.165714, Len:  5, Fitness_tra: 0
Rule 39: 18742, Class:  2, CF:0.531713, Len:  5, Fitness_tra: 0
Rule 40: 18112, Class:  2, CF:0.545008, Len:  5, Fitness_tra: 0
Rule 41: 18247, Class:  2, CF:0.0950168, Len:  5, Fitness_tra: 0
Rule 42: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 43: 32811, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule 44: 11724, Class:  0, CF:0.532331, Len:  5, Fitness_tra: 0
Rule 45: 95172, Class:  1, CF:0.979381, Len:  5, Fitness_tra: 0
Rule 46: 15824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 122b4, Class:  2, CF:0.0596874, Len:  5, Fitness_tra: 0
Rule 48: 9d227, Class:  1, CF:0.985055, Len:  5, Fitness_tra: 0
Rule 49: 922bb, Class:  0, CF:0.37446, Len:  5, Fitness_tra: 0
Rule 50: 13124, Class:  0, CF:0.897721, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 52: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule 53: 91212, Class:  0, CF:0.346484, Len:  5, Fitness_tra: 0
Rule 54: 9544b, Class:  1, CF:0.993506, Len:  5, Fitness_tra: 0
Rule 55: e1211, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 35144, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 03000, Class:  2, CF:0.328823, Len:  1, Fitness_tra: 0
Rule 58: 51222, Class:  0, CF:0.89156, Len:  5, Fitness_tra: 0
Rule 59: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 60: e2121, Class:  0, CF:0.338819, Len:  5, Fitness_tra: 0
Rule 61: 151b7, Class:  1, CF:0.448864, Len:  5, Fitness_tra: 0
Rule 62: 55421, Class:  1, CF:0.869121, Len:  5, Fitness_tra: 0
Rule 63: 11214, Class:  2, CF:0.456686, Len:  5, Fitness_tra: 0
Rule 64: 91c47, Class:  1, CF:0.331047, Len:  5, Fitness_tra: 0
Rule 65: 11741, Class:  2, CF:0.376502, Len:  5, Fitness_tra: 0
Rule 66: 38114, Class:  1, CF:0.755037, Len:  5, Fitness_tra: 0
Rule 67: 18844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 68: 121b1, Class:  2, CF:0.395496, Len:  5, Fitness_tra: 0
Rule 69: 38112, Class:  1, CF:0.755037, Len:  5, Fitness_tra: 0
Rule 70: 11c17, Class:  1, CF:0.483218, Len:  5, Fitness_tra: 0
Rule 71: 312b2, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 18221, Class:  1, CF:0.549838, Len:  5, Fitness_tra: 0
Rule 73: dc474, Class:  2, CF:0.927687, Len:  5, Fitness_tra: 0
Rule 74: 18c17, Class:  1, CF:0.929798, Len:  5, Fitness_tra: 0
Rule 75: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 76: 62721, Class:  1, CF:0.981987, Len:  5, Fitness_tra: 0
Rule 77: 55217, Class:  1, CF:0.814833, Len:  5, Fitness_tra: 0
Rule 78: d844b, Class:  2, CF:0.913825, Len:  5, Fitness_tra: 0
Rule 79: 55122, Class:  1, CF:0.389732, Len:  5, Fitness_tra: 0
Rule 80: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 81: 18771, Class:  1, CF:0.104899, Len:  5, Fitness_tra: 0
Rule 82: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 83: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 84: 04000, Class:  2, CF:0.553054, Len:  1, Fitness_tra: 50
Rule 85: 11721, Class:  2, CF:0.262715, Len:  5, Fitness_tra: 0
Rule 86: 91c1b, Class:  1, CF:0.369934, Len:  5, Fitness_tra: 0
Rule 87: 29241, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: d3427, Class:  0, CF:0.807167, Len:  5, Fitness_tra: 0
Rule 89: 0b000, Class:  2, CF:0.684485, Len:  1, Fitness_tra: 58
Rule 90: 32247, Class:  1, CF:0.613553, Len:  5, Fitness_tra: 0
Rule 91: d1241, Class:  2, CF:0.0444776, Len:  5, Fitness_tra: 0
Rule 92: 92127, Class:  0, CF:0.764193, Len:  5, Fitness_tra: 0
Rule 93: e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 95: 92c71, Class:  1, CF:0.940257, Len:  5, Fitness_tra: 0
Rule 96: 55127, Class:  1, CF:0.389732, Len:  5, Fitness_tra: 0
Rule 97: 514b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: e8122, Class:  2, CF:0.0300494, Len:  5, Fitness_tra: 0
Rule 99: 11222, Class:  0, CF:0.717885, Len:  5, Fitness_tra: 0
Rule100: 5c44b, Class:  2, CF:0.96174, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:25.7732
------Result------
Miss_rate(tra)	:25.7732
Miss_rate(tst)	:19.0476
ARL				:4.15556

------Generation 0------
Rule  1: 3111b, Class:  2, CF:0.29769, Len:  5, Fitness_tra: 0
Rule  2: 51414, Class:  2, CF:0.15978, Len:  5, Fitness_tra: 0
Rule  3: 9121b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: -23
Rule  5: e8411, Class:  1, CF:0.802434, Len:  5, Fitness_tra: 0
Rule  6: 55724, Class:  1, CF:0.700815, Len:  5, Fitness_tra: 0
Rule  7: 04700, Class:  2, CF:0.513724, Len:  2, Fitness_tra: 0
Rule  8: 1d4b4, Class:  1, CF:0.691328, Len:  5, Fitness_tra: 0
