------Generation 0------
Rule  1: 4111d32714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7141de7711, Class:  1, CF:0.656897, Len: 10, Fitness_tra: 0
Rule  3: 72b28311bb, Class:  0, CF:0.886916, Len: 10, Fitness_tra: 0
Rule  4: b5b219771c, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 1742817242, Class:  1, CF:0.348552, Len: 10, Fitness_tra: 0
Rule  6: 17b7137174, Class:  1, CF:0.685853, Len: 10, Fitness_tra: 0
Rule  7: 0000400000, Class:  0, CF:0.852, Len:  1, Fitness_tra: 142
Rule  8: 77b186b1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 742b53214b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb41d942bb, Class:  1, CF:0.973254, Len: 10, Fitness_tra: 0
Rule 11: 44745e242b, Class:  1, CF:0.469361, Len: 10, Fitness_tra: 0
Rule 12: 74221127b4, Class:  1, CF:0.683036, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3777
Rule 14: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 16: 44b153b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 711283b24b, Class:  0, CF:0.917136, Len: 10, Fitness_tra: 0
Rule 18: b444c1b4b2, Class:  0, CF:0.331914, Len: 10, Fitness_tra: 0
Rule 19: 7472211147, Class:  1, CF:0.0746487, Len: 10, Fitness_tra: 0
Rule 20: b1b2b172b7, Class:  1, CF:0.606054, Len: 10, Fitness_tra: 0
Rule 21: 4c177542b2, Class:  0, CF:0.516525, Len: 10, Fitness_tra: 0
Rule 22: 121b167427, Class:  1, CF:0.964155, Len: 10, Fitness_tra: 0
Rule 23: 111189bb42, Class:  0, CF:0.322696, Len: 10, Fitness_tra: 0
Rule 24: 7247834144, Class:  0, CF:0.467632, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 26: b47b817722, Class:  1, CF:0.164369, Len: 10, Fitness_tra: 0
Rule 27: b717224bb2, Class:  0, CF:0.705499, Len: 10, Fitness_tra: 0
Rule 28: 4127237bb1, Class:  1, CF:0.697187, Len: 10, Fitness_tra: 0
Rule 29: 7114834727, Class:  0, CF:0.919555, Len: 10, Fitness_tra: 0
Rule 30: 2222c92721, Class:  0, CF:0.813145, Len: 10, Fitness_tra: 0
Rule 31: 41b7297211, Class:  1, CF:0.278415, Len: 10, Fitness_tra: 0
Rule 32: 121781b472, Class:  0, CF:0.0710447, Len: 10, Fitness_tra: 0
Rule 33: 1b71291142, Class:  1, CF:0.792659, Len: 10, Fitness_tra: 0
Rule 34: b744151b12, Class:  0, CF:0.0710831, Len: 10, Fitness_tra: 0
Rule 35: 721221b172, Class:  0, CF:0.275829, Len: 10, Fitness_tra: 0
Rule 36: 1ab119421b, Class:  1, CF:0.410938, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 38: b77419b1bb, Class:  0, CF:0.88947, Len: 10, Fitness_tra: 0
Rule 39: 427229417b, Class:  0, CF:0.368772, Len: 10, Fitness_tra: 0
Rule 40: 777b531221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
