------Generation 0------
Rule  1: b14221bb12, Class:  0, CF:0.784098, Len: 10, Fitness_tra: 0
Rule  2: 732141b22c, Class:  1, CF:0.995721, Len: 10, Fitness_tra: 0
Rule  3: 1272412741, Class:  0, CF:0.982769, Len: 10, Fitness_tra: 0
Rule  4: b8b42311b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 211423741b, Class:  0, CF:0.904663, Len: 10, Fitness_tra: 0
Rule  6: b417d32241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11b48e1bbb, Class:  0, CF:  1, Len: 10, Fitness_tra: 176
Rule  8: 14b7117227, Class:  0, CF:0.556033, Len: 10, Fitness_tra: 0
Rule  9: 7724231b22, Class:  0, CF:0.9806, Len: 10, Fitness_tra: 0
Rule 10: 1111217b14, Class:  0, CF:0.665738, Len: 10, Fitness_tra: 2356
Rule 11: 2148aa1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 14b25e1b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 127
Rule 13: 1414167412, Class:  0, CF:0.998542, Len: 10, Fitness_tra: 0
Rule 14: 1127511b71, Class:  0, CF:0.893752, Len: 10, Fitness_tra: 4
Rule 15: 77225eb122, Class:  1, CF:0.619509, Len: 10, Fitness_tra: 0
Rule 16: 4771214477, Class:  1, CF:0.269769, Len: 10, Fitness_tra: 0
Rule 17: b2175e1222, Class:  0, CF:0.103908, Len: 10, Fitness_tra: 0
Rule 18: 7b12c622b4, Class:  0, CF:0.740026, Len: 10, Fitness_tra: 0
Rule 19: 724426bbb1, Class:  0, CF:0.999335, Len: 10, Fitness_tra: 0
Rule 20: 754221b117, Class:  0, CF:0.62289, Len: 10, Fitness_tra: 0
Rule 21: b641517144, Class:  1, CF:0.996395, Len: 10, Fitness_tra: 0
Rule 22: 27225f2bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7147d6247b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2577814442, Class:  1, CF:0.324753, Len: 10, Fitness_tra: 0
Rule 25: 4147c12227, Class:  1, CF:0.860468, Len: 10, Fitness_tra: 1
Rule 26: 4244192b2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 72b4451b44, Class:  0, CF:0.803211, Len: 10, Fitness_tra: 0
Rule 28: 1441834b41, Class:  0, CF:0.967547, Len: 10, Fitness_tra: 1
Rule 29: 4817131447, Class:  0, CF:0.953824, Len: 10, Fitness_tra: 0
Rule 30: 224753b14b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2bbb1a144b, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 32: b74b267441, Class:  0, CF:0.998586, Len: 10, Fitness_tra: 0
Rule 33: 78721d2772, Class:  0, CF:0.91277, Len: 10, Fitness_tra: 0
Rule 34: 7b772317b1, Class:  0, CF:0.927606, Len: 10, Fitness_tra: 0
Rule 35: b211564424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: bc7259bb12, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 37: b124c64722, Class:  0, CF:0.815286, Len: 10, Fitness_tra: 0
Rule 38: b2b72922b1, Class:  0, CF:0.985284, Len: 10, Fitness_tra: 0
Rule 39: 24b25f4471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2712214bb4, Class:  0, CF:0.772485, Len: 10, Fitness_tra: 0
Rule 41: 1b44864111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 14b4832b27, Class:  0, CF:0.97973, Len: 10, Fitness_tra: 0
Rule 43: 22b721b722, Class:  0, CF:0.360949, Len: 10, Fitness_tra: 0
Rule 44: 4544c94717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 7744814147, Class:  1, CF:0.383873, Len: 10, Fitness_tra: 0
Rule 46: 44b1297221, Class:  1, CF:0.957478, Len: 10, Fitness_tra: 0
Rule 47: 1c2c26bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1741862227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0000000005, Class:  0, CF:0.576835, Len:  1, Fitness_tra: -1
Rule 50: 44b21a7b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: b147891224, Class:  1, CF:0.87041, Len: 10, Fitness_tra: 0
Rule 52: 154b192771, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 53: b727811b77, Class:  0, CF:0.254622, Len: 10, Fitness_tra: 0
Rule 54: b3b122b244, Class:  1, CF:0.989299, Len: 10, Fitness_tra: 0
Rule 55: 727281b1b2, Class:  0, CF:0.660353, Len: 10, Fitness_tra: 0
Rule 56: 1417d3b7b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 7b241a1111, Class:  0, CF:  1, Len: 10, Fitness_tra: 41
Rule 58: 42121677b2, Class:  0, CF:0.999938, Len: 10, Fitness_tra: 0
Rule 59: 77b73f7124, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: bab44e742c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7741834727, Class:  0, CF:0.929615, Len: 10, Fitness_tra: 0
Rule 62: b211d5124b, Class:  1, CF:0.789168, Len: 10, Fitness_tra: -28
Rule 63: 267225bb41, Class:  1, CF:0.119526, Len: 10, Fitness_tra: 0
Rule 64: b72413427b, Class:  0, CF:0.995313, Len: 10, Fitness_tra: 0
Rule 65: 2242c54217, Class:  0, CF:0.656467, Len: 10, Fitness_tra: 0
Rule 66: 41778e777b, Class:  0, CF:0.389575, Len: 10, Fitness_tra: 0
Rule 67: 4c212ab411, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 4127512177, Class:  1, CF:0.469508, Len: 10, Fitness_tra: 0
