------Generation 0------
Rule  1: 227711147b, Class:  4, CF:0.255423, Len: 10, Fitness_tra: 0
Rule  2: 41b48e7772, Class:  2, CF:0.216024, Len: 10, Fitness_tra: 0
Rule  3: 7547414221, Class:  2, CF:0.958601, Len: 10, Fitness_tra: 0
Rule  4: b7b1111241, Class:  4, CF:0.194833, Len: 10, Fitness_tra: 0
Rule  5: 2477212272, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b2bb8a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 4112114114, Class:  0, CF:0.504406, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 3483
Rule  9: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 10: bb471e7441, Class:  2, CF:0.92889, Len: 10, Fitness_tra: 0
Rule 11: 282b25b114, Class:  0, CF:0.620331, Len: 10, Fitness_tra: 0
Rule 12: 221b267241, Class:  4, CF:0.978336, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 14: 2527264471, Class:  4, CF:0.994049, Len: 10, Fitness_tra: 0
Rule 15: 2b17d5b7b7, Class:  0, CF:0.27895, Len: 10, Fitness_tra: 0
Rule 16: 21221312bb, Class:  4, CF:0.834757, Len: 10, Fitness_tra: 0
Rule 17: 4b422141b7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 2411162714, Class:  4, CF:0.971731, Len: 10, Fitness_tra: 0
Rule 19: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 20: 2477491421, Class:  0, CF:0.149407, Len: 10, Fitness_tra: 0
Rule 21: 17173f7271, Class:  4, CF:0.718208, Len: 10, Fitness_tra: 0
Rule 22: 2211c11721, Class:  0, CF:0.0211364, Len: 10, Fitness_tra: 0
Rule 23: 1174167127, Class:  4, CF:0.912644, Len: 10, Fitness_tra: 0
Rule 24: 44144d7b24, Class:  0, CF:0.233594, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 26: 12b25a7712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 28: 722bf627b4, Class:  4, CF:0.998801, Len: 10, Fitness_tra: 0
Rule 29: bb1441bb44, Class:  2, CF:0.000948711, Len: 10, Fitness_tra: 0
Rule 30: 0000e00000, Class:  1, CF:0.00103776, Len:  1, Fitness_tra: 0
Rule 31: b121161b2b, Class:  4, CF:0.975629, Len: 10, Fitness_tra: 0
Rule 32: 2c17c11747, Class:  0, CF:0.626959, Len: 10, Fitness_tra: 0
Rule 33: 721b297217, Class:  0, CF:0.266705, Len: 10, Fitness_tra: 0
Rule 34: 4111234124, Class:  4, CF:0.47816, Len: 10, Fitness_tra: 0
Rule 35: 1111934111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7171da7144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 144b8e21b7, Class:  0, CF:0.747705, Len: 10, Fitness_tra: 0
Rule 38: 29711521b4, Class:  0, CF:0.794201, Len: 10, Fitness_tra: 0
Rule 39: 21771317b4, Class:  4, CF:0.797148, Len: 10, Fitness_tra: 0
Rule 40: b4b4832244, Class:  0, CF:0.982305, Len: 10, Fitness_tra: 0
Rule 41: 4bb4ce4147, Class:  2, CF:0.53801, Len: 10, Fitness_tra: 0
Rule 42: 2c72164771, Class:  4, CF:0.997216, Len: 10, Fitness_tra: 0
Rule 43: 27bb267417, Class:  4, CF:0.989262, Len: 10, Fitness_tra: 0
Rule 44: 11bb2d71b4, Class:  0, CF:0.583707, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 46: 21278f722b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 21b2c54414, Class:  2, CF:0.22359, Len: 10, Fitness_tra: 0
Rule 48: b8441d4b44, Class:  4, CF:0.379738, Len: 10, Fitness_tra: 0
Rule 49: b22b1e2b41, Class:  1, CF:0.578081, Len: 10, Fitness_tra: 0
Rule 50: 4b41817174, Class:  2, CF:0.949971, Len: 10, Fitness_tra: 0
Rule 51: b1174eb421, Class:  2, CF:0.0463313, Len: 10, Fitness_tra: 0
Rule 52: 142b13441b, Class:  4, CF:0.756988, Len: 10, Fitness_tra: 0
