------Generation 0------
Rule  1: 1144124b21, Class:  0, CF:0.243963, Len: 10, Fitness_tra: 0
Rule  2: 4424c34121, Class:  0, CF:0.00131108, Len: 10, Fitness_tra: 0
Rule  3: 447b2521b2, Class:  0, CF:0.615974, Len: 10, Fitness_tra: 0
Rule  4: 711221b114, Class:  0, CF:0.590248, Len: 10, Fitness_tra: 0
Rule  5: 71b41171b2, Class:  4, CF:0.252447, Len: 10, Fitness_tra: 0
Rule  6: 164b25444c, Class:  2, CF:0.999999, Len: 10, Fitness_tra: 0
Rule  7: 0000b40000, Class:  0, CF:0.904474, Len:  2, Fitness_tra: 19
Rule  8: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 3508
Rule  9: 1b27c3277b, Class:  0, CF:0.165691, Len: 10, Fitness_tra: 0
Rule 10: 4427c92777, Class:  0, CF:0.761844, Len: 10, Fitness_tra: 0
Rule 11: 45722342b1, Class:  4, CF:0.901849, Len: 10, Fitness_tra: 0
Rule 12: 1441261717, Class:  4, CF:0.940322, Len: 10, Fitness_tra: 0
Rule 13: b8211312b7, Class:  4, CF:0.962078, Len: 10, Fitness_tra: 0
Rule 14: 21421eb147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 171421741b, Class:  0, CF:0.603457, Len: 10, Fitness_tra: 0
Rule 16: 1174334772, Class:  4, CF:0.909616, Len: 10, Fitness_tra: 0
Rule 17: 472b8a41bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 2b213ab721, Class:  4, CF:0.781271, Len: 10, Fitness_tra: 0
Rule 19: b117c64bb4, Class:  2, CF:0.985275, Len: 10, Fitness_tra: 0
Rule 20: 272213bb71, Class:  4, CF:0.961277, Len: 10, Fitness_tra: 0
Rule 21: b1275fb124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 717b2ab411, Class:  4, CF:0.990061, Len: 10, Fitness_tra: 0
Rule 23: 24421374bb, Class:  4, CF:0.955558, Len: 10, Fitness_tra: 0
Rule 24: 2b12114112, Class:  0, CF:0.511942, Len: 10, Fitness_tra: 0
Rule 25: b1771ebbb4, Class:  0, CF:0.866926, Len: 10, Fitness_tra: 0
Rule 26: 11b7c9422b, Class:  0, CF:0.999515, Len: 10, Fitness_tra: 0
Rule 27: 1541854111, Class:  1, CF:0.470216, Len: 10, Fitness_tra: 0
Rule 28: 1b7b8a2b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 461bbdb244, Class:  2, CF:0.701575, Len: 10, Fitness_tra: 0
Rule 30: 7bbb2fb1b1, Class:  0, CF:0.583763, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 32: 17bb2642bb, Class:  4, CF:0.998379, Len: 10, Fitness_tra: 0
Rule 33: bb7bc1b424, Class:  2, CF:0.850705, Len: 10, Fitness_tra: 0
Rule 34: b4bb811112, Class:  0, CF:0.597015, Len: 10, Fitness_tra: 0
Rule 35: 4cbb3ab2b7, Class:  4, CF:0.997914, Len: 10, Fitness_tra: 0
Rule 36: 1b74591277, Class:  2, CF:0.478877, Len: 10, Fitness_tra: 0
Rule 37: bbb213b442, Class:  4, CF:0.96358, Len: 10, Fitness_tra: 0
Rule 38: 741153144b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 77bbd14b7b, Class:  2, CF:0.330437, Len: 10, Fitness_tra: 0
Rule 40: 7117f31744, Class:  4, CF:0.742173, Len: 10, Fitness_tra: 0
Rule 41: 1bb7d12227, Class:  2, CF:0.942378, Len: 10, Fitness_tra: 0
Rule 42: 137211bb11, Class:  0, CF:0.215916, Len: 10, Fitness_tra: 0
Rule 43: 7144b11221, Class:  2, CF:0.259291, Len: 10, Fitness_tra: 0
Rule 44: b441232444, Class:  4, CF:0.692219, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 46: bb1416b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2121c31717, Class:  0, CF:0.0965073, Len: 10, Fitness_tra: 0
Rule 48: b171211771, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b811517211, Class:  0, CF:0.0687685, Len: 10, Fitness_tra: 0
Rule 50: 712b561271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 277b151177, Class:  0, CF:0.417239, Len: 10, Fitness_tra: 0
Rule 52: 4812417747, Class:  0, CF:0.137972, Len: 10, Fitness_tra: 0
Rule 53: b12721bbb2, Class:  4, CF:0.0125699, Len: 10, Fitness_tra: 0
Rule 54: 1242137472, Class:  4, CF:0.945547, Len: 10, Fitness_tra: 0
Rule 55: b7218e11b7, Class:  0, CF:0.0802891, Len: 10, Fitness_tra: 0
Rule 56: b47253b242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: b4125e27bb, Class:  0, CF:0.70675, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 59: 0600000000, Class:  0, CF:0.796805, Len:  1, Fitness_tra: -45
Rule 60: 42bb13bb71, Class:  4, CF:0.9489, Len: 10, Fitness_tra: 0
Rule 61: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 62: 217111b112, Class:  4, CF:0.279794, Len: 10, Fitness_tra: 0
Rule 63: 77425a2b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4424d62bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 722713bb21, Class:  4, CF:0.978137, Len: 10, Fitness_tra: 0
Rule 66: b14b1a4b41, Class:  4, CF:0.995737, Len: 10, Fitness_tra: 0
Rule 67: 1375512222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 127183b211, Class:  0, CF:0.583432, Len: 10, Fitness_tra: 0
Rule 69: 214b8174b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 712715b744, Class:  2, CF:0.149101, Len: 10, Fitness_tra: 0
Rule 71: 1c772e1b12, Class:  0, CF:0.848504, Len: 10, Fitness_tra: 0
Rule 72: 18b2c57222, Class:  0, CF:0.888486, Len: 10, Fitness_tra: 0
Rule 73: 447116b221, Class:  4, CF:0.99928, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 75: 7c7b7ebb24, Class:  0, CF:0.5462, Len: 10, Fitness_tra: 0
Rule 76: 2714614724, Class:  4, CF:0.83272, Len: 10, Fitness_tra: 0
Rule 77: 1bbb164421, Class:  4, CF:0.947622, Len: 10, Fitness_tra: 0
Rule 78: 74274a12b4, Class:  4, CF:0.993223, Len: 10, Fitness_tra: 0
Rule 79: 72b1597171, Class:  2, CF:0.279577, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 81: bf2c127141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 83: b827c32471, Class:  0, CF:0.962148, Len: 10, Fitness_tra: 0
Rule 84: 2171214427, Class:  2, CF:0.43689, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 86: 1442891417, Class:  0, CF:0.805411, Len: 10, Fitness_tra: 0
Rule 87: 47221abb21, Class:  4, CF:0.998038, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule 90: 15725e4242, Class:  0, CF:0.446533, Len: 10, Fitness_tra: 0
Rule 91: 4bb45a4227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 242711b212, Class:  4, CF:0.192145, Len: 10, Fitness_tra: 0
Rule 93: 12b7c37412, Class:  1, CF:0.161579, Len: 10, Fitness_tra: 0
Rule 94: 2121194244, Class:  2, CF:0.977259, Len: 10, Fitness_tra: 0
Rule 95: 421236b72b, Class:  4, CF:0.993895, Len: 10, Fitness_tra: 0
Rule 96: b271ce2777, Class:  2, CF:0.0220189, Len: 10, Fitness_tra: 0
Rule 97: 4bb4da71b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 117b237712, Class:  4, CF:0.706996, Len: 10, Fitness_tra: 0
Rule 99: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 0
Rule100: bc2119b4bb, Class:  0, CF:0.973727, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.233
------Result------
Miss_rate(tra)	:10.233
Miss_rate(tst)	:10.1463
ARL				:8.36905

------Generation 0------
Rule  1: 1144124b21, Class:  0, CF:0.243963, Len: 10, Fitness_tra: 0
Rule  2: 4424c34121, Class:  0, CF:0.00131108, Len: 10, Fitness_tra: 0
Rule  3: 447b2521b2, Class:  0, CF:0.615974, Len: 10, Fitness_tra: 0
Rule  4: 711221b114, Class:  0, CF:0.590248, Len: 10, Fitness_tra: 0
Rule  5: 71b41171b2, Class:  4, CF:0.252447, Len: 10, Fitness_tra: 0
Rule  6: 164b25444c, Class:  2, CF:0.999999, Len: 10, Fitness_tra: 0
Rule  7: 0000b40000, Class:  0, CF:0.904474, Len:  2, Fitness_tra: 19
Rule  8: 0000000000, Class:  0, CF:0.79534, Len:  0, Fitness_tra: 3508
Rule  9: 1b27c3277b, Class:  0, CF:0.165691, Len: 10, Fitness_tra: 0
Rule 10: 4427c92777, Class:  0, CF:0.761844, Len: 10, Fitness_tra: 0
Rule 11: 45722342b1, Class:  4, CF:0.901849, Len: 10, Fitness_tra: 0
Rule 12: 1441261717, Class:  4, CF:0.940322, Len: 10, Fitness_tra: 0
Rule 13: b8211312b7, Class:  4, CF:0.962078, Len: 10, Fitness_tra: 0
Rule 14: 21421eb147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 171421741b, Class:  0, CF:0.603457, Len: 10, Fitness_tra: 0
Rule 16: 1174334772, Class:  4, CF:0.909616, Len: 10, Fitness_tra: 0
Rule 17: 472b8a41bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 2b213ab721, Class:  4, CF:0.781271, Len: 10, Fitness_tra: 0
