------Generation 0------
Rule  1: f133112511312172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5313112191385142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000800400000b, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 211f3111125221f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 111f1112111452f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 6f814d4117315541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 4221913111151831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4316a631dc212c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 51414111616e1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 115611e817c112f5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1313851214625821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 732113158117323b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2a23425bec153311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1f11363514121261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000e00b0000d0000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 461ff63158841218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3a93812241211221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 33332122121b1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21751b5215318345, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 315a191111321244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 132129158818146b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d31f13312174d11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1a51252211156132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 02e7070980060000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 16b3151b411d111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2353152272211412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 6f33832211811111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00500000d0000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 41c6561511115b64, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000000002000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 131a319511621242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4559161f6e351131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5316611da1111b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 16b3151561351217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 162911d7b42916aa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7113515521c2971b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 418a118542171234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 132522171c191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
