------Generation 0------
Rule  1: 30e00c000300004900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 155114218924121555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: c0000000000000c060, Class:  0, CF:0.512752, Len:  3, Fitness_tra: 14
Rule  5: 0000007e0c7b000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule  6: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 222cc1192881511181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d591121d1188871115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 16122ba211e16c21c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e002000c0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1915111c95dd173113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000b000e050b050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: da00000006000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1d92212141118cc285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 15158b51c5151421e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00e08c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000400000007000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11544b2548cc587422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d00000d05000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 258224852112181224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000008c000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000800e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000500000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0d200b000000d00000, Class:  1, CF:0.131641, Len:  4, Fitness_tra: 2
Rule 28: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000500000c00000000, Class:  0, CF:0.497899, Len:  2, Fitness_tra: 1
Rule 30: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1121442eb224c88212, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 0e0000000300008000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000000000000b0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 070000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 81dc222548c1242191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 15821481851111211c, Class:  3, CF:0.418427, Len: 18, Fitness_tra: 1
Rule 37: 21224113b241711113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00a000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2000c0000000000000, Class:  2, CF:0.293284, Len:  2, Fitness_tra: 20
Rule 41: 511114cd118c525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 12
Rule 43: 003000000007000080, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000700000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 418421818282112511, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 85211443b22b542211, Class:  1, CF:0.150967, Len: 18, Fitness_tra: 0
Rule 47: 33611ce291539231d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d11174432141122212, Class:  1, CF:0.177727, Len: 18, Fitness_tra: -7
Rule 50: 00500000300005009c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 936271121133181881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
