------Generation 0------
Rule  1: e00000000020e00000, Class:  2, CF:0.918184, Len:  3, Fitness_tra: -3
Rule  2: 1d88c18521c8d21111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 851c11114224842b11, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000007eb07b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000600000002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1811141588c2122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00d0000000c0000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3118416211e11c151b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 030080005000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 931847915555121158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3e35241213d5311121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000007e0c7b000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000440000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000002000000003, Class:  2, CF:0.479703, Len:  2, Fitness_tra: -43
Rule 21: c00000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5a15221731d1925151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 85117c112124521112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2512b28581c4181217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 009000000d00000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000000000c0d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2cdc2bc141c2c11593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51112111221b222c12, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
