------Generation 0------
Rule  1: fafd9185551ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 6575255815535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 73315585191c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: fef1899321183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b271318c21559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: a1a51d5515519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 72412112f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4419d911c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 127e112121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1a8155313d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: aaa56125d9511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1c15591353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 786d113122855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0c00bee5e0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3e114161a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 13118585111d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 17: 12be58119d359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3113111515552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 33a5e14551518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 12111d1183d51, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 21: 121519528d1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 22f115c119111, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 23: 6971811518813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
