------Generation 0------
Rule  1: 0300000008800, Class:  0, CF:0.853121, Len:  3, Fitness_tra: 202
Rule  2: 6673c51139112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 45f119e111855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: f179d51285591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b471331215199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 6543912113551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1162d5531d116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 6a31d15d81881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000e3002000c0, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 10: 7721d211e2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7c76cb9d39141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000c00d20300d, Class:  0, CF:0.989938, Len:  5, Fitness_tra: 0
Rule 13: 0000c000c0900, Class:  0, CF:0.828046, Len:  3, Fitness_tra: 16
Rule 14: 0000d90d00000, Class:  0, CF:  1, Len:  3, Fitness_tra: 10
Rule 15: 0000cd0000009, Class:  0, CF:0.926356, Len:  3, Fitness_tra: 44
Rule 16: b5ac31522153d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000080d0d59, Class:  0, CF:0.954736, Len:  5, Fitness_tra: 0
Rule 18: 1ca1915181554, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1515161c1d318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11be552581118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b2498c3511518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31651115d1123, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 0009de0c00d08, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: aa621d9915123, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 25: f121152158115, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 26: 161511515181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b5a41ee922111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a31581911d251, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 7121211d5555d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b149de1c11135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: f971858551858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: f143511211138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
