------Generation 0------
Rule  1: 7223821233118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000080003004, Class:  0, CF:0.88041, Len:  3, Fitness_tra: 64
Rule  3: 1229511525155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 177ed19551e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 314512811d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 6123113c14196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1af1911121181, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule  8: 41f1111111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 6571116169128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 32
Rule 11: 1b22115811519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b4b657553d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f3a2111118583, Class:  0, CF:0.827049, Len: 13, Fitness_tra: 4
Rule 14: 00020d9000d80, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 4111156111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 4b25818d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21768859551d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 6aa83e1dd2951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: f1255458551d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: aaa2151151113, Class:  0, CF:0.0360453, Len: 13, Fitness_tra: 0
Rule 21: 0000000009200, Class:  0, CF:0.996562, Len:  2, Fitness_tra: 78
Rule 22: 22a5131918211, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 78a115d18d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b1a15d5515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2111152859111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 0300000500050, Class:  0, CF:0.83962, Len:  3, Fitness_tra: 6
Rule 27: 61422d691d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f1b151181d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: ff659591c288a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 75641121d1925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b24fc49165e1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 12a171351241e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 7c65152181215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3fa5153351c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7132112151519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 136211d525553, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2df1188153221, Class:  0, CF:0.9055, Len: 13, Fitness_tra: 0
Rule 38: 7161138213111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6371151915851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1141e11d1331d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1e2c11111d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f291555118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 152c112185651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 731ca211d9115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 74298211252d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b2115211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 192191c155192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f365911191511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 61b2e155115ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12753de111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: a343132111138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 19b1e1121d615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b8b5d36cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1471158915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71b83531d1932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 57: f3a1113151156, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 7231315c815d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 24b95de815398, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3e2191c8d5531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11f1155815112, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 62: 35731912819e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 71f2d15121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7518e15211311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2141115911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b22e21e21d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11f55d1511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 786191c825355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1131581ce9c23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000c000c0300, Class:  0, CF:0.786343, Len:  3, Fitness_tra: 110
Rule 71: 2c15551252e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 663d311115c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: a1f11899d2883, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 6e1c192522912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
