------Generation 0------
Rule  1: 13f11c11312c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule  2: 253c5d1e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7dfd853151821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c15835118131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: a318121535581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 0004000000de0, Class:  0, CF:0.992135, Len:  3, Fitness_tra: 20
Rule  7: 3af5111e8cccd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: b11612313511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13111595c5211, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: f9b8915191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 36f1e82111185, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 12: 111111d58d531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 612b111118851, Class:  0, CF:0.968103, Len: 13, Fitness_tra: 9
Rule 14: afadd5591d153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00080000000dd, Class:  0, CF:0.974288, Len:  3, Fitness_tra: 58
Rule 16: a6f9121233213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 697ce81d19555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3162119155211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 6af11d9115853, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 74b5183111595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: aeb9851121138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 7141115811313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a6b131858e598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d15231c51131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff25515852c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44411d34119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a641988d13de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f11121111112c, Class:  0, CF:0.831459, Len: 13, Fitness_tra: 25
Rule 29: f94555288535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 72b5211155515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 71611d1219512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 75a1112181358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 22b1211591521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0008000c80000, Class:  0, CF:0.989846, Len:  3, Fitness_tra: 368
Rule 35: 6fa398183188e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a11c151538185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 63191213d1111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 38: b13819c815351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1111d13112813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: bb78591721132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a5b15d31ddd18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3313112d99113, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 43: 617583181cde3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7249d892158d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b8111551495c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: ae21d111155dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 772218121851c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000080e300000, Class:  0, CF:0.966591, Len:  3, Fitness_tra: 15
Rule 49: 3573158d11351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
