------Generation 0------
Rule  1: 2251211121151, Class:  0, CF:0.763051, Len: 13, Fitness_tra: 0
Rule  2: 0003000007004, Class:  0, CF:0.613652, Len:  3, Fitness_tra: -6
Rule  3: 1511124322112, Class:  1, CF:0.124606, Len: 13, Fitness_tra: 0
Rule  4: 02e0807040000, Class:  0, CF:0.813681, Len:  5, Fitness_tra: 0
Rule  5: 1151122311211, Class:  0, CF:0.262188, Len: 13, Fitness_tra: 0
Rule  6: 1c15151121511, Class:  1, CF:0.999879, Len: 13, Fitness_tra: 0
Rule  7: 34d113121d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 3111111155135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8780000000000, Class:  0, CF:0.230858, Len:  3, Fitness_tra: -13
Rule 10: 1515112348881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55311141c1212, Class:  0, CF:0.746665, Len: 13, Fitness_tra: 0
Rule 12: 9191cc2113121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1195822111122, Class:  1, CF:0.502833, Len: 13, Fitness_tra: 0
Rule 14: 5515214128188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 119511412112c, Class:  0, CF:0.987141, Len: 13, Fitness_tra: 0
Rule 16: 2125258252592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111115211151, Class:  0, CF:0.0448658, Len: 13, Fitness_tra: 0
Rule 18: 1111151112511, Class:  1, CF:0.842807, Len: 13, Fitness_tra: 0
Rule 19: 1111115511114, Class:  1, CF:0.631674, Len: 13, Fitness_tra: 0
Rule 20: 1111111151151, Class:  1, CF:0.575505, Len: 13, Fitness_tra: 0
Rule 21: 3458155851133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9c31159c11d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 14111d52281d5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 000000c004000, Class:  0, CF:0.540666, Len:  2, Fitness_tra: -9
Rule 25: 1181152122511, Class:  1, CF:0.463603, Len: 13, Fitness_tra: 0
Rule 26: 1531121511241, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: 1251111851119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 953511112122c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
