------Generation 0------
Rule  1: 85dcb132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:0.959581, Len:  0, Fitness_tra: 1278
Rule  3: 11854111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 15151b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 88122b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 215c7b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: d111bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:0.959581, Len:  0, Fitness_tra: 0
Rule  9: 00000000, Class:  0, CF:0.959581, Len:  0, Fitness_tra: 0
Rule 10: 2511129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:0.959581, Len:  0, Fitness_tra: 0
Rule 12: 11812218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d9884252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8d44bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 15511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 2254bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1181b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 158c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 19: 1d2c2138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 8511b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11522711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1114b221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000, Class:  0, CF:0.959581, Len:  0, Fitness_tra: 0
Rule 24: 12d27b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11521b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
