------Generation 0------
Rule  1: 215c21d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  2: 1d1711b, Class:  1, CF:0.0705544, Len:  7, Fitness_tra: 0
Rule  3: 1318811, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  4: 000c000, Class:  0, CF:0.224459, Len:  1, Fitness_tra: 0
Rule  5: 00b0000, Class:  1, CF:0.264338, Len:  1, Fitness_tra: 1
Rule  6: 53d211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9911191, Class:  1, CF:0.0795709, Len:  7, Fitness_tra: 0
Rule  8: 000e0e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4c27121, Class:  0, CF:0.364002, Len:  7, Fitness_tra: 0
Rule 11: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2124b14, Class:  0, CF:0.578632, Len:  7, Fitness_tra: 0
Rule 13: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8242b12, Class:  0, CF:0.878542, Len:  7, Fitness_tra: 0
Rule 15: 5e58511, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 16: 5111411, Class:  1, CF:0.128425, Len:  7, Fitness_tra: 0
Rule 17: 060050d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000050, Class:  0, CF:0.52667, Len:  1, Fitness_tra: -1
Rule 19: 1651131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0500000, Class:  0, CF:0.558618, Len:  1, Fitness_tra: 6
Rule 21: 45114d4, Class:  0, CF:0.695084, Len:  7, Fitness_tra: 0
Rule 22: 51d1b15, Class:  0, CF:0.547815, Len:  7, Fitness_tra: 0
Rule 23: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 16d423d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4871124, Class:  0, CF:0.487362, Len:  7, Fitness_tra: 0
Rule 26: 0070000, Class:  0, CF:0.0849735, Len:  1, Fitness_tra: 0
Rule 27: 4121417, Class:  0, CF:0.524284, Len:  7, Fitness_tra: 0
Rule 28: 000d0d0, Class:  0, CF:0.875711, Len:  2, Fitness_tra: 1
Rule 29: 0080000, Class:  0, CF:0.787478, Len:  1, Fitness_tra: 16
Rule 30: 00c0000, Class:  0, CF:0.634418, Len:  1, Fitness_tra: 26
Rule 31: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: d000400, Class:  0, CF:0.927588, Len:  2, Fitness_tra: 2
Rule 33: 000b000, Class:  0, CF:0.160664, Len:  1, Fitness_tra: 0
Rule 34: 6000007, Class:  1, CF:0.586005, Len:  2, Fitness_tra: 2
Rule 35: 2177412, Class:  0, CF:0.425868, Len:  7, Fitness_tra: 0
Rule 36: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1c47717, Class:  0, CF:0.230336, Len:  7, Fitness_tra: 0
Rule 38: 0004000, Class:  0, CF:0.215991, Len:  1, Fitness_tra: -3
