------Generation 0------
Rule  1: 0500000, Class:  0, CF:0.574675, Len:  1, Fitness_tra: 9
Rule  2: 9954715, Class:  0, CF:0.923268, Len:  7, Fitness_tra: 0
Rule  3: 2112b11, Class:  0, CF:0.407717, Len:  7, Fitness_tra: 0
Rule  4: 135c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: d111565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 4147721, Class:  0, CF:0.625272, Len:  7, Fitness_tra: 0
Rule  7: 1e1151d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  8: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 4812212, Class:  0, CF:0.782376, Len:  7, Fitness_tra: 0
Rule 10: 221bb22, Class:  0, CF:0.759213, Len:  7, Fitness_tra: 0
Rule 11: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000e0, Class:  0, CF:0.919659, Len:  1, Fitness_tra: 9
Rule 13: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1618111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 4811122, Class:  0, CF:0.529608, Len:  7, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c824241, Class:  0, CF:0.7399, Len:  7, Fitness_tra: 0
Rule 20: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0600000, Class:  1, CF:0.638918, Len:  1, Fitness_tra: -1
Rule 22: 00000d0, Class:  0, CF:0.384651, Len:  1, Fitness_tra: -5
Rule 23: 5312715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4514711, Class:  0, CF:0.665589, Len:  7, Fitness_tra: 0
Rule 25: 1131111, Class:  1, CF:0.785124, Len:  7, Fitness_tra: 3
Rule 26: 7514b11, Class:  0, CF:0.558692, Len:  7, Fitness_tra: 0
Rule 27: 6020000, Class:  1, CF:0.634018, Len:  2, Fitness_tra: 0
Rule 28: 2924bd4, Class:  0, CF:0.921825, Len:  7, Fitness_tra: 0
Rule 29: d151211, Class:  0, CF:0.942023, Len:  7, Fitness_tra: 0
Rule 30: 2114127, Class:  0, CF:0.388608, Len:  7, Fitness_tra: 0
Rule 31: 224171b, Class:  0, CF:0.421752, Len:  7, Fitness_tra: 0
Rule 32: 0007000, Class:  0, CF:0.329913, Len:  1, Fitness_tra: 0
Rule 33: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 4000004, Class:  0, CF:0.597585, Len:  2, Fitness_tra: 27
Rule 35: 1144714, Class:  0, CF:0.600279, Len:  7, Fitness_tra: 0
Rule 36: 5000008, Class:  0, CF:0.766268, Len:  2, Fitness_tra: -1
Rule 37: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3317215, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 39: 2842b17, Class:  0, CF:0.498613, Len:  7, Fitness_tra: 0
