------Generation 0------
Rule  1: 0000007, Class:  0, CF:0.0999867, Len:  1, Fitness_tra: -1
Rule  2: 1142411, Class:  0, CF:0.418795, Len:  7, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 31e5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 112bb11, Class:  1, CF:0.0553251, Len:  7, Fitness_tra: 0
Rule  8: 00000e4, Class:  0, CF:0.981831, Len:  2, Fitness_tra: 10
Rule  9: 1111111, Class:  1, CF:0.693246, Len:  7, Fitness_tra: 10
Rule 10: 0c00080, Class:  1, CF:0.244468, Len:  2, Fitness_tra: 11
Rule 11: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1191211, Class:  0, CF:0.640549, Len:  7, Fitness_tra: 0
Rule 14: 4111b14, Class:  0, CF:0.15743, Len:  7, Fitness_tra: 0
Rule 15: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0b000b0, Class:  1, CF:0.804636, Len:  2, Fitness_tra: 18
Rule 17: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000b000, Class:  0, CF:0.0920897, Len:  1, Fitness_tra: 0
Rule 20: 1194415, Class:  0, CF:0.896063, Len:  7, Fitness_tra: 0
Rule 21: 1821b51, Class:  0, CF:0.404229, Len:  7, Fitness_tra: 0
Rule 22: 000000c, Class:  0, CF:0.623913, Len:  1, Fitness_tra: 15
Rule 23: 1322111, Class:  1, CF:0.556005, Len:  7, Fitness_tra: 0
Rule 24: 4111b2b, Class:  0, CF:0.0035522, Len:  7, Fitness_tra: 0
Rule 25: 251b754, Class:  0, CF:0.85162, Len:  7, Fitness_tra: 0
Rule 26: 5314411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2311211, Class:  1, CF:0.433342, Len:  7, Fitness_tra: 0
Rule 29: c600000, Class:  1, CF:0.600971, Len:  2, Fitness_tra: 0
Rule 30: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: d131131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2112138, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 48171c1, Class:  1, CF:0.0639749, Len:  7, Fitness_tra: 0
Rule 35: 23d7b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: d157215, Class:  0, CF:0.983383, Len:  7, Fitness_tra: 0
Rule 37: 11b42c4, Class:  0, CF:0.445439, Len:  7, Fitness_tra: 0
Rule 38: 5155135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b141447, Class:  1, CF:0.00275107, Len:  7, Fitness_tra: 0
