------Generation 0------
Rule  1: 2111b21, Class:  0, CF:0.0191678, Len:  7, Fitness_tra: 0
Rule  2: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5152131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4c47117, Class:  0, CF:0.211767, Len:  7, Fitness_tra: 0
Rule  5: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2c22211, Class:  0, CF:0.795652, Len:  7, Fitness_tra: 0
Rule  7: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4544b12, Class:  0, CF:0.658399, Len:  7, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d351515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2221711, Class:  0, CF:0.509025, Len:  7, Fitness_tra: 0
Rule 14: 1135111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 000000c, Class:  0, CF:0.64359, Len:  1, Fitness_tra: 20
Rule 16: 135446d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 135c165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 8217421, Class:  0, CF:0.825361, Len:  7, Fitness_tra: 0
Rule 19: 0030000, Class:  1, CF:0.532868, Len:  1, Fitness_tra: 22
Rule 20: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1dcb114, Class:  0, CF:0.365807, Len:  7, Fitness_tra: 0
Rule 22: 835bb35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: d654131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: d352211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 195251d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 27: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
