------Generation 0------
Rule  1: 2025, Class:  2, CF:0.0727761, Len:  3, Fitness_tra: 0
Rule  2: 0042, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 14c5, Class:  2, CF:0.602013, Len:  4, Fitness_tra: 3
Rule  5: 3131, Class:  1, CF:0.317693, Len:  4, Fitness_tra: 1
Rule  6: 8506, Class:  0, CF:0.994201, Len:  3, Fitness_tra: 22
Rule  7: 4000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0006, Class:  0, CF:0.0823591, Len:  1, Fitness_tra: 2
Rule  9: 0550, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 5000, Class:  0, CF:0.0375455, Len:  1, Fitness_tra: 0
Rule 11: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0055, Class:  2, CF:0.500527, Len:  2, Fitness_tra: 19
Rule 13: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 6505, Class:  2, CF:0.588018, Len:  3, Fitness_tra: 0
Rule 17: 1111, Class:  1, CF:0.0946332, Len:  4, Fitness_tra: 0
Rule 18: 0005, Class:  2, CF:0.0592244, Len:  1, Fitness_tra: -4
Rule 19: 2122, Class:  2, CF:0.332038, Len:  4, Fitness_tra: 5
Rule 20: 3050, Class:  2, CF:0.512433, Len:  2, Fitness_tra: -10
Rule 21: 0070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5550, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 161b, Class:  1, CF:0.356305, Len:  4, Fitness_tra: 2
Rule 25: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 6005, Class:  2, CF:0.770697, Len:  2, Fitness_tra: 31
Rule 28: 0600, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0705, Class:  2, CF:0.244799, Len:  2, Fitness_tra: -12
Rule 30: 0430, Class:  0, CF:0.18492, Len:  2, Fitness_tra: 17
Rule 31: 3111, Class:  1, CF:0.139272, Len:  4, Fitness_tra: 0
Rule 32: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1111, Class:  1, CF:0.0946332, Len:  4, Fitness_tra: 0
Rule 34: 5004, Class:  0, CF:0.0710025, Len:  2, Fitness_tra: 3
Rule 35: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 5381, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6550, Class:  2, CF:0.286014, Len:  3, Fitness_tra: 0
Rule 38: 6113, Class:  1, CF:0.163432, Len:  4, Fitness_tra: 0
Rule 39: 3611, Class:  1, CF:0.255571, Len:  4, Fitness_tra: -2
Rule 40: 5113, Class:  0, CF:0.610265, Len:  4, Fitness_tra: 2
Rule 41: 1213, Class:  0, CF:0.396795, Len:  4, Fitness_tra: 4
Rule 42: 1331, Class:  1, CF:0.378421, Len:  4, Fitness_tra: 15
Rule 43: 2062, Class:  0, CF:0.151071, Len:  3, Fitness_tra: 2
Rule 44: 4405, Class:  2, CF:0.102423, Len:  3, Fitness_tra: 0
Rule 45: 1522, Class:  2, CF:0.10148, Len:  4, Fitness_tra: 0
Rule 46: 5604, Class:  2, CF:0.159246, Len:  3, Fitness_tra: 4
Rule 47: 3173, Class:  1, CF:0.108882, Len:  4, Fitness_tra: 0
Rule 48: 3953, Class:  1, CF:0.242998, Len:  4, Fitness_tra: 0
Rule 49: 2111, Class:  0, CF:0.0612889, Len:  4, Fitness_tra: 0
Rule 50: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0005, Class:  2, CF:0.0592244, Len:  1, Fitness_tra: 0
Rule 52: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0660, Class:  1, CF:0.171911, Len:  2, Fitness_tra: 10
Rule 54: 1c42, Class:  2, CF:0.414282, Len:  4, Fitness_tra: -9
Rule 55: 4311, Class:  1, CF:0.188393, Len:  4, Fitness_tra: 1
