------Generation 0------
Rule  1: b112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 500e, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0060, Class:  0, CF:0.0131601, Len:  1, Fitness_tra: 0
Rule  4: 3500, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5054, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0522, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0464, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1415, Class:  2, CF:0.0471512, Len:  4, Fitness_tra: 3
Rule  9: 3361, Class:  1, CF:0.443334, Len:  4, Fitness_tra: 5
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 6151, Class:  2, CF:0.687539, Len:  4, Fitness_tra: 9
Rule 13: 1612, Class:  2, CF:0.309326, Len:  4, Fitness_tra: 0
Rule 14: 0044, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2161, Class:  0, CF:0.392843, Len:  4, Fitness_tra: 2
Rule 16: 0200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0550, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 15a3, Class:  0, CF:0.964051, Len:  4, Fitness_tra: 3
Rule 20: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 21: 0600, Class:  2, CF:0.104104, Len:  1, Fitness_tra: -1
Rule 22: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1211, Class:  0, CF:0.00725379, Len:  4, Fitness_tra: 0
Rule 25: 0042, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5000, Class:  0, CF:0.0160448, Len:  1, Fitness_tra: 0
Rule 27: 5192, Class:  2, CF:0.536015, Len:  4, Fitness_tra: 10
Rule 28: 1312, Class:  2, CF:0.202077, Len:  4, Fitness_tra: 1
Rule 29: 9531, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 30: 5008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 10
Rule 32: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 34: 0600, Class:  2, CF:0.104104, Len:  1, Fitness_tra: 0
Rule 35: 1931, Class:  0, CF:0.705548, Len:  4, Fitness_tra: 1
