------Generation 0------
Rule  1: 1313e58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: d1315e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 16a3a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 116635c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: e161651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 31611d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 05000d0, Class:  1, CF:0.360459, Len:  2, Fitness_tra: -6
Rule  8: 1116681, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 53a1e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bda6511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 521f913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000004, Class:  0, CF:0.00811743, Len:  1, Fitness_tra: 6
Rule 13: 11aa118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15f6dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 71a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 132f311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 6efff11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 166f1d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 18f1315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3361f54, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1533151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11a311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11ff913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000c0, Class:  1, CF:0.365064, Len:  1, Fitness_tra: -45
Rule 25: 0e00600, Class:  0, CF:0.829399, Len:  2, Fitness_tra: 3
Rule 26: e91f158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 9131919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 25a6281, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 11ffd55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 61fad31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15afd1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000eb, Class:  0, CF:  1, Len:  2, Fitness_tra: 7
Rule 33: 13af15c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 11661d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: e3ff918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 132f351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 361f155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 500000c, Class:  1, CF:0.15942, Len:  2, Fitness_tra: -1
Rule 39: 3fa31d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 316312c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0500500, Class:  1, CF:0.920887, Len:  2, Fitness_tra: 192
Rule 42: 1a5f155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 33f1385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 391aa51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 11611e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
