------Generation 0------
Rule  1: 13f13d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0d00000, Class:  1, CF:0.491323, Len:  1, Fitness_tra: -20
Rule  3: 31af525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: 14
Rule  5: 4323331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11fafdc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 8133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 131f18c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1313612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1561913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1566581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1513585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111a5ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3621191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: 0
Rule 16: 1116118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 151115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 886f118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 332f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e133137, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 21: 560000c, Class:  0, CF:0.80993, Len:  3, Fitness_tra: 6
Rule 22: d51131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 9111131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: e5ff951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 513f112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 26: 11fa319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 35af555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1e3a355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 39af321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1123311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 55af881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 81aa522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1611155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: e11fa41, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 36: 9ef665c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 91f6311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 38: 55aadcd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9336311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 25a1311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 41: 13a3141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 99af351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 55af5c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 191f351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d31131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3536513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 996f158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 313f3d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 22f1311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 50: 15fad11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000500, Class:  1, CF:0.666857, Len:  1, Fitness_tra: 155
Rule 52: d1f111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1161111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 54: 000000d, Class:  0, CF:0.992406, Len:  1, Fitness_tra: 88
Rule 55: 556a321, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 56: 0000500, Class:  1, CF:0.666857, Len:  1, Fitness_tra: 0
Rule 57: e36aa52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1d33112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 59: 936a612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000f00, Class:  0, CF:  1, Len:  1, Fitness_tra: 22
Rule 61: 3a161d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 13aae31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 173f13e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 112f152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 16a1981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 39a6a21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: e31f112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 35a11e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1166919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 5311611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 72: 7136188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 31afa11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 113f3d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 15a155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 596a191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1163d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 15fa1c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e1f3312, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 116f621, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 1561533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 51a1add, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 13263d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 551a9ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: e611128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1dfa818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 521f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 18afdd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 133a111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 663ff52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 33af158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2213511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 313a181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 25af185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 111a638, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1531d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 85aa18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 6163112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: e1f112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 35f6131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:76.4912
------Result------
Miss_rate(tra)	:76.4912
Miss_rate(tst)	:57.5758
ARL				:4.90909

------Generation 0------
Rule  1: 0000500, Class:  1, CF:0.666857, Len:  1, Fitness_tra: 156
Rule  2: 000000d, Class:  0, CF:0.992406, Len:  1, Fitness_tra: 88
Rule  3: 0000f00, Class:  0, CF:  1, Len:  1, Fitness_tra: 22
Rule  4: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: 14
Rule  5: 560000c, Class:  0, CF:0.80993, Len:  3, Fitness_tra: 6
Rule  6: 13f13d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 8133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 131f18c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1313612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1561913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1566581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1513585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111a5ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3621191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: 0
Rule 16: 1116118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 151115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 886f118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 332f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e133137, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 21: 31af525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d51131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 9111131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: e5ff951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 513f112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 26: 11fa319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 35af555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1e3a355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 39af321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1123311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 55af881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 81aa522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1611155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: e11fa41, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 36: 9ef665c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 91f6311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 38: 55aadcd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9336311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 25a1311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 41: 13a3141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 99af351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 55af5c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 191f351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d31131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3536513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 996f158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 313f3d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 22f1311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 50: 15fad11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 35f6131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: d1f111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1161111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 54: 4323331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 556a321, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 56: 0000500, Class:  1, CF:0.666857, Len:  1, Fitness_tra: 0
Rule 57: e36aa52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1d33112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 59: 936a612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 11fafdc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3a161d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 13aae31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 173f13e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 112f152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 16a1981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 39a6a21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: e31f112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 35a11e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1166919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 5311611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 72: 7136188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 31afa11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 113f3d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 15a155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 596a191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1163d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 15fa1c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e1f3312, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 116f621, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 15fa112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 82: 1366612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 8236112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 11a6d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: d863d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3166ad2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0d00000, Class:  1, CF:0.491323, Len:  1, Fitness_tra: -20
Rule 88: 1b31115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 9911985, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 19fa15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1133188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 132f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3132151, Class:  0, CF:0.815301, Len:  7, Fitness_tra: 1
Rule 94: 3baf551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: e81b128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e50f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 15aa555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 71ca691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 7320331, Class:  0, CF:  1, Len:  6, Fitness_tra: 30
Rule100: 438ad41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:71.0526
------Result------
Miss_rate(tra)	:71.0526
Miss_rate(tst)	:48.4848
ARL				:5.12

------Generation 1------
Rule  1: 0000500, Class:  1, CF:0.666857, Len:  1, Fitness_tra: 210
Rule  2: 000000d, Class:  0, CF:0.992406, Len:  1, Fitness_tra: 75
Rule  3: 7320331, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule  4: 0000f00, Class:  0, CF:  1, Len:  1, Fitness_tra: 21
Rule  5: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: -1
Rule  6: 560000c, Class:  0, CF:0.80993, Len:  3, Fitness_tra: 3
Rule  7: 3132151, Class:  0, CF:0.815301, Len:  7, Fitness_tra: 1
Rule  8: 8133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1313612, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1561913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1566581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1513585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111a5ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3621191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0500000, Class:  1, CF:0.564812, Len:  1, Fitness_tra: 0
Rule 16: 1116118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 151115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 886f118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 332f151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e133137, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 21: 31af525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
