------Generation 0------
Rule  1: 66a1a71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 3733511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 6666152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 25fa511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 111f311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  6: e61362c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 61a311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 256a112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 1a13655, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d000000, Class:  1, CF:0.419212, Len:  1, Fitness_tra: 27
Rule 11: 1d1a1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0570590, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111f128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 61ff312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 6000000, Class:  0, CF:0.858481, Len:  1, Fitness_tra: 51
Rule 16: 61f111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 8daf18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000e0, Class:  0, CF:  1, Len:  1, Fitness_tra: 36
Rule 19: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 113f6b2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 21: 916f1c2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 8d36121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 000000c, Class:  0, CF:0.246448, Len:  1, Fitness_tra: 43
Rule 24: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111fd82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 931a158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: ea1f618, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 16f3a52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000c0, Class:  1, CF:0.284724, Len:  1, Fitness_tra: -23
Rule 31: ea16a5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11af911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 21ffd48, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 31aa111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 22af125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1311151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 21fa551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1361115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
