------Generation 0------
Rule  1: c5ecd1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 183211124, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  4: 1814148b2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 42e15b17b, Class:  0, CF:0.143913, Len:  9, Fitness_tra: 0
Rule  6: 8ce8d111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c1e251112, Class:  0, CF:0.341014, Len:  9, Fitness_tra: 0
Rule  8: 8811d1222, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 25e512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c895db8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d09000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 12: 111214274, Class:  0, CF:0.710622, Len:  9, Fitness_tra: 0
Rule 13: cc911181b, Class:  0, CF:0.823701, Len:  9, Fitness_tra: 0
Rule 14: 111117521, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 15: 11121b114, Class:  0, CF:0.0812476, Len:  9, Fitness_tra: 0
Rule 16: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 17: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 3
Rule 18: 513c57221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 211111111, Class:  0, CF:0.0851317, Len:  9, Fitness_tra: 0
Rule 20: 8d3212274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8d1112541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c5ec1751b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8ce114441, Class:  1, CF:0.742645, Len:  9, Fitness_tra: 0
Rule 29: 821551272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 31: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
