------Generation 0------
Rule  1: 853282122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111111114, Class:  0, CF:0.0266075, Len:  9, Fitness_tra: 0
Rule  3: 256214541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 85189bc27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 48381b122, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 812111542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 13113115b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  8: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 181551cb2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 10: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0c0000000, Class:  1, CF:0.118716, Len:  1, Fitness_tra: 54
Rule 16: 400000000, Class:  1, CF:0.00677523, Len:  1, Fitness_tra: 0
Rule 17: 113117141, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: c23112112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 19: c56551117, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 15715b8d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d1c11871, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 24: 181cd4c74, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 25: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 14
Rule 26: 856c125b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 511211142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: c53151c42, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 29: 121892117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 186c14814, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: c1e151117, Class:  0, CF:0.751885, Len:  9, Fitness_tra: 0
Rule 32: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 48e5db81b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 82e884c2b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 35: c2e81b124, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 36: 8d64571b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 88921b124, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 38: 2132d1127, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: 009000000, Class:  1, CF:0.186908, Len:  1, Fitness_tra: -26
Rule 40: 1d1854224, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 41: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5d2114927, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c1e1d2827, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: c59192172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000400000, Class:  0, CF:0.0681099, Len:  1, Fitness_tra: 15
Rule 46: 111112112, Class:  0, CF:0.212388, Len:  9, Fitness_tra: 0
Rule 47: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 211c14142, Class:  0, CF:0.999327, Len:  9, Fitness_tra: 0
Rule 49: 2d641b87c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 81d1521b1, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 51: c113db58b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 8815178b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 556124271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: d56c14cb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: c195d1c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000000c, Class:  1, CF:0.255528, Len:  1, Fitness_tra: 4
Rule 59: 281551571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: c5e551242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 834152cd7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 005090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 65: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 423194871, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 112551542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1d1224118, Class:  0, CF:0.949651, Len:  9, Fitness_tra: 0
Rule 69: 000000400, Class:  1, CF:0.0220485, Len:  1, Fitness_tra: -1
Rule 70: 151111541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 111114111, Class:  1, CF:0.0192568, Len:  9, Fitness_tra: 0
Rule 72: 000700c00, Class:  1, CF:0.0820519, Len:  2, Fitness_tra: 0
Rule 73: 213552241, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
