------Generation 0------
Rule  1: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: db7, Class:  0, CF:0.621182, Len:  3, Fitness_tra: 0
Rule  4: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 187, Class:  0, CF:0.496294, Len:  3, Fitness_tra: 0
Rule 11: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 050, Class:  1, CF:0.121893, Len:  1, Fitness_tra: 3
Rule 14: 500, Class:  0, CF:0.070939, Len:  1, Fitness_tra: 0
Rule 15: 00d, Class:  0, CF:0.0152633, Len:  1, Fitness_tra: 0
Rule 16: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d00, Class:  0, CF:0.0222711, Len:  1, Fitness_tra: 0
Rule 20: 0c0, Class:  0, CF:0.13639, Len:  1, Fitness_tra: -20
Rule 21: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 412, Class:  0, CF:0.591988, Len:  3, Fitness_tra: 1
Rule 31: 411, Class:  0, CF:0.0174608, Len:  3, Fitness_tra: 0
Rule 32: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 472, Class:  0, CF:0.600356, Len:  3, Fitness_tra: 0
Rule 41: 040, Class:  0, CF:0.0369273, Len:  1, Fitness_tra: -2
Rule 42: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 118, Class:  0, CF:0.444057, Len:  3, Fitness_tra: 0
Rule 45: 134, Class:  0, CF:0.328598, Len:  3, Fitness_tra: 0
Rule 46: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0a0, Class:  0, CF:0.0976628, Len:  1, Fitness_tra: -14
Rule 48: 127, Class:  0, CF:0.412525, Len:  3, Fitness_tra: 0
Rule 49: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00c, Class:  0, CF:0.632642, Len:  1, Fitness_tra: 9
Rule 51: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 090, Class:  1, CF:0.250915, Len:  1, Fitness_tra: 13
Rule 53: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 134, Class:  0, CF:0.328598, Len:  3, Fitness_tra: 0
Rule 56: c00, Class:  0, CF:0.0753389, Len:  1, Fitness_tra: -14
Rule 57: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 112, Class:  0, CF:0.439288, Len:  3, Fitness_tra: 1
Rule 59: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 337, Class:  0, CF:0.0857312, Len:  3, Fitness_tra: 0
Rule 63: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 11b, Class:  0, CF:0.347531, Len:  3, Fitness_tra: 0
Rule 65: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00c, Class:  0, CF:0.632642, Len:  1, Fitness_tra: 0
Rule 71: 200, Class:  0, CF:0.0568548, Len:  1, Fitness_tra: -3
Rule 72: 11b, Class:  0, CF:0.347531, Len:  3, Fitness_tra: 0
Rule 73: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 090, Class:  1, CF:0.250915, Len:  1, Fitness_tra: 0
Rule 85: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 551, Class:  1, CF:0.523841, Len:  3, Fitness_tra: 10
Rule 87: 2d1, Class:  1, CF:0.113471, Len:  3, Fitness_tra: 3
Rule 88: 090, Class:  1, CF:0.250915, Len:  1, Fitness_tra: 0
Rule 89: c00, Class:  0, CF:0.0753389, Len:  1, Fitness_tra: 0
Rule 90: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 12c, Class:  0, CF:0.659786, Len:  3, Fitness_tra: 0
Rule 94: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 007, Class:  0, CF:0.47973, Len:  1, Fitness_tra: 70
Rule 96: 484, Class:  0, CF:0.625774, Len:  3, Fitness_tra: 1
Rule 97: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00c, Class:  0, CF:0.632642, Len:  1, Fitness_tra: 0
Rule 99: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:42.8218
------Result------
Miss_rate(tra)	:42.8218
Miss_rate(tst)	:70.9677
ARL				:0.68

------Generation 0------
Rule  1: 007, Class:  0, CF:0.47973, Len:  1, Fitness_tra: 20
Rule  2: 090, Class:  1, CF:0.250915, Len:  1, Fitness_tra: 2
Rule  3: 551, Class:  1, CF:0.523841, Len:  3, Fitness_tra: 10
Rule  4: 00c, Class:  0, CF:0.632642, Len:  1, Fitness_tra: 10
Rule  5: 050, Class:  1, CF:0.121893, Len:  1, Fitness_tra: 4
Rule  6: 2d1, Class:  1, CF:0.113471, Len:  3, Fitness_tra: 3
Rule  7: 484, Class:  0, CF:0.625774, Len:  3, Fitness_tra: 1
Rule  8: 112, Class:  0, CF:0.439288, Len:  3, Fitness_tra: 1
Rule  9: 412, Class:  0, CF:0.591988, Len:  3, Fitness_tra: 1
Rule 10: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 500, Class:  0, CF:0.070939, Len:  1, Fitness_tra: 2
Rule 15: 00d, Class:  0, CF:0.0152633, Len:  1, Fitness_tra: 0
Rule 16: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d00, Class:  0, CF:0.0222711, Len:  1, Fitness_tra: 0
Rule 20: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
