------Generation 0------
Rule  1: 31411, Class:  1, CF:0.768811, Len:  5, Fitness_tra: -2
Rule  2: 17b12, Class:  2, CF:0.252405, Len:  5, Fitness_tra: 0
Rule  3: 81217, Class:  2, CF:0.152109, Len:  5, Fitness_tra: 0
Rule  4: 2632b, Class:  2, CF:0.990911, Len:  5, Fitness_tra: 3
Rule  5: 1352b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11441, Class:  2, CF:0.137897, Len:  5, Fitness_tra: 0
Rule  7: 89844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 11191, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 11122, Class:  2, CF:0.964354, Len:  5, Fitness_tra: 1
Rule 10: 2351b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 62147, Class:  1, CF:0.93956, Len:  5, Fitness_tra: 0
Rule 12: 12141, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 11425, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: c19bb, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 12421, Class:  1, CF:0.399837, Len:  5, Fitness_tra: 0
Rule 16: 14112, Class:  2, CF:0.203309, Len:  5, Fitness_tra: 0
Rule 17: 58144, Class:  0, CF:0.514068, Len:  5, Fitness_tra: 0
Rule 18: 11c22, Class:  1, CF:0.707605, Len:  5, Fitness_tra: 0
Rule 19: 11114, Class:  2, CF:0.475938, Len:  5, Fitness_tra: -11
Rule 20: 19c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 31444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1cbb, Class:  1, CF:0.0649415, Len:  5, Fitness_tra: 0
Rule 23: 14b24, Class:  2, CF:0.719552, Len:  5, Fitness_tra: 0
Rule 24: 91c1b, Class:  1, CF:0.697751, Len:  5, Fitness_tra: 0
Rule 25: 12121, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 98211, Class:  1, CF:0.835895, Len:  5, Fitness_tra: -2
Rule 27: 11174, Class:  2, CF:0.928328, Len:  5, Fitness_tra: 3
Rule 28: 11471, Class:  2, CF:0.0673278, Len:  5, Fitness_tra: 0
Rule 29: 73124, Class:  2, CF:0.835384, Len:  5, Fitness_tra: 0
Rule 30: de122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 34712, Class:  1, CF:0.357302, Len:  5, Fitness_tra: 0
Rule 32: 15277, Class:  1, CF:0.976228, Len:  5, Fitness_tra: 0
Rule 33: e1125, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 91121, Class:  2, CF:0.966703, Len:  5, Fitness_tra: 2
Rule 35: 58127, Class:  0, CF:0.514068, Len:  5, Fitness_tra: 0
Rule 36: 511b4, Class:  2, CF:0.974383, Len:  5, Fitness_tra: 26
Rule 37: d2242, Class:  2, CF:0.930489, Len:  5, Fitness_tra: 0
Rule 38: 23ab1, Class:  2, CF:0.920722, Len:  5, Fitness_tra: 27
Rule 39: 92211, Class:  1, CF:0.600448, Len:  5, Fitness_tra: -2
Rule 40: 16117, Class:  2, CF:0.828443, Len:  5, Fitness_tra: 18
Rule 41: d5214, Class:  1, CF:0.895661, Len:  5, Fitness_tra: 0
Rule 42: 1d144, Class:  1, CF:0.792034, Len:  5, Fitness_tra: 0
Rule 43: 1d124, Class:  1, CF:0.792034, Len:  5, Fitness_tra: 0
Rule 44: e24b7, Class:  2, CF:0.72885, Len:  5, Fitness_tra: 0
Rule 45: 9127b, Class:  2, CF:0.95157, Len:  5, Fitness_tra: 0
Rule 46: 5157b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
