------Generation 0------
Rule  1: d2171, Class:  2, CF:0.347804, Len:  5, Fitness_tra: 0
Rule  2: 21c41, Class:  1, CF:0.950718, Len:  5, Fitness_tra: 0
Rule  3: 92111, Class:  1, CF:0.245855, Len:  5, Fitness_tra: 3
Rule  4: 3c222, Class:  1, CF:0.645514, Len:  5, Fitness_tra: 0
Rule  5: 51424, Class:  2, CF:0.963842, Len:  5, Fitness_tra: 0
Rule  6: a7274, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 11427, Class:  2, CF:0.865519, Len:  5, Fitness_tra: 0
Rule  8: 14412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 67712, Class:  1, CF:0.633412, Len:  5, Fitness_tra: 0
Rule 10: 1b7c4, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 51124, Class:  2, CF:0.987005, Len:  5, Fitness_tra: 0
Rule 12: 31cb4, Class:  1, CF:0.997228, Len:  5, Fitness_tra: 0
Rule 13: 5c7b4, Class:  0, CF:0.851277, Len:  5, Fitness_tra: 0
Rule 14: 61141, Class:  1, CF:0.900037, Len:  5, Fitness_tra: 0
Rule 15: 05007, Class:  1, CF:0.915822, Len:  2, Fitness_tra: -1
Rule 16: 12722, Class:  2, CF:0.700308, Len:  5, Fitness_tra: 0
Rule 17: 91112, Class:  2, CF:0.916923, Len:  5, Fitness_tra: 0
Rule 18: 11712, Class:  2, CF:0.398839, Len:  5, Fitness_tra: 0
Rule 19: 1e277, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 114b4, Class:  2, CF:0.812302, Len:  5, Fitness_tra: 0
Rule 21: 521b7, Class:  2, CF:0.791747, Len:  5, Fitness_tra: 0
Rule 22: 11213, Class:  1, CF:0.142108, Len:  5, Fitness_tra: 0
Rule 23: d0700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e1177, Class:  2, CF:0.99058, Len:  5, Fitness_tra: 0
Rule 25: 32244, Class:  1, CF:0.834261, Len:  5, Fitness_tra: 0
Rule 26: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 9d2b4, Class:  1, CF:0.996489, Len:  5, Fitness_tra: 0
Rule 28: 135b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 321b1, Class:  1, CF:0.767239, Len:  5, Fitness_tra: 0
Rule 30: 91111, Class:  2, CF:0.621717, Len:  5, Fitness_tra: -11
Rule 31: 11487, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 34b12, Class:  1, CF:0.0658949, Len:  5, Fitness_tra: 0
Rule 33: 91222, Class:  2, CF:0.984457, Len:  5, Fitness_tra: 0
Rule 34: 94171, Class:  2, CF:0.678142, Len:  5, Fitness_tra: 0
Rule 35: 13824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: d5142, Class:  1, CF:0.526077, Len:  5, Fitness_tra: 0
Rule 37: 25171, Class:  1, CF:0.908817, Len:  5, Fitness_tra: 0
Rule 38: 1e172, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 12472, Class:  2, CF:0.602227, Len:  5, Fitness_tra: 0
Rule 40: 18172, Class:  0, CF:0.118113, Len:  5, Fitness_tra: 0
Rule 41: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 19
Rule 42: 13271, Class:  2, CF:0.646333, Len:  5, Fitness_tra: 0
Rule 43: 11211, Class:  1, CF:0.0876215, Len:  5, Fitness_tra: 0
Rule 44: d5272, Class:  1, CF:0.865586, Len:  5, Fitness_tra: 0
Rule 45: 03000, Class:  2, CF:0.45066, Len:  1, Fitness_tra: 16
Rule 46: 17821, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 64414, Class:  1, CF:0.982196, Len:  5, Fitness_tra: 0
Rule 48: 12bd2, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: e4111, Class:  1, CF:0.0592411, Len:  5, Fitness_tra: 0
Rule 50: 5478a, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: d5544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: 12711, Class:  1, CF:0.497628, Len:  5, Fitness_tra: 16
