------Generation 0------
Rule  1: 95227, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 11122, Class:  2, CF:0.962059, Len:  5, Fitness_tra: 1
Rule  4: 11c42, Class:  1, CF:0.705344, Len:  5, Fitness_tra: 0
Rule  5: 21224, Class:  2, CF:0.941154, Len:  5, Fitness_tra: 0
Rule  6: 21144, Class:  2, CF:0.970132, Len:  5, Fitness_tra: 9
Rule  7: 61781, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 95cb2, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9542b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 1b115, Class:  2, CF:  1, Len:  5, Fitness_tra: 1
Rule 11: 51271, Class:  2, CF:0.778093, Len:  5, Fitness_tra: 0
Rule 12: 1b721, Class:  2, CF:0.220536, Len:  5, Fitness_tra: 0
Rule 13: 51221, Class:  2, CF:0.802043, Len:  5, Fitness_tra: 0
Rule 14: 14b17, Class:  0, CF:0.225388, Len:  5, Fitness_tra: 0
Rule 15: 1241b, Class:  1, CF:0.11067, Len:  5, Fitness_tra: 0
Rule 16: e1221, Class:  2, CF:0.939895, Len:  5, Fitness_tra: 0
Rule 17: 12117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 151b2, Class:  1, CF:0.943446, Len:  5, Fitness_tra: 0
Rule 19: 31121, Class:  1, CF:0.378485, Len:  5, Fitness_tra: 0
Rule 20: 12715, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 38111, Class:  1, CF:0.988174, Len:  5, Fitness_tra: 3
Rule 22: 91782, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c6911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d1c11, Class:  1, CF:0.841484, Len:  5, Fitness_tra: 0
Rule 26: 98117, Class:  0, CF:0.456996, Len:  5, Fitness_tra: 0
Rule 27: 1dc4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 58744, Class:  0, CF:0.66007, Len:  5, Fitness_tra: 0
Rule 29: 5c113, Class:  0, CF:0.800306, Len:  5, Fitness_tra: 44
Rule 30: e2421, Class:  2, CF:0.516307, Len:  5, Fitness_tra: 0
Rule 31: 31114, Class:  0, CF:0.0761588, Len:  5, Fitness_tra: 0
Rule 32: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d2211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1c211, Class:  1, CF:0.505612, Len:  5, Fitness_tra: 1
Rule 35: 31272, Class:  1, CF:0.304709, Len:  5, Fitness_tra: 0
Rule 36: 11414, Class:  2, CF:0.242693, Len:  5, Fitness_tra: 0
Rule 37: 5c144, Class:  0, CF:0.895878, Len:  5, Fitness_tra: 0
Rule 38: 1581b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 12111, Class:  1, CF:0.277452, Len:  5, Fitness_tra: -24
Rule 40: 213b4, Class:  2, CF:0.961151, Len:  5, Fitness_tra: 39
Rule 41: ce51b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
