------Generation 0------
Rule  1: 112b7, Class:  1, CF:0.750128, Len:  5, Fitness_tra: 0
Rule  2: 1d1b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 314d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 514b4, Class:  1, CF:0.958526, Len:  5, Fitness_tra: 0
Rule  5: 14725, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: e211f, Class:  0, CF:0.617048, Len:  5, Fitness_tra: 0
Rule  7: 94221, Class:  1, CF:0.633756, Len:  5, Fitness_tra: 0
Rule  8: d5477, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: e1712, Class:  1, CF:0.912275, Len:  5, Fitness_tra: 0
Rule 10: 12174, Class:  1, CF:0.75744, Len:  5, Fitness_tra: 0
Rule 11: 91c74, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 92715, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 9c4c6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12711, Class:  0, CF:0.889088, Len:  5, Fitness_tra: 0
Rule 15: 1c111, Class:  0, CF:  1, Len:  5, Fitness_tra: 89
Rule 16: 1511b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 51142, Class:  1, CF:0.989538, Len:  5, Fitness_tra: 3
Rule 18: 37b11, Class:  0, CF:0.963789, Len:  5, Fitness_tra: 2
Rule 19: 58241, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 91714, Class:  1, CF:0.865864, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 14b42, Class:  1, CF:0.784339, Len:  5, Fitness_tra: 0
Rule 24: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 37b44, Class:  0, CF:0.671534, Len:  5, Fitness_tra: 0
Rule 26: 11271, Class:  1, CF:0.257928, Len:  5, Fitness_tra: 0
Rule 27: d1114, Class:  1, CF:0.817979, Len:  5, Fitness_tra: 79
Rule 28: 582b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 05000, Class:  0, CF:  1, Len:  1, Fitness_tra: 22
Rule 31: 51114, Class:  1, CF:0.855219, Len:  5, Fitness_tra: 6
Rule 32: 51c74, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 141c4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 94241, Class:  1, CF:0.629647, Len:  5, Fitness_tra: 0
Rule 35: 32711, Class:  0, CF:0.993765, Len:  5, Fitness_tra: 0
Rule 36: d12b1, Class:  1, CF:0.713369, Len:  5, Fitness_tra: 0
Rule 37: 522b4, Class:  1, CF:0.852919, Len:  5, Fitness_tra: 0
Rule 38: 31125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 58447, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 12217, Class:  0, CF:0.554343, Len:  5, Fitness_tra: 0
Rule 41: 1112b, Class:  1, CF:0.923454, Len:  5, Fitness_tra: 3
Rule 42: 32222, Class:  0, CF:0.945744, Len:  5, Fitness_tra: 0
Rule 43: d8121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: e7411, Class:  1, CF:0.244259, Len:  5, Fitness_tra: 0
Rule 45: 3c748, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11241, Class:  1, CF:0.314952, Len:  5, Fitness_tra: 0
Rule 47: 11122, Class:  1, CF:0.96918, Len:  5, Fitness_tra: 0
Rule 48: 9b451, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: e71c2, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 61172, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 5c471, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: d8177, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 3142c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 21344, Class:  1, CF:0.977366, Len:  5, Fitness_tra: 14
Rule 55: 3cb25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 12211, Class:  0, CF:0.943163, Len:  5, Fitness_tra: 2
Rule 57: 31415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 92422, Class:  1, CF:0.953079, Len:  5, Fitness_tra: 0
Rule 59: 191b4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
