------Generation 0------
Rule  1: 51117, Class:  1, CF:0.772995, Len:  5, Fitness_tra: 33
Rule  2: 51414, Class:  1, CF:0.681366, Len:  5, Fitness_tra: 1
Rule  3: 5141c, Class:  1, CF:0.99878, Len:  5, Fitness_tra: 1
Rule  4: d8711, Class:  0, CF:  1, Len:  5, Fitness_tra: 25
Rule  5: 32b12, Class:  0, CF:0.626778, Len:  5, Fitness_tra: 0
Rule  6: 511b7, Class:  1, CF:0.969152, Len:  5, Fitness_tra: 20
Rule  7: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d2722, Class:  1, CF:0.938658, Len:  5, Fitness_tra: 0
Rule  9: ec41a, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 18224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 17221, Class:  1, CF:0.00122195, Len:  5, Fitness_tra: 0
Rule 12: 18c71, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 34142, Class:  0, CF:0.228978, Len:  5, Fitness_tra: 0
Rule 14: d54b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 5571b, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 16: 9741c, Class:  1, CF:0.999674, Len:  5, Fitness_tra: 0
Rule 17: 31112, Class:  0, CF:0.133644, Len:  5, Fitness_tra: 0
Rule 18: abb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ec22e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e2482, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 34281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e7422, Class:  1, CF:0.955598, Len:  5, Fitness_tra: 0
Rule 23: 1117b, Class:  1, CF:0.873321, Len:  5, Fitness_tra: 1
Rule 24: 25271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 32b11, Class:  0, CF:0.958974, Len:  5, Fitness_tra: 5
