------Generation 0------
Rule  1: 314c6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1c1b2, Class:  2, CF:0.735424, Len:  5, Fitness_tra: 0
Rule  3: 614c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 514c3, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 29844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: c111b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 73321, Class:  0, CF:0.438034, Len:  5, Fitness_tra: 0
Rule  8: 95877, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13122, Class:  0, CF:0.979292, Len:  5, Fitness_tra: 0
Rule 11: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 21a4b, Class:  0, CF:0.966791, Len:  5, Fitness_tra: 20
Rule 13: 3c425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 39147, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: d9c72, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 18111, Class:  1, CF:0.696479, Len:  5, Fitness_tra: 61
Rule 17: e1211, Class:  0, CF:0.0691566, Len:  5, Fitness_tra: 0
Rule 18: 311b4, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11212, Class:  0, CF:0.278521, Len:  5, Fitness_tra: 0
Rule 20: 68112, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: e241e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1b142, Class:  0, CF:0.922284, Len:  5, Fitness_tra: 9
Rule 23: dc444, Class:  2, CF:0.918523, Len:  5, Fitness_tra: 0
Rule 24: 94741, Class:  0, CF:0.407545, Len:  5, Fitness_tra: 0
Rule 25: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1552b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 12142, Class:  0, CF:0.805729, Len:  5, Fitness_tra: 0
Rule 28: 64b12, Class:  1, CF:0.877706, Len:  5, Fitness_tra: 0
Rule 29: 61214, Class:  1, CF:0.983313, Len:  5, Fitness_tra: 0
Rule 30: 518b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 321c6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 54211, Class:  2, CF:0.0280544, Len:  5, Fitness_tra: 0
Rule 33: 52421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 812b1, Class:  0, CF:0.340795, Len:  5, Fitness_tra: 0
Rule 35: 311b7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 31125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3844b, Class:  1, CF:0.986209, Len:  5, Fitness_tra: 0
