------Generation 0------
Rule  1: 5c414, Class:  2, CF:0.78442, Len:  5, Fitness_tra: 0
Rule  2: 3c245, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 11441, Class:  0, CF:0.140537, Len:  5, Fitness_tra: 0
Rule  4: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11822, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 92211, Class:  1, CF:0.544505, Len:  5, Fitness_tra: 3
Rule  9: 117c2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 51144, Class:  0, CF:0.983646, Len:  5, Fitness_tra: 3
Rule 11: 15117, Class:  1, CF:0.942248, Len:  5, Fitness_tra: 0
Rule 12: 91114, Class:  0, CF:0.915651, Len:  5, Fitness_tra: 3
Rule 13: 12144, Class:  0, CF:0.741893, Len:  5, Fitness_tra: 0
Rule 14: 9e841, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 21174, Class:  0, CF:0.962701, Len:  5, Fitness_tra: 1
Rule 16: 9c119, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 8914b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 51527, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 21124, Class:  0, CF:0.976246, Len:  5, Fitness_tra: 3
Rule 20: d5147, Class:  1, CF:0.735681, Len:  5, Fitness_tra: 0
Rule 21: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51251, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 17184, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 12172, Class:  0, CF:0.824944, Len:  5, Fitness_tra: 0
Rule 25: 38141, Class:  1, CF:0.952408, Len:  5, Fitness_tra: 0
Rule 26: 15112, Class:  1, CF:0.942248, Len:  5, Fitness_tra: 0
Rule 27: 81212, Class:  0, CF:0.623517, Len:  5, Fitness_tra: 0
Rule 28: 5411a, Class:  2, CF:0.255092, Len:  5, Fitness_tra: 23
Rule 29: 11b24, Class:  0, CF:0.90376, Len:  5, Fitness_tra: 0
Rule 30: 5b115, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 17411, Class:  2, CF:0.238687, Len:  5, Fitness_tra: 3
Rule 32: 14214, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: dc12b, Class:  2, CF:0.955065, Len:  5, Fitness_tra: 0
Rule 35: 261b4, Class:  0, CF:0.992479, Len:  5, Fitness_tra: 0
Rule 36: e2421, Class:  0, CF:0.0884157, Len:  5, Fitness_tra: 0
Rule 37: 531b1, Class:  0, CF:0.954815, Len:  5, Fitness_tra: 36
Rule 38: 5d241, Class:  1, CF:0.984605, Len:  5, Fitness_tra: 0
Rule 39: 5517b, Class:  1, CF:0.867703, Len:  5, Fitness_tra: 0
Rule 40: 11141, Class:  0, CF:0.591, Len:  5, Fitness_tra: 2
Rule 41: 11217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5c1b4, Class:  2, CF:0.872599, Len:  5, Fitness_tra: 0
Rule 43: 1981b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 3e221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 3b727, Class:  0, CF:0.180065, Len:  5, Fitness_tra: 0
Rule 46: d1541, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 977c1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 11db1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 59127, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: e8244, Class:  1, CF:0.65602, Len:  5, Fitness_tra: 0
Rule 51: 1124c, Class:  0, CF:0.999812, Len:  5, Fitness_tra: 0
Rule 52: 9221b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11121, Class:  0, CF:0.667396, Len:  5, Fitness_tra: 0
Rule 54: 34222, Class:  1, CF:0.300779, Len:  5, Fitness_tra: 0
Rule 55: 16124, Class:  0, CF:0.992578, Len:  5, Fitness_tra: 0
Rule 56: dc441, Class:  2, CF:0.539758, Len:  5, Fitness_tra: 0
Rule 57: c3111, Class:  2, CF:0.304225, Len:  5, Fitness_tra: 59
Rule 58: 51412, Class:  0, CF:0.76927, Len:  5, Fitness_tra: 0
Rule 59: 1b211, Class:  2, CF:0.499668, Len:  5, Fitness_tra: 0
Rule 60: 31227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
