------Generation 0------
Rule  1: 1741af7bb7, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule  2: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2741214b11, Class:  1, CF:0.573646, Len: 10, Fitness_tra: 0
Rule  4: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 7341164212, Class:  1, CF:0.995265, Len: 10, Fitness_tra: 0
Rule  6: 44b7817b74, Class:  1, CF:0.763593, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 144b664b17, Class:  1, CF:0.996813, Len: 10, Fitness_tra: 0
Rule  9: 7874c1141b, Class:  1, CF:0.851198, Len: 10, Fitness_tra: 0
Rule 10: 214bd121b7, Class:  1, CF:0.906286, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 7b74212711, Class:  1, CF:0.613978, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b211b124, Class:  1, CF:0.95016, Len: 10, Fitness_tra: 0
Rule 15: 1cb4137142, Class:  1, CF:0.980576, Len: 10, Fitness_tra: 0
Rule 16: b821867b74, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 17bbca44bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 422b182777, Class:  1, CF:0.954461, Len: 10, Fitness_tra: 0
Rule 19: 75bd612742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 71171371bb, Class:  1, CF:0.981189, Len: 10, Fitness_tra: 0
Rule 21: bc7b891422, Class:  1, CF:0.902885, Len: 10, Fitness_tra: 0
Rule 22: 0008c00000, Class:  1, CF:0.995581, Len:  2, Fitness_tra: 239
Rule 23: 4572234b21, Class:  1, CF:0.994027, Len: 10, Fitness_tra: 0
Rule 24: bb27212417, Class:  1, CF:0.904702, Len: 10, Fitness_tra: 0
Rule 25: 7b223ab411, Class:  1, CF:0.98275, Len: 10, Fitness_tra: 0
Rule 26: 1412161b27, Class:  1, CF:0.940275, Len: 10, Fitness_tra: -9
Rule 27: 41471a7477, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 28: 27b785b724, Class:  1, CF:0.949655, Len: 10, Fitness_tra: 0
Rule 29: 214bc91411, Class:  1, CF:0.277724, Len: 10, Fitness_tra: 0
Rule 30: 412478b212, Class:  1, CF:0.963728, Len: 10, Fitness_tra: 0
Rule 31: bb726f712b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 32: 444116b271, Class:  1, CF:0.999766, Len: 10, Fitness_tra: 0
Rule 33: 11125ab7b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 74b1c11114, Class:  1, CF:0.733354, Len: 10, Fitness_tra: 0
Rule 35: 2b12d3b4bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 71b43f217b, Class:  1, CF:0.999383, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0700000000, Class:  0, CF:0.105688, Len:  1, Fitness_tra: 272
Rule 41: 414bcd1422, Class:  1, CF:0.916733, Len: 10, Fitness_tra: 0
Rule 42: 1b71ea2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 422b864424, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 7241de4b11, Class:  1, CF:0.850592, Len: 10, Fitness_tra: 3
Rule 45: 4bb4812771, Class:  1, CF:0.594725, Len: 10, Fitness_tra: 0
Rule 46: 24b21672bb, Class:  1, CF:0.999684, Len: 10, Fitness_tra: 0
Rule 47: 72bbaf24bb, Class:  1, CF:0.999727, Len: 10, Fitness_tra: 0
Rule 48: 7b71f3b41b, Class:  1, CF:0.999, Len: 10, Fitness_tra: 0
Rule 49: 17118f7741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 27141644bb, Class:  1, CF:0.998517, Len: 10, Fitness_tra: 0
Rule 51: 1772d64222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b1741521b1, Class:  1, CF:0.806361, Len: 10, Fitness_tra: 4
Rule 53: b2411371b1, Class:  1, CF:0.993373, Len: 10, Fitness_tra: 0
Rule 54: 7272127172, Class:  1, CF:0.906878, Len: 10, Fitness_tra: 0
Rule 55: 112bc17b74, Class:  1, CF:0.746208, Len: 10, Fitness_tra: 0
Rule 56: 11b14d1741, Class:  1, CF:0.722359, Len: 10, Fitness_tra: -34
Rule 57: 112151bbb1, Class:  1, CF:0.45332, Len: 10, Fitness_tra: 0
Rule 58: 4db12577b7, Class:  1, CF:0.509636, Len: 10, Fitness_tra: 0
Rule 59: 21721ab114, Class:  1, CF:0.998401, Len: 10, Fitness_tra: 0
Rule 60: 21141eb114, Class:  0, CF:0.0778061, Len: 10, Fitness_tra: 0
Rule 61: b71ba3111b, Class:  1, CF:0.771981, Len: 10, Fitness_tra: 0
Rule 62: 1375231477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1b1b312bb2, Class:  1, CF:0.906119, Len: 10, Fitness_tra: 0
Rule 64: 22214317b7, Class:  1, CF:0.978247, Len: 10, Fitness_tra: -3
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 22246a1b71, Class:  1, CF:0.999754, Len: 10, Fitness_tra: 8
Rule 67: b171211477, Class:  1, CF:0.943578, Len: 10, Fitness_tra: -6
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4414c14b72, Class:  1, CF:0.805779, Len: 10, Fitness_tra: 0
Rule 71: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2d21152412, Class:  1, CF:0.944996, Len: 10, Fitness_tra: 0
Rule 74: 447211414b, Class:  1, CF:0.94474, Len: 10, Fitness_tra: 0
Rule 75: b1b1291427, Class:  1, CF:0.993319, Len: 10, Fitness_tra: 6
Rule 76: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 72172e4bb4, Class:  1, CF:0.402508, Len: 10, Fitness_tra: 0
Rule 79: 1111551191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b114c14111, Class:  1, CF:0.933532, Len: 10, Fitness_tra: 0
Rule 81: b217457122, Class:  1, CF:0.607994, Len: 10, Fitness_tra: 0
Rule 82: 2147112724, Class:  1, CF:0.979359, Len: 10, Fitness_tra: 0
Rule 83: 2127c3b555, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: b21219bb44, Class:  0, CF:0.0421196, Len: 10, Fitness_tra: 0
Rule 85: 2171ce4b41, Class:  1, CF:0.896023, Len: 10, Fitness_tra: 0
Rule 86: 72745f4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000c00000, Class:  0, CF:0.0263234, Len:  1, Fitness_tra: 373
Rule 88: 48bb83b244, Class:  1, CF:0.988295, Len: 10, Fitness_tra: 0
Rule 89: 414b8141bb, Class:  1, CF:0.781342, Len: 10, Fitness_tra: 0
Rule 90: 722b1a411b, Class:  1, CF:0.997244, Len: 10, Fitness_tra: 0
Rule 91: bb2286b71b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: b1b1deb724, Class:  1, CF:0.993774, Len: 10, Fitness_tra: 0
Rule 93: 2b12a372b7, Class:  1, CF:0.998036, Len: 10, Fitness_tra: 0
Rule 94: 42b13347b1, Class:  1, CF:0.994963, Len: 10, Fitness_tra: 0
Rule 95: 712b13bb14, Class:  1, CF:0.997136, Len: 10, Fitness_tra: 0
Rule 96: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2c11111111, Class:  1, CF:0.393875, Len: 10, Fitness_tra: -1
Rule 99: 71b2c12442, Class:  1, CF:0.942945, Len: 10, Fitness_tra: 0
Rule100: 212233b222, Class:  1, CF:0.999484, Len: 10, Fitness_tra: 1
------Current------
Miss_rate(tra)	:14.0353
------Result------
Miss_rate(tra)	:14.0353
Miss_rate(tst)	:10.9489
ARL				:7.86957

------Generation 0------
Rule  1: 1741af7bb7, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule  2: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2741214b11, Class:  1, CF:0.573646, Len: 10, Fitness_tra: 0
Rule  4: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 7341164212, Class:  1, CF:0.995265, Len: 10, Fitness_tra: 0
Rule  6: 44b7817b74, Class:  1, CF:0.763593, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 144b664b17, Class:  1, CF:0.996813, Len: 10, Fitness_tra: 0
Rule  9: 7874c1141b, Class:  1, CF:0.851198, Len: 10, Fitness_tra: 0
Rule 10: 214bd121b7, Class:  1, CF:0.906286, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 7b74212711, Class:  1, CF:0.613978, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b211b124, Class:  1, CF:0.95016, Len: 10, Fitness_tra: 0
Rule 15: 1cb4137142, Class:  1, CF:0.980576, Len: 10, Fitness_tra: 0
Rule 16: b821867b74, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 17bbca44bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 422b182777, Class:  1, CF:0.954461, Len: 10, Fitness_tra: 0
Rule 19: 75bd612742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 71171371bb, Class:  1, CF:0.981189, Len: 10, Fitness_tra: 0
Rule 21: bc7b891422, Class:  1, CF:0.902885, Len: 10, Fitness_tra: 0
Rule 22: 0008c00000, Class:  1, CF:0.995581, Len:  2, Fitness_tra: 239
Rule 23: 4572234b21, Class:  1, CF:0.994027, Len: 10, Fitness_tra: 0
Rule 24: bb27212417, Class:  1, CF:0.904702, Len: 10, Fitness_tra: 0
Rule 25: 7b223ab411, Class:  1, CF:0.98275, Len: 10, Fitness_tra: 0
Rule 26: 1412161b27, Class:  1, CF:0.940275, Len: 10, Fitness_tra: -9
Rule 27: 41471a7477, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 28: 27b785b724, Class:  1, CF:0.949655, Len: 10, Fitness_tra: 0
Rule 29: 214bc91411, Class:  1, CF:0.277724, Len: 10, Fitness_tra: 0
Rule 30: 412478b212, Class:  1, CF:0.963728, Len: 10, Fitness_tra: 0
Rule 31: bb726f712b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 32: 444116b271, Class:  1, CF:0.999766, Len: 10, Fitness_tra: 0
Rule 33: 11125ab7b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 74b1c11114, Class:  1, CF:0.733354, Len: 10, Fitness_tra: 0
Rule 35: 2b12d3b4bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 71b43f217b, Class:  1, CF:0.999383, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0700000000, Class:  0, CF:0.105688, Len:  1, Fitness_tra: 272
Rule 41: 414bcd1422, Class:  1, CF:0.916733, Len: 10, Fitness_tra: 0
Rule 42: 1b71ea2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 422b864424, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 7241de4b11, Class:  1, CF:0.850592, Len: 10, Fitness_tra: 3
Rule 45: 4bb4812771, Class:  1, CF:0.594725, Len: 10, Fitness_tra: 0
Rule 46: 24b21672bb, Class:  1, CF:0.999684, Len: 10, Fitness_tra: 0
Rule 47: 72bbaf24bb, Class:  1, CF:0.999727, Len: 10, Fitness_tra: 0
Rule 48: 7b71f3b41b, Class:  1, CF:0.999, Len: 10, Fitness_tra: 0
Rule 49: 17118f7741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 27141644bb, Class:  1, CF:0.998517, Len: 10, Fitness_tra: 0
Rule 51: 1772d64222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b1741521b1, Class:  1, CF:0.806361, Len: 10, Fitness_tra: 4
Rule 53: b2411371b1, Class:  1, CF:0.993373, Len: 10, Fitness_tra: 0
Rule 54: 7272127172, Class:  1, CF:0.906878, Len: 10, Fitness_tra: 0
Rule 55: 112bc17b74, Class:  1, CF:0.746208, Len: 10, Fitness_tra: 0
Rule 56: 11b14d1741, Class:  1, CF:0.722359, Len: 10, Fitness_tra: -34
Rule 57: 112151bbb1, Class:  1, CF:0.45332, Len: 10, Fitness_tra: 0
Rule 58: 4db12577b7, Class:  1, CF:0.509636, Len: 10, Fitness_tra: 0
Rule 59: 21721ab114, Class:  1, CF:0.998401, Len: 10, Fitness_tra: 0
Rule 60: 21141eb114, Class:  0, CF:0.0778061, Len: 10, Fitness_tra: 0
Rule 61: b71ba3111b, Class:  1, CF:0.771981, Len: 10, Fitness_tra: 0
Rule 62: 1375231477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1b1b312bb2, Class:  1, CF:0.906119, Len: 10, Fitness_tra: 0
Rule 64: 22214317b7, Class:  1, CF:0.978247, Len: 10, Fitness_tra: -3
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 22246a1b71, Class:  1, CF:0.999754, Len: 10, Fitness_tra: 8
Rule 67: b171211477, Class:  1, CF:0.943578, Len: 10, Fitness_tra: -6
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4414c14b72, Class:  1, CF:0.805779, Len: 10, Fitness_tra: 0
Rule 71: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2d21152412, Class:  1, CF:0.944996, Len: 10, Fitness_tra: 0
Rule 74: 447211414b, Class:  1, CF:0.94474, Len: 10, Fitness_tra: 0
Rule 75: b1b1291427, Class:  1, CF:0.993319, Len: 10, Fitness_tra: 6
Rule 76: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 72172e4bb4, Class:  1, CF:0.402508, Len: 10, Fitness_tra: 0
Rule 79: 1111551191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b114c14111, Class:  1, CF:0.933532, Len: 10, Fitness_tra: 0
Rule 81: b217457122, Class:  1, CF:0.607994, Len: 10, Fitness_tra: 0
Rule 82: 2147112724, Class:  1, CF:0.979359, Len: 10, Fitness_tra: 0
Rule 83: 2127c3b555, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: b21219bb44, Class:  0, CF:0.0421196, Len: 10, Fitness_tra: 0
Rule 85: 2171ce4b41, Class:  1, CF:0.896023, Len: 10, Fitness_tra: 0
Rule 86: 72745f4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000c00000, Class:  0, CF:0.0263234, Len:  1, Fitness_tra: 373
Rule 88: 48bb83b244, Class:  1, CF:0.988295, Len: 10, Fitness_tra: 0
Rule 89: 414b8141bb, Class:  1, CF:0.781342, Len: 10, Fitness_tra: 0
Rule 90: 722b1a411b, Class:  1, CF:0.997244, Len: 10, Fitness_tra: 0
Rule 91: bb2286b71b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: b1b1deb724, Class:  1, CF:0.993774, Len: 10, Fitness_tra: 0
Rule 93: 2b12a372b7, Class:  1, CF:0.998036, Len: 10, Fitness_tra: 0
Rule 94: 42b13347b1, Class:  1, CF:0.994963, Len: 10, Fitness_tra: 0
Rule 95: 712b13bb14, Class:  1, CF:0.997136, Len: 10, Fitness_tra: 0
Rule 96: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2c11111111, Class:  1, CF:0.393875, Len: 10, Fitness_tra: -1
Rule 99: 71b2c12442, Class:  1, CF:0.942945, Len: 10, Fitness_tra: 0
Rule100: 212233b222, Class:  1, CF:0.999484, Len: 10, Fitness_tra: 1
------Current------
Miss_rate(tra)	:14.0353
------Result------
Miss_rate(tra)	:14.0353
Miss_rate(tst)	:10.9489
ARL				:7.86957

------Generation 1------
Rule  1: 0000c00000, Class:  0, CF:0.0263234, Len:  1, Fitness_tra: 366
Rule  2: 0700000000, Class:  0, CF:0.105688, Len:  1, Fitness_tra: 260
Rule  3: 0008c00000, Class:  1, CF:0.995581, Len:  2, Fitness_tra: 239
Rule  4: 22246a1b71, Class:  1, CF:0.999754, Len: 10, Fitness_tra: 7
Rule  5: b1b1291427, Class:  1, CF:0.993319, Len: 10, Fitness_tra: 4
Rule  6: b1741521b1, Class:  1, CF:0.806361, Len: 10, Fitness_tra: 4
Rule  7: 7241de4b11, Class:  1, CF:0.850592, Len: 10, Fitness_tra: 3
Rule  8: 212233b222, Class:  1, CF:0.999484, Len: 10, Fitness_tra: 1
