------Generation 0------
Rule  1: b221ef471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b12ce67742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2211f7774, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 1
Rule  4: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1271512117, Class:  1, CF:0.943616, Len: 10, Fitness_tra: 0
Rule  6: 4f1dd1b272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b7b43a2414, Class:  1, CF:0.999657, Len: 10, Fitness_tra: 0
Rule  8: 75b227b1b2, Class:  1, CF:0.964795, Len: 10, Fitness_tra: 0
Rule  9: 11c1c51282, Class:  1, CF:  1, Len: 10, Fitness_tra: 14
Rule 10: 787b214b41, Class:  1, CF:0.96826, Len: 10, Fitness_tra: 0
Rule 11: b2741f421b, Class:  1, CF:0.999159, Len: 10, Fitness_tra: 0
Rule 12: 4b221324b1, Class:  1, CF:0.981509, Len: 10, Fitness_tra: 0
Rule 13: 47149f2447, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 14: b4b191b24b, Class:  1, CF:0.993882, Len: 10, Fitness_tra: 0
Rule 15: 454213b244, Class:  1, CF:0.999826, Len: 10, Fitness_tra: 1
Rule 16: 244755172b, Class:  1, CF:0.915578, Len: 10, Fitness_tra: 0
Rule 17: 717b514474, Class:  1, CF:0.984866, Len: 10, Fitness_tra: 0
Rule 18: 251c8517b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 27122e4bb7, Class:  1, CF:0.795606, Len: 10, Fitness_tra: 0
Rule 20: 422b2e1bb4, Class:  1, CF:0.23749, Len: 10, Fitness_tra: -5
Rule 21: 4bb7132774, Class:  1, CF:0.988775, Len: 10, Fitness_tra: 0
Rule 22: 25742141b4, Class:  1, CF:0.953809, Len: 10, Fitness_tra: 0
Rule 23: b841a37b44, Class:  1, CF:0.999933, Len: 10, Fitness_tra: 2
Rule 24: 247222b242, Class:  1, CF:0.986622, Len: 10, Fitness_tra: 0
Rule 25: 42212174b2, Class:  1, CF:0.970378, Len: 10, Fitness_tra: 0
Rule 26: b7bb912777, Class:  1, CF:0.971279, Len: 10, Fitness_tra: 0
Rule 27: 221b1a2727, Class:  1, CF:0.999834, Len: 10, Fitness_tra: 0
Rule 28: b171214bbb, Class:  1, CF:0.894687, Len: 10, Fitness_tra: 46
Rule 29: 22721e4727, Class:  1, CF:0.818869, Len: 10, Fitness_tra: 0
Rule 30: 2124ef7744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 144b8cb71b, Class:  1, CF:0.92977, Len: 10, Fitness_tra: 44
Rule 32: 117b334122, Class:  1, CF:0.98655, Len: 10, Fitness_tra: 1
Rule 33: 452b1221b7, Class:  1, CF:0.855975, Len: 10, Fitness_tra: 0
Rule 34: 78218cb111, Class:  1, CF:0.823733, Len: 10, Fitness_tra: 42
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 127213172b, Class:  1, CF:0.945789, Len: 10, Fitness_tra: -33
Rule 37: 4871ce1227, Class:  1, CF:0.930744, Len: 10, Fitness_tra: -6
Rule 38: 71b7851b71, Class:  1, CF:0.800413, Len: 10, Fitness_tra: -984
Rule 39: b97b42b241, Class:  1, CF:0.974611, Len: 10, Fitness_tra: 13
Rule 40: 14b4861274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 112283bb77, Class:  1, CF:0.803541, Len: 10, Fitness_tra: 0
Rule 42: 341b117277, Class:  1, CF:0.904778, Len: 10, Fitness_tra: -357
Rule 43: 227116b171, Class:  1, CF:0.998889, Len: 10, Fitness_tra: 25
Rule 44: 441421b772, Class:  1, CF:0.940935, Len: 10, Fitness_tra: 0
Rule 45: bb14d374b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 2242efb7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 47475e2217, Class:  1, CF:0.97872, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 47b4c14b11, Class:  1, CF:0.412371, Len: 10, Fitness_tra: 47
Rule 50: 2b17197277, Class:  1, CF:0.973619, Len: 10, Fitness_tra: 0
Rule 51: 22b28ab441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 14211642bb, Class:  1, CF:0.999805, Len: 10, Fitness_tra: 0
Rule 53: b111e31271, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 1512187222, Class:  1, CF:0.946146, Len: 10, Fitness_tra: -6
Rule 55: b1428f1b4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: 7b47cf4bb2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 12411a2147, Class:  1, CF:0.999715, Len: 10, Fitness_tra: 0
Rule 58: 0000500000, Class:  1, CF:0.898862, Len:  1, Fitness_tra: 2014
Rule 59: 4211562247, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b14b96774b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 241281bb71, Class:  1, CF:0.803742, Len: 10, Fitness_tra: 0
Rule 63: 2141af1772, Class:  1, CF:  1, Len: 10, Fitness_tra: 38
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 7c27152774, Class:  1, CF:0.923467, Len: 10, Fitness_tra: 0
Rule 66: 47b15a1744, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 2411162471, Class:  1, CF:0.99926, Len: 10, Fitness_tra: 0
Rule 68: 71421eb1b4, Class:  1, CF:0.767466, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 212793b444, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: bb14f6b412, Class:  1, CF:0.99694, Len: 10, Fitness_tra: 0
Rule 74: 17473f4b1b, Class:  1, CF:0.99922, Len: 10, Fitness_tra: 0
Rule 75: b712364b41, Class:  1, CF:0.998031, Len: 10, Fitness_tra: 0
Rule 76: b777117bb2, Class:  1, CF:0.926595, Len: 10, Fitness_tra: 0
Rule 77: 172b5f72b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 78: b127511b77, Class:  1, CF:0.753258, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 7122b11271, Class:  1, CF:0.939531, Len: 10, Fitness_tra: -785
Rule 81: 2b2b13b27b, Class:  1, CF:0.991072, Len: 10, Fitness_tra: 1
Rule 82: 0008000000, Class:  1, CF:0.987894, Len:  1, Fitness_tra: 242
Rule 83: 2124192714, Class:  1, CF:0.902567, Len: 10, Fitness_tra: 0
