------Generation 0------
Rule  1: b14221bb12, Class:  1, CF:0.946657, Len: 10, Fitness_tra: 0
Rule  2: 722181b22b, Class:  1, CF:0.99967, Len: 10, Fitness_tra: 56
Rule  3: 1242d12851, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: 74b45311b4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 211436741b, Class:  0, CF:0.746722, Len: 10, Fitness_tra: 0
Rule  6: b417832241, Class:  1, CF:0.952958, Len: 10, Fitness_tra: 0
Rule  7: 11b48f1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 14b7137227, Class:  1, CF:0.899815, Len: 10, Fitness_tra: 0
Rule  9: 4724531b22, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 1111237b14, Class:  1, CF:0.933129, Len: 10, Fitness_tra: 0
Rule 11: 2147aa19dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 14b22f1b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 1514157511, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 14: 1117511771, Class:  1, CF:0.82864, Len: 10, Fitness_tra: -74
Rule 15: 7c222eb122, Class:  1, CF:0.946652, Len: 10, Fitness_tra: 0
Rule 16: 4871214477, Class:  1, CF:0.984782, Len: 10, Fitness_tra: 6
Rule 17: b2178a1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 8e12c521e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 724429bbb1, Class:  0, CF:0.141158, Len: 10, Fitness_tra: 0
Rule 20: 231211b118, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: b441517144, Class:  1, CF:0.999663, Len: 10, Fitness_tra: 1
Rule 22: 27226f2bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 7147d5247b, Class:  1, CF:0.996917, Len: 10, Fitness_tra: 0
Rule 24: 2477c14442, Class:  1, CF:0.997916, Len: 10, Fitness_tra: 0
Rule 25: 4127c12318, Class:  1, CF:0.99993, Len: 10, Fitness_tra: 0
Rule 26: 4244192b2b, Class:  1, CF:0.500989, Len: 10, Fitness_tra: 0
Rule 27: b2b4861b44, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 1441d34b41, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 4717131447, Class:  1, CF:0.782051, Len: 10, Fitness_tra: 1
Rule 30: 224723b14b, Class:  1, CF:0.893037, Len: 10, Fitness_tra: 0
Rule 31: 1ccb1a1559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b42b257241, Class:  1, CF:0.99331, Len: 10, Fitness_tra: 0
Rule 33: 88821f2952, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 77772317b1, Class:  1, CF:0.19841, Len: 10, Fitness_tra: 0
Rule 35: b211664427, Class:  0, CF:0.997129, Len: 10, Fitness_tra: 0
Rule 36: bb7246bb22, Class:  0, CF:0.795942, Len: 10, Fitness_tra: 0
Rule 37: 7124d64411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 72b7292271, Class:  1, CF:0.666032, Len: 10, Fitness_tra: -1
