------Generation 0------
Rule  1: 1247134b21, Class:  0, CF:0.43116, Len: 10, Fitness_tra: 0
Rule  2: 4424c34121, Class:  1, CF:0.956288, Len: 10, Fitness_tra: 0
Rule  3: 447b2521b2, Class:  1, CF:0.819051, Len: 10, Fitness_tra: 0
Rule  4: 711221b117, Class:  1, CF:0.907159, Len: 10, Fitness_tra: -278
Rule  5: 71b41171b2, Class:  1, CF:0.883871, Len: 10, Fitness_tra: 0
Rule  6: 135b55433d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b71b19b227, Class:  1, CF:0.996097, Len: 10, Fitness_tra: 0
Rule  8: 8c2436b535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 7744834442, Class:  1, CF:0.994833, Len: 10, Fitness_tra: 0
Rule 10: c117212615, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 15c7211111, Class:  1, CF:0.987323, Len: 10, Fitness_tra: 450
Rule 12: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b722511bb1, Class:  1, CF:0.923287, Len: 10, Fitness_tra: 0
Rule 14: 4917152152, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 1412534115, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 82473a7551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7b2b2124b7, Class:  1, CF:0.989779, Len: 10, Fitness_tra: 0
Rule 18: 21b11eb74b, Class:  1, CF:0.998864, Len: 10, Fitness_tra: 0
Rule 19: b2272222b7, Class:  1, CF:0.956514, Len: 10, Fitness_tra: 0
Rule 20: 71b1294bb1, Class:  1, CF:0.974651, Len: 10, Fitness_tra: 87
Rule 21: 22715d27b4, Class:  1, CF:0.994014, Len: 10, Fitness_tra: 0
Rule 22: 1125511274, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: c91b111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
