------Generation 0------
Rule  1: b14221bb12, Class:  2, CF:0.375316, Len: 10, Fitness_tra: 0
Rule  2: 722183b22b, Class:  2, CF:0.996793, Len: 10, Fitness_tra: 1
Rule  3: 1242812551, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: bab55211b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 111415741b, Class:  2, CF:0.0540189, Len: 10, Fitness_tra: -1
Rule  6: b417f32241, Class:  4, CF:0.98999, Len: 10, Fitness_tra: 0
Rule  7: 11b4af1bbb, Class:  4, CF:0.999431, Len: 10, Fitness_tra: 363
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 18b7127227, Class:  2, CF:0.483304, Len: 10, Fitness_tra: 0
Rule 10: 7724531b22, Class:  2, CF:0.999924, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1111227b14, Class:  2, CF:0.752087, Len: 10, Fitness_tra: -6455
Rule 13: 2148aa1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 18b25d171b, Class:  1, CF:0.686993, Len: 10, Fitness_tra: 21
Rule 15: 14121a7412, Class:  4, CF:0.945232, Len: 10, Fitness_tra: -11
Rule 16: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11175118d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 25
Rule 19: 7d224bb122, Class:  2, CF:0.323823, Len: 10, Fitness_tra: 0
Rule 20: 4941214458, Class:  2, CF:  1, Len: 10, Fitness_tra: 71
Rule 21: 8117421121, Class:  3, CF:0.0464416, Len: 10, Fitness_tra: 4
Rule 22: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7c12f622b4, Class:  4, CF:0.999651, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 72443abbb1, Class:  4, CF:0.99945, Len: 10, Fitness_tra: 3
Rule 26: 244211b117, Class:  4, CF:0.47359, Len: 10, Fitness_tra: 2
Rule 27: 7521517111, Class:  1, CF:0.685969, Len: 10, Fitness_tra: 5
Rule 28: 27224c2bb7, Class:  2, CF:0.753331, Len: 10, Fitness_tra: 0
Rule 29: 714773247b, Class:  4, CF:0.00785185, Len: 10, Fitness_tra: 0
Rule 30: 2777d14442, Class:  2, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 31: 4147d12227, Class:  2, CF:0.997123, Len: 10, Fitness_tra: 0
Rule 32: 42441a2b2b, Class:  4, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 33: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4174531752, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 1541c34c21, Class:  2, CF:  1, Len: 10, Fitness_tra: 12
Rule 37: 4717131447, Class:  4, CF:0.492432, Len: 10, Fitness_tra: 84
Rule 38: 224463b14b, Class:  4, CF:0.991193, Len: 10, Fitness_tra: 0
Rule 39: 1bbb19144b, Class:  2, CF:0.977108, Len: 10, Fitness_tra: 19
Rule 40: d72b147241, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 77721e2772, Class:  2, CF:0.992341, Len: 10, Fitness_tra: 0
Rule 42: 7b772517b1, Class:  2, CF:0.969439, Len: 10, Fitness_tra: 60
Rule 43: 4111534214, Class:  2, CF:0.934806, Len: 10, Fitness_tra: -1
Rule 44: b97253bb12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 7124b24722, Class:  2, CF:0.484083, Len: 10, Fitness_tra: 0
Rule 46: 42772921d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 24b25e4471, Class:  2, CF:0.722297, Len: 10, Fitness_tra: 0
Rule 48: 2712214bb4, Class:  2, CF:0.631367, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1e42834111, Class:  1, CF:0.9939, Len: 10, Fitness_tra: 27
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 14b4a62b27, Class:  4, CF:0.998785, Len: 10, Fitness_tra: 0
Rule 53: 22b731b722, Class:  4, CF:0.446214, Len: 10, Fitness_tra: 0
Rule 54: 2247dd271b, Class:  1, CF:0.393795, Len: 10, Fitness_tra: 1
Rule 55: 7744414147, Class:  2, CF:0.744391, Len: 10, Fitness_tra: 0
Rule 56: 44b12e7221, Class:  2, CF:0.998007, Len: 10, Fitness_tra: 157
Rule 57: 1c2b53bc12, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 1741862227, Class:  2, CF:0.940988, Len: 10, Fitness_tra: 0
Rule 59: 744b2177b7, Class:  2, CF:0.133871, Len: 10, Fitness_tra: 0
Rule 60: 2c14597112, Class:  1, CF:0.588633, Len: 10, Fitness_tra: 0
Rule 61: 4174b1b2b7, Class:  2, CF:0.144995, Len: 10, Fitness_tra: 0
Rule 62: 17724921b7, Class:  2, CF:0.570138, Len: 10, Fitness_tra: 0
Rule 63: 7b2b132b24, Class:  4, CF:0.391345, Len: 10, Fitness_tra: 0
Rule 64: 2817131c14, Class:  4, CF:0.279332, Len: 10, Fitness_tra: 2
Rule 65: 21419e2b7b, Class:  2, CF:0.869856, Len: 10, Fitness_tra: 0
Rule 66: 74b221b111, Class:  2, CF:0.0564148, Len: 10, Fitness_tra: -535
Rule 67: 142131777b, Class:  4, CF:0.727749, Len: 10, Fitness_tra: 288
Rule 68: 174b82b712, Class:  2, CF:0.887401, Len: 10, Fitness_tra: 0
Rule 69: 477b48b742, Class:  2, CF:0.906851, Len: 10, Fitness_tra: 0
Rule 70: 7274134251, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 77211f7122, Class:  4, CF:0.999734, Len: 10, Fitness_tra: 17
Rule 72: b24b254bb4, Class:  1, CF:0.461252, Len: 10, Fitness_tra: 0
Rule 73: 1b72412427, Class:  2, CF:0.992695, Len: 10, Fitness_tra: 0
Rule 74: b2242e4421, Class:  2, CF:0.403908, Len: 10, Fitness_tra: 0
Rule 75: 7518aab777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b4b21abb41, Class:  4, CF:0.996313, Len: 10, Fitness_tra: 0
Rule 77: 1412891217, Class:  2, CF:0.157447, Len: 10, Fitness_tra: -301
Rule 78: 734d3341b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b1b1b5b722, Class:  2, CF:0.879636, Len: 10, Fitness_tra: 68
Rule 80: 1b42667242, Class:  4, CF:0.99974, Len: 10, Fitness_tra: 0
Rule 81: 2111757bb7, Class:  2, CF:0.850876, Len: 10, Fitness_tra: -1
Rule 82: 216278b122, Class:  2, CF:0.616529, Len: 10, Fitness_tra: -1
Rule 83: 1717d3bbb2, Class:  2, CF:0.982862, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2772191772, Class:  2, CF:0.973957, Len: 10, Fitness_tra: -1
Rule 86: 81147214c1, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 12112cb712, Class:  2, CF:0.596676, Len: 10, Fitness_tra: -418
Rule 88: b21b4c7b4b, Class:  2, CF:0.184998, Len: 10, Fitness_tra: 0
Rule 89: 2c7b8e71b1, Class:  1, CF:0.700144, Len: 10, Fitness_tra: 0
Rule 90: 4411164422, Class:  4, CF:0.999646, Len: 10, Fitness_tra: 50
Rule 91: 7bb4a622b1, Class:  4, CF:0.994213, Len: 10, Fitness_tra: 0
Rule 92: 2d421c7112, Class:  2, CF:0.52844, Len: 10, Fitness_tra: 0
Rule 93: 2472ef1224, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 7474c31224, Class:  2, CF:0.996902, Len: 10, Fitness_tra: 23
Rule 95: 14721cb117, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
