------Generation 0------
Rule  1: 1412d6bb42, Class:  4, CF:0.986059, Len: 10, Fitness_tra: 0
Rule  2: 17b71d7271, Class:  2, CF:0.760602, Len: 10, Fitness_tra: 0
Rule  3: 11145a7bb2, Class:  4, CF:0.845652, Len: 10, Fitness_tra: 0
Rule  4: 5164222411, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: b241131477, Class:  4, CF:0.986569, Len: 10, Fitness_tra: 376
Rule  6: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 17271f42bb, Class:  4, CF:0.999422, Len: 10, Fitness_tra: 0
Rule  8: 747128b1bb, Class:  2, CF:0.824332, Len: 10, Fitness_tra: 13
Rule  9: 22b1187217, Class:  2, CF:0.862345, Len: 10, Fitness_tra: 71
Rule 10: 1cb2dd1747, Class:  2, CF:0.216598, Len: 10, Fitness_tra: 0
Rule 11: 172266bb41, Class:  4, CF:0.989821, Len: 10, Fitness_tra: 0
Rule 12: 24bbde1124, Class:  2, CF:0.917218, Len: 10, Fitness_tra: 1
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 492b417b12, Class:  4, CF:0.895034, Len: 10, Fitness_tra: 0
Rule 15: 163241b2c1, Class:  2, CF:0.997819, Len: 10, Fitness_tra: 0
Rule 16: 7221f61172, Class:  4, CF:0.999949, Len: 10, Fitness_tra: 205
Rule 17: 12b41ebb24, Class:  1, CF:0.0011079, Len: 10, Fitness_tra: 0
Rule 18: 4e7b81b177, Class:  2, CF:0.562207, Len: 10, Fitness_tra: 0
Rule 19: 7221d57247, Class:  2, CF:0.998612, Len: 10, Fitness_tra: 27
Rule 20: 447161bbb7, Class:  4, CF:0.998449, Len: 10, Fitness_tra: 9
Rule 21: 772b89412b, Class:  2, CF:0.988671, Len: 10, Fitness_tra: 0
Rule 22: 7cb4ce7227, Class:  2, CF:0.996002, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b24b13442b, Class:  4, CF:0.711749, Len: 10, Fitness_tra: -6
Rule 25: 2b2bd92717, Class:  2, CF:0.986915, Len: 10, Fitness_tra: 0
Rule 26: 7b4413b2b1, Class:  2, CF:0.0400989, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4b213e7227, Class:  2, CF:0.989465, Len: 10, Fitness_tra: 5
Rule 29: 7412314b47, Class:  4, CF:0.892397, Len: 10, Fitness_tra: 0
Rule 30: 47bb15422b, Class:  2, CF:0.95779, Len: 10, Fitness_tra: 0
Rule 31: 12742d1777, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 121413b147, Class:  4, CF:0.644633, Len: 10, Fitness_tra: -83
Rule 33: b747112224, Class:  2, CF:0.82154, Len: 10, Fitness_tra: 3
