------Generation 0------
Rule  1: bb71aa7447, Class:  4, CF:0.999997, Len: 10, Fitness_tra: 0
Rule  2: bd27411482, Class:  2, CF:0.882751, Len: 10, Fitness_tra: -1
Rule  3: 4117254212, Class:  2, CF:0.905154, Len: 10, Fitness_tra: 0
Rule  4: 747142b112, Class:  2, CF:0.809532, Len: 10, Fitness_tra: 0
Rule  5: 24711e7222, Class:  2, CF:0.998633, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b17b15b141, Class:  2, CF:0.691725, Len: 10, Fitness_tra: 0
Rule  8: 22b27cb121, Class:  2, CF:0.559712, Len: 10, Fitness_tra: 0
Rule  9: 2bb4714471, Class:  2, CF:0.6788, Len: 10, Fitness_tra: 0
Rule 10: 117b611721, Class:  4, CF:0.954412, Len: 10, Fitness_tra: 1
Rule 11: b221df4742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b64213b14b, Class:  4, CF:0.667791, Len: 10, Fitness_tra: 0
Rule 13: 22217c424b, Class:  2, CF:0.955815, Len: 10, Fitness_tra: 0
Rule 14: 4b1b617271, Class:  4, CF:0.961504, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 2112131411, Class:  4, CF:0.815959, Len: 10, Fitness_tra: 0
Rule 17: 4bbb9f7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7211b2b214, Class:  2, CF:0.811969, Len: 10, Fitness_tra: 0
Rule 19: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2717dd7717, Class:  2, CF:0.861808, Len: 10, Fitness_tra: 0
Rule 22: 7b242a2b27, Class:  4, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1e11424218, Class:  2, CF:0.995621, Len: 10, Fitness_tra: 0
