------Generation 0------
Rule  1: 212a13195d31522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: ba0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3326712111fcf111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1111163511212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 331a291111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 133a191824311814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 4551161115111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1318172421191a23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 56ea313311118b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 431131f615111217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1311e32113311714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 16d3311111a11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 114115113333121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2336119138341272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a211254f8135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 06ca000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2111151818151861, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 153a711514221831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 112341121111a111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1141518b2121166f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 19112a1531111144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31561318c7e4d872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000005030e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: ba50000080000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3f511d1432125271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1ade157217111c2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a1e31118b4821411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 83234112f535181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1321181b12111a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2121754115656211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 191f111214223761, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1316134511153117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000000005db9, Class:  8, CF:0.227705, Len:  4, Fitness_tra: -4
Rule 34: 5a81151114a115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133fee1115311744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1121411735161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 152c5b611153c621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 6f13857215311c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 050e000000204800, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1311111172133316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1a16516119985174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
