------Generation 0------
Rule  1: 669f20b000e00b20, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13936a33121254b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 611f1a1111181127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1311131911623214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 090e0000600d0c00, Class:  9, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: 1a25911427251afa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 114214616353c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a131522211111, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule  9: 2511111581471714, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 10: 21451b11a5111a71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 452933616e1d3117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2a11b118326da237, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13113851b1111af1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 13515522b4111462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d6ee1511115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b18a16594811d7f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111915112221111f, Class:  3, CF:0.263955, Len: 16, Fitness_tra: 5
Rule 19: 231a1a51151c9bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4559963fe1d1182b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 43516ff639515214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9aca7111126cf316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 234315116311585b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000e000008000300, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 26261951171155fd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 133f1558b7115731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0509000f0e0d0c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
