------Generation 0------
Rule  1: e39ee1313163311133191e139e133a1691669aaff111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e9133511113611611313699691316a63ee6e11311131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3333ee611131e311169e11111e1e31369911e3a33163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000000000000000000000000900000000000000, Class:  0, CF:0.278828, Len:  1, Fitness_tra: 31
Rule  5: e111116613113636f11113316aa61a31e13691163319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 313313e3191e63e16e111e111133aa63e9e61116361e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0690500000000900005e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0900000000000000000000090500990000000000005e, Class:  0, CF:0.741175, Len:  7, Fitness_tra: 0
Rule  9: 13131513e331915511191911153d33311e3e13131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e19e3e61e131966e1e533119e61e36e19111e336f1e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131195131936ee666956319e39ee1a11913331611163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000a000000000000a005a000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e113e336f1a6116661611e13ee911116e6a93e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000009000000000000090000000e00000000000000, Class:  0, CF:0.438484, Len:  3, Fitness_tra: 0
Rule 15: 00000000009000000900000000000000000000000e00, Class:  0, CF:0.332145, Len:  3, Fitness_tra: 0
Rule 16: 00000000a0000500000000000000000050f000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000f00a0050000d500f0fff0f0f00500d50500090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11111133113a51113113111121913111133311111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1139193111e396661e911513191e63169963131af313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 131139116333313333533e19611136161e61e1136193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e6313913136333363e3333319135111a1ee6e1111e9e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11111111111311111151311111915111111191111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000d000000a000000000000000900000e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 111e5d13131113113e1111111133e113533111135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000009000009050000000000000000000900000000, Class:  0, CF:0.33538, Len:  4, Fitness_tra: -1
Rule 26: 1311333111113331113e319391911a61e113ee616693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31111111913111111111311112111111591191512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000060000005000000500d0000000000000005d5, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 16e36111f13616e6311631ee59353ee6331393ee169e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000000000000000000000000000000000000500, Class:  0, CF:0.238241, Len:  1, Fitness_tra: 4
Rule 31: 0009000000000000000000000000000000000e000000, Class:  0, CF:0.275782, Len:  2, Fitness_tra: -5
Rule 32: 15111111111311111119511311112111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 33: 000000000000000000000000050090000000000e0050, Class:  0, CF:0.631676, Len:  4, Fitness_tra: 0
Rule 34: 00000000000000000000000000000000050060000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 6
Rule 35: 33113113313131361111613111113111153331131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000f0a0000000000000000a00500ef000a00099f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
