------Generation 0------
Rule  1: 61113933e6a39313613313396133e313166e1163133e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13331131113111113151111122111111111131512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000000f000a00000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000000005000000000000000000000f000e55d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: ee111363161191636351131e3e1336ea361136116131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 313e19e163119131691336111e151331911e13313e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000060000000000000006000000e09500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 002d0d0e00000000000f0f0000000dd00000009e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000d0000000e05000000000000000000000000000000, Class:  0, CF:0.230189, Len:  3, Fitness_tra: -20
Rule 10: 111151333631333e619e9391316e1131313619311511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000060000000000000000000000e00000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13133136393aa6e1115ee33331631366991e191e6159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 91113113111311513313915511113131596113319319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 193ee36ee9e13633f3536ee9e691a111e911131a33ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 131115e3ee6331133e513913333516339e1ee3311916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e131196616ae1e11e131611313136e6116911e3ee51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000090fae0a0500a06500000000000050fd00055d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 365115e61363661331111111311316163e1eee311e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 313319e11113e1316113113e1515331a331313311151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 15111111153111111111111111111111111195111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31993e1639693e6e619e193131196633e61133161611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 15111115111111131111111111312111191151111185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000f000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 24: 11331111111113111153111111312113111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9050e000000a00000e0000000000e00000000600e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1111e3113333335e3111313551353113116116135111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000000905050d0000000000600505, Class:  1, CF:  1, Len:  7, Fitness_tra: 1
Rule 28: 00000000600000066e000006009000e0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 133399166e63e1ee119a13113e3e1316191311111316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5050500e00af9e00090060000000e000000ee0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00090000000e900000000000006005000000e0090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00006000050e000000000000000000000000e0000056, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 913e113e6136e33631e663133e616111e33a93161e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000000000050900000000000000e00000ae00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000a0000000000000e0000000000000000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1113931611afe351e91319369ee19113ee3113113611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 113e3191136f31361936336631351113111611113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 9e9e33313633911366113363311136133e1611336631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
