------Generation 0------
Rule  1: 003050000000050e0a00000090000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1131153111133e116311131111e91116113111319185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00090000000e900000000000006000000000e0090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 31391531111611113113e1915133e363133111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000050000000000000500000005000000000000000, Class:  0, CF:0.126655, Len:  3, Fitness_tra: -1
Rule  6: 133391613e16e6e1e1e13699e19933631911e63a6619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9393e161e66136ee13136133199931661166e6eaee5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 91111913311115116159113111133111391113111e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: e31e3566116f139ee39633331e31e1161936e1331133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 111615e6911a6ee9313313e1eee56f161961e693e699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: ee111931661696e161136111633e163f1111e6131116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0f00000000000d000f0050000f000f00000fd05505d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1133991116f33633191366e1131513331111e3161691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11391e31e111113a365e335116e3a116ee6691ea3e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 311e939e16131e9319133319e1e911331911111e9e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000a000000f000000000000000000000000000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 31e113e1116a13e1631311e9ee351313eee3e6e13193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e1135339a1a661161911311131116113136e36619e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 399e1911e133131aa1d139136e193a36911333163331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: f00000500000000000d0000000000900000000050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 163e95631e3111191631316336aee16a5e113a6163e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000a00000000f00000500050000ee0000ff0d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000d90000000090505000005000000009000090000, Class:  0, CF:0.428699, Len:  8, Fitness_tra: 0
Rule 24: 319919111e36361313113e3316131f33996699631999, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000000f0090000c5000000000009d0f0000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
