------Generation 0------
Rule  1: 9313153a31631113a1113161eee1e611e161e3166391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 31636931113316636e9e161331e11133391113113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000009000f000000000900000050000000000000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000205000005d50000a00000000000000500900000, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule  5: 3111153131131333f336331113e11119111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: e0000090000900000000000600a6000900e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0050000ae0000000000000a000006a00050000f00909, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 333163331311e39313e631319331336111611f136131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 5099006090e00000005000090e90009f060000000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000a0000000000005000e0000000f00aa00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000009f000a0000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000e5e0000000000e0000e00000000e000e00000000, Class:  0, CF:0.381856, Len:  7, Fitness_tra: 0
Rule 14: e11359ee13f61a36313111e911193136311e13e31393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00006000050000050000000000000500a00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0e060000000000e0000509000000000000999e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3311551113131133369e93119113313e396331311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e91191139161119311e611911e51316111e51316131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 05000000050000000000000000e990e000000d090000, Class:  0, CF:0.551479, Len:  8, Fitness_tra: 0
Rule 20: 00000000000000ffa000050000000000050f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3311111166f131e9631e19e19319331611111e139551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 095000900009000ff0000000a0a6000900000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000000000000000000f00000000000050e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 33e1913616313636e1e169331113611ae913111a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13131133913611111319311112111111153111115811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: d0000609500000005d00000500005000000560000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000a00006000000000000000000000a060000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 111969639f11133636139e13e1933a93e66e13136313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000000000900000000009000000000e000000000, Class:  0, CF:0.344779, Len:  3, Fitness_tra: -5
Rule 30: 0a0000000a00050000000000000000e0000f00005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000d000000000000000000000000f000d0000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 32: 000000000000000006000000000e5900000000000006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 9131e11631113e13311131363a33311113631311111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3133e11116311a3311531ee93393161a1e331363311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9193e131119a161331511131e1e13316936613163611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000000000000000000000000000000060000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule 37: 0060050060f000006e00000a00900000000000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000d0000000009a000e0000000a6000e000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 13e1113369663a19a15ee3139e111a61e1166666f391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 669111311663311363e3113111316363116331331511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 19e115136163311e6e11131333e36663ee1131163136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000500f00d900000000d00000000000005a000f00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000906e6000e000000000e0005000000a0d0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111111311aa1355131513155135311159131e315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3696e911131a11e369199e1e1361136fe111396a33ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5333119e61133133339391133e133111136633111359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
