------Generation 0------
Rule  1: 000900000000050000000050000000e0000f500095d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 11111111111113111111111111111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 1
Rule  3: 999e11331e131911a31e1116116133f395631e6ae196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 391633363e6f331139e631333119133a1331e311661e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11111131113331331115111111111113131111111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 161319e333fa93e663e613191e13363a131311131199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 33e1931ee9136661665e339363196113916e9ee31191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 31336111e363333e311193161e116116991133161113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: eee91111e66161333133363311136a36311613361151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e1139131131633196111113111e19111911311139591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: e131311131313693991191ee611363a1113e33166111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 63133113a31f16116e9e1135151113113e33331e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e36e91139f3913ee13ee1131339e16fe11e316133e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0d00a0000000000000000a00000000000000f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000009f000000000e0e000000000d000000d90550d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 19111111e1a319113111e11515311111311313155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 919311e61661631e1151111136e1e11a3e331611163e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 919651e391e333631e11e116911111e619e133e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1139151111111911161e1111111311339116131e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11393e163e331316391e3ee31131111f3e6a9e6a3993, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1163e931e61361611115e1e91393166331631161131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11331133361ae1596911133115131e66136313133112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000005e0000000000000000000e00950, Class:  1, CF:0.220116, Len:  5, Fitness_tra: 0
Rule 24: 00000000000000000000050a00000000000fc200006f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 33e31391116316161356111e3339661a913611e1119e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
