------Generation 0------
Rule  1: 000000000000009000, Class:  0, CF:0.446606, Len:  1, Fitness_tra: 0
Rule  2: 155122c11582573113, Class:  0, CF:0.99998, Len: 18, Fitness_tra: 0
Rule  3: 155472231d28111114, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  4: 11841721181b111431, Class:  1, CF:0.9213, Len: 18, Fitness_tra: 10
Rule  5: 53357c9191d9128185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11352154515512131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11521281818c521111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: 1e6114119915513111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1851b1194524881582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 93321ce191135c5315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1165229c51d31119d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1e1122941155127159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 511142212847c14111, Class:  0, CF:0.988447, Len: 18, Fitness_tra: 0
Rule 14: 13111c1451d9944119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8d5211c18518541111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: d5ec81cd2541d7ec13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 82dc42c91c112cc155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000c50000000000, Class:  1, CF:0.745179, Len:  2, Fitness_tra: -2
Rule 19: 3e654c1c515d5b3711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0c0000000000c00000, Class:  1, CF:0.13461, Len:  2, Fitness_tra: 165
Rule 21: 00008b00c400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 818c1741782241125d, Class:  0, CF:0.988093, Len: 18, Fitness_tra: 0
Rule 23: cc1127231241181122, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: 36acbb34f9e6112111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 8151cbcd1121512c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1a6114145611311825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1211225dc1415c1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 111511519515111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15111214111d128211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: d00000000000000000, Class:  0, CF:0.955485, Len:  1, Fitness_tra: 193
