------Generation 0------
Rule  1: 815cc12111c2211113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00004000005000080d, Class:  1, CF:0.277597, Len:  4, Fitness_tra: 0
Rule  4: 0000000e0000000005, Class:  0, CF:0.88913, Len:  2, Fitness_tra: 8
Rule  5: 000000002000000000, Class:  1, CF:0.161766, Len:  1, Fitness_tra: -11
Rule  6: 3132b2ab19e66c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1e6142511115911d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 31a9c8941539942d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: e1651112155994d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1318211153d11111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: e31544511e59311223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 9111115c13131435d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 002000000000000000, Class:  1, CF:0.109939, Len:  1, Fitness_tra: -1
Rule 16: 11351c9491d51c15dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1165219215513411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 07c0000007b0480000, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 19: d151c112152ccb1296, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 511144c181c2512189, Class:  1, CF:0.889882, Len: 18, Fitness_tra: 0
Rule 21: 8c1c118121418c2815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000002, Class:  1, CF:0.11256, Len:  1, Fitness_tra: -19
Rule 23: 581214191512172291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000300c00, Class:  1, CF:0.0871597, Len:  2, Fitness_tra: 0
Rule 25: 2c1217111841c72451, Class:  0, CF:0.485308, Len: 18, Fitness_tra: 0
Rule 26: 91622ceb1655311285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000070000000000000, Class:  1, CF:0.0169131, Len:  1, Fitness_tra: 0
Rule 28: 090b0000595b700000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c000c00000040c0000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 28d1c7151182141135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000c00000, Class:  0, CF:0.0173513, Len:  1, Fitness_tra: 0
Rule 35: e66dc45219d59ce1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1911821c1115121811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 38: 15a524919511145151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1d1136811112d11111, Class:  0, CF:0.00434568, Len: 18, Fitness_tra: 0
Rule 40: 000000000000070000, Class:  0, CF:0.127041, Len:  1, Fitness_tra: 0
Rule 41: 000dc0000000000c00, Class:  0, CF:0.915177, Len:  3, Fitness_tra: 0
Rule 42: 3000000000000b0000, Class:  0, CF:0.27591, Len:  2, Fitness_tra: 10
Rule 43: 080000000c00000082, Class:  1, CF:0.301902, Len:  4, Fitness_tra: 3
Rule 44: 113d1411d2d5d28111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: c00000000000002000, Class:  0, CF:0.0553483, Len:  2, Fitness_tra: 0
Rule 46: 5152422178122c411c, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: 00e00c00000000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: e3111ce49e91312489, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000500000, Class:  1, CF:0.169256, Len:  1, Fitness_tra: -3
Rule 50: 251741112814511144, Class:  1, CF:0.237881, Len: 18, Fitness_tra: 0
Rule 51: 000000005000000000, Class:  1, CF:0.0765522, Len:  1, Fitness_tra: 0
Rule 52: 9961c712d111514911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 366821519e5151512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000c008000000000d0, Class:  1, CF:0.163657, Len:  3, Fitness_tra: 1
Rule 55: 5532415852525b1651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1154271d81c2121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000080, Class:  1, CF:0.111226, Len:  1, Fitness_tra: 1
Rule 58: 8c1221214222225222, Class:  1, CF:0.625007, Len: 18, Fitness_tra: 0
Rule 59: 851113132111512221, Class:  1, CF:0.141097, Len: 18, Fitness_tra: 0
Rule 60: 1111c4881181122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: e161223c1dd55115d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000c000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 63: 00000b0d0000000004, Class:  0, CF:0.432909, Len:  3, Fitness_tra: 2
Rule 64: 50000070b0000000c0, Class:  1, CF:0.168904, Len:  4, Fitness_tra: 0
Rule 65: 119214181c11214991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000070000000007000, Class:  0, CF:0.0528332, Len:  2, Fitness_tra: 0
Rule 67: 53112138d313112313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 00000c0000000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1332211139d3343281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 151122211111129111, Class:  1, CF:0.779022, Len: 18, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: 000000000000000006, Class:  0, CF:0.490692, Len:  1, Fitness_tra: 76
