------Generation 0------
Rule  1: 000c00000600000000, Class:  1, CF:0.171838, Len:  2, Fitness_tra: 0
Rule  2: 000000000008000000, Class:  1, CF:0.327209, Len:  1, Fitness_tra: 104
Rule  3: 000000000008000000, Class:  1, CF:0.327209, Len:  1, Fitness_tra: 0
Rule  4: 000070000000d70000, Class:  1, CF:0.258721, Len:  3, Fitness_tra: 0
Rule  5: 121477151c241c1121, Class:  0, CF:0.985774, Len: 18, Fitness_tra: 0
Rule  6: 000000500008000000, Class:  1, CF:0.246523, Len:  2, Fitness_tra: 0
Rule  7: 9ead22143e531c1581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 511c121d41c1212281, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 812c118d211154c2d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e11812313311e15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00a08000000000c500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3911c4d85151511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0b0000000000700000, Class:  0, CF:0.048987, Len:  2, Fitness_tra: 0
Rule 16: 03000c005940080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000c00004000000800, Class:  1, CF:0.463844, Len:  3, Fitness_tra: 18
Rule 18: 90304c0050000b000a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 28c7441512c11211c4, Class:  1, CF:0.65091, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000080, Class:  1, CF:0.107988, Len:  1, Fitness_tra: 6
Rule 21: 15e54c558181521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d00080000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 51111223122257c719, Class:  1, CF:0.943602, Len: 18, Fitness_tra: 0
Rule 24: 188442151814182111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 0900000000000c0d00, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 26: 1187218dc5c4d81422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 115c44cd4521521159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000c005040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 002000000000000000, Class:  1, CF:0.106603, Len:  1, Fitness_tra: 7
Rule 30: 780000000000000000, Class:  0, CF:0.287192, Len:  2, Fitness_tra: -13
Rule 31: 193121e45e531453d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: c81c1b251821121485, Class:  1, CF:0.493613, Len: 18, Fitness_tra: 0
Rule 33: 12214423b124111211, Class:  1, CF:0.259545, Len: 18, Fitness_tra: 0
Rule 34: 000000002000000000, Class:  1, CF:0.160646, Len:  1, Fitness_tra: 0
Rule 35: 596142325e8d12921d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 111c2121112c582722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1c95248558c2121533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3ea1223c1519311389, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000ceb00bb00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e11571341511541551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1a32b71b31e3182181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
