------Generation 0------
Rule  1: 151144cd2118881881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: c111142d28c1112111, Class:  0, CF:0.899817, Len: 18, Fitness_tra: -3
Rule  3: 000000000000000003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000943000e00020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2111128d15241c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 25114b1d812c118821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 780000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 85dc14851911221221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5aa5c11133d1921551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00400000000000000b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5512148d15121c211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1127417eb224c42218, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 588211737227128121, Class:  3, CF:0.163883, Len: 18, Fitness_tra: -4
Rule 22: 0000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 8d5881c58311d4c88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0d0d8b000d00000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 070000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000003000000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d000000b000000c000, Class:  1, CF:0.00659922, Len:  3, Fitness_tra: -18
Rule 29: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d3c1cc815185c2115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: d1912c112d41145113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: d00000000000000004, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000b000e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 7
Rule 35: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 003000000400000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000003000000003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: d15222c12d42c12131, Class:  1, CF:0.293389, Len: 18, Fitness_tra: 6
Rule 40: 112127154882511122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 225112c8118242b291, Class:  3, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 1824422141c42c1122, Class:  0, CF:0.486912, Len: 18, Fitness_tra: -5
Rule 43: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 115244131111c71113, Class:  3, CF:0.192224, Len: 18, Fitness_tra: -16
Rule 45: 213142c5c128521b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5121224172442cc1c1, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: 151221852111515281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 111747292211881121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 11611c319159571519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11c7722341712111c4, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 151111cdc5cc224129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 002080000000000000, Class:  0, CF:0.606514, Len:  2, Fitness_tra: 5
Rule 53: 00f000003030900020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 93112b37611115c214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000007e007b000400, Class:  0, CF:0.262851, Len:  5, Fitness_tra: 0
Rule 56: 1e651152d119141553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1154b1c5811c118824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000b60000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000000000c0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
