------Generation 0------
Rule  1: 0000b0000000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: d8912121c521111213, Class:  2, CF:0.0159526, Len: 18, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 55900b000000580002, Class:  2, CF:  1, Len:  7, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 25d12b15c5ccdc1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000b00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000300000000000085, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000900000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1114721e2122774233, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000008dcc0c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3365215211131212d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 002000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11a1b21119ef11111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00008000404400005e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 931172a41193181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 500000b00000005000, Class:  0, CF:0.185304, Len:  3, Fitness_tra: -4
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000085000, Class:  1, CF:0.162791, Len:  2, Fitness_tra: -1
Rule 30: 21522c1111221c22c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 251c14cd1182217212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000050005, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 34: 00000000e00e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 10
Rule 35: 000c70000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c1842b2dc141d21114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 090070000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: cd17278312c4d18142, Class:  1, CF:0.124273, Len: 18, Fitness_tra: 0
Rule 39: 5191cc8d2821211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5e3517149311912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 52842411b2c121c111, Class:  3, CF:0.0372295, Len: 18, Fitness_tra: -2
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 281442c9181428c8c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 251214852528d11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000b00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000d00007000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 00f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00d00b005000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000008000a00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211421c1424c842555, Class:  1, CF:0.741314, Len: 18, Fitness_tra: 2
Rule 55: 000000000090000000, Class:  2, CF:0.651917, Len:  1, Fitness_tra: -2
Rule 56: 000000000000009000, Class:  1, CF:0.0925999, Len:  1, Fitness_tra: -9
Rule 57: 000000000007000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000b60000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: d850000008c0000000, Class:  1, CF:0.189893, Len:  5, Fitness_tra: 1
Rule 61: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 11612432e111121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: d000000e7007000000, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 66: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000000030009cc002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 00a000000000000009, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 69: 000070000000000d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12581411c12cc21111, Class:  3, CF:0.278929, Len: 18, Fitness_tra: -2
Rule 71: 000000000000800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 8d5274c5811cdc1217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: c1811b292824212142, Class:  0, CF:  1, Len: 18, Fitness_tra: 9
Rule 75: 1522121971178751d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 900000000000580030, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 83: 000000003000000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 009000000d70000000, Class:  1, CF:0.0254713, Len:  3, Fitness_tra: -3
Rule 88: 51212bcd2521541111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00d0000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 090000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11d227c518812c1118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 50870040000005000b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: d282141eb814141182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 002000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 15552711822812c199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000c00000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000400000d00000003, Class:  2, CF:0.6887, Len:  3, Fitness_tra: -21
Rule100: 91317c143153142785, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:78.1726
------Result------
Miss_rate(tra)	:78.1726
Miss_rate(tst)	:83.5294
ARL				:7.73684

------Generation 0------
Rule  1: 00000000e00e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 15
Rule  2: c1811b292824212142, Class:  0, CF:  1, Len: 18, Fitness_tra: 3
Rule  3: d000000e7007000000, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule  4: 211421c1424c842555, Class:  1, CF:0.741314, Len: 18, Fitness_tra: 2
